id,answer,question,hint,desc
782f18aa-3d80-4995-b67f-8f1376e24fae,"Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root, Group và User không có quyền.",Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}000 access.log{RESET} có tác dụng gì?,,
e7d81747-930e-4bc7-bbda-1bfc7e701d12,Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có quyền thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}001 access.log{RESET} có tác dụng gì?,,
2b1a17b8-8de9-4e60-abaa-26e769f962de,Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có quyền ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}002 access.log{RESET} có tác dụng gì?,,
3e6eae60-2af1-418e-8d03-f210442a7553,Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có quyền ghi và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}003 access.log{RESET} có tác dụng gì?,,
9e891b23-26b8-437e-9ebd-731b73696f3a,Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có quyền đọc.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}004 access.log{RESET} có tác dụng gì?,,
b31e3774-3f31-43d7-b8ad-c7710f29e3bf,Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có quyền đọc và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}005 access.log{RESET} có tác dụng gì?,,
7c1edc24-9702-4b16-bf20-2b8f4e9ab834,Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có quyền đọc và ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}006 access.log{RESET} có tác dụng gì?,,
77b5abd4-b8ca-4bc3-9c73-673cc202522a,Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có tất cả quyền.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}007 access.log{RESET} có tác dụng gì?,,
3eb53fa2-8ed9-4029-82e3-d13f00e1f081,Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group có quyền thực thi. User không có quyền.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}010 access.log{RESET} có tác dụng gì?,,
536e0b1b-3c05-46f9-bf2c-067197643c49,Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group và User đều có quyền thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}011 access.log{RESET} có tác dụng gì?,,
dbc25a24-b441-4aa6-963a-fb4b24dc06d2,Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group có quyền thực thi. User có quyền ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}012 access.log{RESET} có tác dụng gì?,,
77aa0d3a-39ae-44cd-8e42-8836d4f72531,Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group có quyền thực thi. User có quyền ghi và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}013 access.log{RESET} có tác dụng gì?,,
c8039fa2-4e91-4ad4-91c6-22642213bc48,Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group có quyền thực thi. User có quyền đọc.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}014 access.log{RESET} có tác dụng gì?,,
4f49a6c1-0089-4169-8e4e-007fcac69a67,Thay đổi các bit quyền hạn của tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group có quyền thực thi. User có quyền đọc và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}015 access.log{RESET} có tác dụng gì?,,
