id,answer,question,hint,desc
38128b10-2cc2-4868-916b-e856528ca0d9,Afghanistan,Quốc gia nào ở khu vực Nam Á (Châu Á)?,,
4d8d155b-89de-4cbd-9309-e5f0472fb2e8,Armenia,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
82c1c825-7044-401e-a239-d7aa19e44966,Azerbaijan,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
48a532cd-024a-4bd5-b302-2f3240fda63f,Bahrain,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
801951dc-b904-4ad3-9403-13fe34e2e7c8,Bangladesh,Quốc gia nào ở khu vực Nam Á (Châu Á)?,,
b8419054-b2de-4871-9869-77c7566acb9d,Bhutan,Quốc gia nào ở khu vực Nam Á (Châu Á)?,,
7527e4c7-cfaf-4c47-bde3-ee552b91922f,Brunei,Quốc gia nào ở khu vực Đông Nam Á (Châu Á)?,,
093b680f-69d9-4de8-94d6-59b3518218a0,Bắc Triều Tiên,Quốc gia nào ở khu vực Đông Á (Châu Á)?,,
e247f7c8-f5d3-4554-b86e-20e9b5bdc2d6,Campuchia,Quốc gia nào ở khu vực Đông Nam Á (Châu Á)?,,
d0812c73-817d-4fac-941c-b459e050573a,Các tiểu vương quốc Ả Rập Thống Nhất,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
7f46e24c-9bae-4e69-905f-728d649a5d82,Gruzia,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
4118dc5a-008c-4010-ad64-713fc734d635,Hàn Quốc,Quốc gia nào ở khu vực Đông Á (Châu Á)?,,
895f6680-6df9-4bfa-a1b5-e7e81e1bbc99,Indonesia,Quốc gia nào ở khu vực Đông Nam Á (Châu Á)?,,
05c20b31-32a8-48dd-9ff7-179a47d7d84b,Iran,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
8a763a16-cd89-43c9-bcfa-14fa9b63e39d,Iraq,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
f750f521-ddb1-461b-a1f2-b2550468464b,Israel,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
54f5ce20-c2eb-4e61-ae6e-ab0be0424391,Jordan,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
9bd1f38a-c757-4270-a84c-e812849f0895,Kazakhstan,Quốc gia nào ở khu vực Trung Á (Châu Á)?,,
63b45c9c-8fb3-46c5-b592-9748737601c9,Kuwait,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
553b94b8-c5ca-4c9d-99fc-bf9c7499a9c3,Kyrgyzstan,Quốc gia nào ở khu vực Trung Á (Châu Á)?,,
a502bd69-6569-4771-a09b-f209ac913406,Liban,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
af36e7df-f55e-4b26-b7a0-20c5731e60af,Lào,Quốc gia nào ở khu vực Đông Nam Á (Châu Á)?,,
15b992de-c8b4-4864-8d9b-43230ef3ac8a,Malaysia,Quốc gia nào ở khu vực Đông Nam Á (Châu Á)?,,
e4bdf0c2-8257-412b-9df7-9dae2d38396d,Maldives,Quốc gia nào ở khu vực Nam Á (Châu Á)?,,
893d19be-73f3-4f01-96db-a469a39b1018,Myanmar,Quốc gia nào ở khu vực Đông Nam Á (Châu Á)?,,
9df05f22-1a17-49ec-9fbd-32412def204c,Mông Cổ,Quốc gia nào ở khu vực Đông Á (Châu Á)?,,
4670e08c-55e6-43f5-99ba-51ef8ad328ff,Nepal,Quốc gia nào ở khu vực Nam Á (Châu Á)?,,
e042377c-ce23-4927-9dda-470ecae66e59,Nga,Quốc gia nào ở khu vực Bắc Á (Châu Á)?,,
ae13701d-269f-4582-9690-79a2a658923e,Nhật Bản,Quốc gia nào ở khu vực Đông Á (Châu Á)?,,
8a329142-5f7e-4f35-a553-beeee7a9051f,Oman,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
9d9d26f1-e087-43eb-a1e3-13850f2c0dcc,Pakistan,Quốc gia nào ở khu vực Nam Á (Châu Á)?,,
a36f0887-620a-4405-a2c6-d4331bbece89,Palestine,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
b622e734-3f59-43cc-a77c-a45ab3ccb59c,Philippines,Quốc gia nào ở khu vực Đông Nam Á (Châu Á)?,,
56ba20c8-b6b8-4cab-ba35-51bb6ec2719b,Qatar,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
08a93edd-05b3-46f1-a969-881e650b9886,Singapore,Quốc gia nào ở khu vực Đông Nam Á (Châu Á)?,,
9ffba294-d847-4e91-99ca-1a80df910ab0,Sri Lanka,Quốc gia nào ở khu vực Nam Á (Châu Á)?,,
b58a64ec-8053-44f4-8297-620b360b81d3,Syria,Quốc gia nào ở khu vực Tây Á (Châu Á)?,,
