id,answer,question,hint,desc
156eeeca-9dfc-4b97-8dbb-3834546ccc78,Albania,Quốc gia nào ở khu vực Nam Âu (Châu Âu)?,,
1e0df587-0ad6-4dd6-bf68-01bd3d894b1c,Andorra,Quốc gia nào ở khu vực Nam Âu (Châu Âu)?,,
aa7734c5-7b43-46d6-acb2-b974a08364e4,Ba Lan,Quốc gia nào ở khu vực Đông Âu (Châu Âu)?,,
79bb224b-2f83-4b25-826e-a66bc0382489,Belarus,Quốc gia nào ở khu vực Đông Âu (Châu Âu)?,,
58ffce1e-b23f-48c9-a9fc-5591e088482c,Bosnia và Herzegovina,Quốc gia nào ở khu vực Nam Âu (Châu Âu)?,,
cab79604-2bc2-4943-b8c1-b4bfe422b0a4,Bulgaria,Quốc gia nào ở khu vực Đông Âu (Châu Âu)?,,
b4ace025-5f7e-4484-9b71-b44ed808ac5c,Bắc Macedonia,Quốc gia nào ở khu vực Nam Âu (Châu Âu)?,,
f742b673-e8da-4dbd-9620-5f92f8c14a1e,Bỉ,Quốc gia nào ở khu vực Tây Âu (Châu Âu)?,,
28a5f7cb-e054-4261-82ef-ed7304cee344,Bồ Đào Nha,Quốc gia nào ở khu vực Nam Âu (Châu Âu)?,,
d6891726-8097-43d4-b8f7-bc9f65a32335,Croatia,Quốc gia nào ở khu vực Nam Âu (Châu Âu)?,,
7cb2440e-42ce-4818-8040-0b49d46073d8,Estonia,Quốc gia nào ở khu vực Bắc Âu (Châu Âu)?,,
46e822c6-35a2-4690-ae3f-1a3f1e2d01d1,Hi Lạp,Quốc gia nào ở khu vực Nam Âu (Châu Âu)?,,
8fc1132c-e093-4fcc-a50b-41ded23c70c3,Hungary,Quốc gia nào ở khu vực Đông Âu (Châu Âu)?,,
ac644599-0e30-400c-b9f3-853ff09d8af3,Hà Lan,Quốc gia nào ở khu vực Tây Âu (Châu Âu)?,,
12cbf889-f2be-4995-9970-d9a5442242fe,Iceland,Quốc gia nào ở khu vực Bắc Âu (Châu Âu)?,,
2b7ec7a1-9806-4d14-a492-5eadd5d51aa4,Ireland,Quốc gia nào ở khu vực Bắc Âu (Châu Âu)?,,
ef962434-f591-4ddb-9237-dcf3120bcacc,Latvia,Quốc gia nào ở khu vực Bắc Âu (Châu Âu)?,,
206cc9b8-55e3-41e3-a5cd-0a8c5b8b8079,Liechtenstein,Quốc gia nào ở khu vực Tây Âu (Châu Âu)?,,
8971753d-9a9c-4d40-b195-a61be2fdade1,Litva,Quốc gia nào ở khu vực Bắc Âu (Châu Âu)?,,
1917b30e-8819-44de-b05f-85251d0f4949,Luxembourg,Quốc gia nào ở khu vực Tây Âu (Châu Âu)?,,
5c199d25-bdde-47e5-9219-129d0e2bff54,Malta,Quốc gia nào ở khu vực Nam Âu (Châu Âu)?,,
b4e74cab-5eb6-4e1d-a3d5-7919fd14c451,Moldova,Quốc gia nào ở khu vực Đông Âu (Châu Âu)?,,
bbe99878-4371-4901-b031-fd9f62ddc846,Monaco,Quốc gia nào ở khu vực Tây Âu (Châu Âu)?,,
42ef7b78-58ff-4261-a8ef-2510b96867a5,Montenegro,Quốc gia nào ở khu vực Nam Âu (Châu Âu)?,,
388cd51a-d32b-4628-8a79-c05a68384526,Na Uy,Quốc gia nào ở khu vực Bắc Âu (Châu Âu)?,,
0848bce8-a9b4-4cda-8cbd-89a05b479438,Nga,Quốc gia nào ở khu vực Đông Âu (Châu Âu)?,,
e471a32a-84f6-400f-a1c4-ac2df1289026,Pháp,Quốc gia nào ở khu vực Tây Âu (Châu Âu)?,,
52f0dbe7-a190-4ff0-b5a7-65db2b456eab,Phần Lan,Quốc gia nào ở khu vực Bắc Âu (Châu Âu)?,,
60b87fd5-6ffd-4185-88c4-0563ec85b6e7,Romania,Quốc gia nào ở khu vực Đông Âu (Châu Âu)?,,
cca896a3-22a1-4e7d-8ecb-0370a0210af3,San Marino,Quốc gia nào ở khu vực Nam Âu (Châu Âu)?,,
24bba79b-a84c-4e94-b5dd-9cfd31a07bfb,Serbia,Quốc gia nào ở khu vực Nam Âu (Châu Âu)?,,
7ca3e001-5783-479a-b44a-a38b31e9326f,Slovakia,Quốc gia nào ở khu vực Đông Âu (Châu Âu)?,,
48fb0024-9dba-4136-9b66-9fd58422a601,Slovenia,Quốc gia nào ở khu vực Nam Âu (Châu Âu)?,,
bbb5ecac-8a18-42be-8ae0-8183cbc41427,Séc,Quốc gia nào ở khu vực Đông Âu (Châu Âu)?,,
7fd85ad7-a7c7-49a0-a767-4fe145fe5b23,Thành Vatican,Quốc gia nào ở khu vực Nam Âu (Châu Âu)?,,
