id,answer,question,hint,desc
e88ed497-6742-48bc-a0a8-ddbadf7e9099,0 - 0,Tỉ số chung cuộc của trận đấu giữa Bỉ - Iran ở kỳ World Cup 2026 là:,,
653b0f98-aa64-4642-b0df-d8c0754e048a,0 - 0,Tỉ số chung cuộc của trận đấu giữa Ecuador - Curaçao ở kỳ World Cup 2026 là:,,
92c96ee6-c8fd-48ec-9d03-21bd3296d19e,0 - 0,Tỉ số chung cuộc của trận đấu giữa Tây Ban Nha - Cabo Verde ở kỳ World Cup 2026 là:,,
63b10514-de9b-4dac-8175-f1791b5ed63f,0 - 1,Tỉ số chung cuộc của trận đấu giữa Haiti - Scotland ở kỳ World Cup 2026 là:,,
6e953d24-21fc-49eb-8fd4-cd980eb4e5a3,0 - 1,Tỉ số chung cuộc của trận đấu giữa Scotland - Maroc ở kỳ World Cup 2026 là:,,
f787152e-a6e5-48df-a278-0ccd0862db8f,0 - 1,Tỉ số chung cuộc của trận đấu giữa Thỗ Nhĩ Kỳ - Paraguay ở kỳ World Cup 2026 là:,,
52258926-cd92-4e5d-b535-666546970083,0 - 4,Tỉ số chung cuộc của trận đấu giữa Tunisia - Nhật Bản ở kỳ World Cup 2026 là:,,
196d2c71-7ad6-49c0-806c-9f2e61dc1fe9,1 - 0,Tỉ số chung cuộc của trận đấu giữa Bờ Biển Ngà - Ecuador ở kỳ World Cup 2026 là:,,
a020a244-bf6a-47ba-bf3a-671e3c4e8038,1 - 0,Tỉ số chung cuộc của trận đấu giữa Ghana - Panama ở kỳ World Cup 2026 là:,,
30527787-c0a2-4f3d-bc95-dd7cbbd56c53,1 - 0,Tỉ số chung cuộc của trận đấu giữa Mexico - Hàn Quốc ở kỳ World Cup 2026 là:,,
2f36919e-8f40-4435-b51c-3a38f5b30676,1 - 1,Tỉ số chung cuộc của trận đấu giữa Brazil - Maroc ở kỳ World Cup 2026 là:,,
406d08c0-f72a-4e02-a5a2-7d892b691cf7,1 - 1,Tỉ số chung cuộc của trận đấu giữa Bỉ - Ai Cập ở kỳ World Cup 2026 là:,,
14dd5773-807d-43a3-84ac-9e3e856251d7,1 - 1,Tỉ số chung cuộc của trận đấu giữa Bồ Đào Nha - CHDC Congo ở kỳ World Cup 2026 là:,,
0b342759-62bd-4891-90a0-d84022c31a8d,1 - 1,Tỉ số chung cuộc của trận đấu giữa Canada - Bosna & Hercegovina ở kỳ World Cup 2026 là:,,
cac8ebf2-3d10-4688-b8e0-2c5dd34ba027,1 - 1,Tỉ số chung cuộc của trận đấu giữa Qatar - Thụy Sĩ ở kỳ World Cup 2026 là:,,
49c91344-b1fa-4cb4-912d-044243a2748e,1 - 1,Tỉ số chung cuộc của trận đấu giữa Séc - Nam Phi ở kỳ World Cup 2026 là:,,
f412fb81-29ce-4b9c-a634-76c6ef90401f,1 - 1,Tỉ số chung cuộc của trận đấu giữa Ả Rập Xê Út - Uruguay ở kỳ World Cup 2026 là:,,
20fd6206-0216-4fa9-b15c-a56a69c23117,1 - 3,Tỉ số chung cuộc của trận đấu giữa New Zealand - Ai Cập ở kỳ World Cup 2026 là:,,
1ed239b3-6ca2-4896-8d5b-4921fa59b7c7,1 - 3,Tỉ số chung cuộc của trận đấu giữa Uzbekistan - Colombia ở kỳ World Cup 2026 là:,,
e9bc87b1-df34-4009-b121-b153f20283d7,1 - 4,Tỉ số chung cuộc của trận đấu giữa Iraq - Na Uy ở kỳ World Cup 2026 là:,,
ef06c35c-8221-487a-aaa3-ea47017de8b2,2 - 0,Tỉ số chung cuộc của trận đấu giữa Hoa Kỳ - Úc ở kỳ World Cup 2026 là:,,
6dfc98b6-e58b-49d0-8d07-997c487913dd,2 - 0,Tỉ số chung cuộc của trận đấu giữa Úc - Thổ Nhĩ Kỳ ở kỳ World Cup 2026 là:,,
ba6423d0-7740-47a5-9c28-39326b6a386c,2 - 0,Tỉ số chung cuộc của trận đấu mở màn giữa Mexico - Nam Phi ở kỳ World Cup 2026 là:,,
73514e2c-1460-485f-a6f6-1dd75e35e7d5,2 - 1,Tỉ số chung cuộc của trận đấu giữa Hàn Quốc - Séc ở kỳ World Cup 2026 là:,,
6fee18e3-7891-4306-aa73-f9dab26bfba3,2 - 1,Tỉ số chung cuộc của trận đấu giữa Đức - Bờ Biển Ngà ở kỳ World Cup 2026 là:,,
1719b65e-a55a-4fd6-b061-82cc497364d7,2 - 2,Tỉ số chung cuộc của trận đấu giữa Hà Lan - Nhật Bản ở kỳ World Cup 2026 là:,,
b2b1b122-397b-488b-b1d3-ecf83abdec2b,2 - 2,Tỉ số chung cuộc của trận đấu giữa Iran - New Zealand ở kỳ World Cup 2026 là:,,
009c5ea6-369d-4904-920d-92e179565031,2 - 2,Tỉ số chung cuộc của trận đấu giữa Uruguay - Cabo Verde ở kỳ World Cup 2026 là:,,
5a00ec1f-fd37-4556-a468-e1a34b294df5,3 - 0,Tỉ số chung cuộc của trận đấu giữa Argentina - Algérie ở kỳ World Cup 2026 là:,,
21b652a0-f3bd-4f0d-ae19-590c3ba3a2e0,3 - 0,Tỉ số chung cuộc của trận đấu giữa Brasil - Haiti ở kỳ World Cup 2026 là:,,
4608ee7d-03b8-49dc-9b49-e12f47cf2781,3 - 1,Tỉ số chung cuộc của trận đấu giữa Pháp - Sénégal ở kỳ World Cup 2026 là:,,
99b68cbf-04f0-4a17-91c6-1c3851750855,3 - 1,Tỉ số chung cuộc của trận đấu giữa Áo - Jordan ở kỳ World Cup 2026 là:,,
317b7e09-7c4e-4ecc-9dea-94563e462cdc,4 - 0,Tỉ số chung cuộc của trận đấu giữa Tây Ban Nha - Ả Rập Xê Út ở kỳ World Cup 2026 là:,,
85340250-e064-4b58-812f-937c1aa09d4b,4 - 1,Tỉ số chung cuộc của trận đấu giữa Hoa Kỳ - Paraguay ở kỳ World Cup 2026 là:,,
46722f2a-7c2a-42e4-83df-48599d113257,4 - 1,Tỉ số chung cuộc của trận đấu giữa Thụy Sĩ - Bosna & Hercegovina ở kỳ World Cup 2026 là:,,
893c0f6d-3c71-40e1-8cd5-638782566e1e,4 - 2,Tỉ số chung cuộc của trận đấu giữa Anh - Croatia ở kỳ World Cup 2026 là:,,
1e790e2b-66b8-4cb6-a66b-4c6392ab205e,5 - 1,Tỉ số chung cuộc của trận đấu giữa Hà Lan - Thụy Điển ở kỳ World Cup 2026 là:,,
f925846e-c366-400c-971f-3729bd6c0933,5 - 1,Tỉ số chung cuộc của trận đấu giữa Thụy Điển - Tunisia ở kỳ World Cup 2026 là:,,
c345c5c6-89ef-4a97-a772-b4627b47f5f6,6 - 0,Tỉ số chung cuộc của trận đấu giữa Canada - Qatar ở kỳ World Cup 2026 là:,,
ed8e3e4e-cd50-433f-88c0-6b27747e3c30,7 - 1,Tỉ số chung cuộc của trận đấu giữa Đức - Curaçao ở kỳ World Cup 2026 là:,,
