id,answer,question,hint,desc
eff374ac-12a8-4be6-8ba7-1c0b99dfc9df,Aino,"Genshin Impact: Đâu là nhân vật 4 sao hệ thủy sử dụng trọng kiếm?",,
07fc1c32-a7b7-4aba-801b-5640d4526257,Albedo,"Genshin Impact: Đâu là nhân vật 5 sao hệ nham sử dụng kiếm đơn?",,
c55f9672-2aa9-4c95-b56f-12b163fd5f2b,Alhaitham,"Genshin Impact: Đâu là nhân vật 5 sao hệ thảo sử dụng kiếm đơn?",,
6f0e961b-15ba-4beb-a2bc-2066764a52ae,Aloy,"Genshin Impact: Đâu là nhân vật 5 sao hệ băng sử dụng cung?",,
6dfd829f-af50-4494-8055-bc5df2358247,Amber,"Genshin Impact: Đâu là nhân vật 4 sao hệ hỏa sử dụng cung?",,
740b0293-e880-4ae0-9285-13194e221353,Arataki Itto,"Genshin Impact: Đâu là nhân vật 5 sao hệ nham sử dụng trọng kiếm?",,
b86bf1a6-569b-4108-ad54-3eed0a6b4ecf,Arlecchino,"Genshin Impact: Đâu là nhân vật 5 sao hệ hỏa sử dụng thương?",,
826c3dbb-19f9-44e2-9c08-3a2dac3ef472,Baizhu,"Genshin Impact: Đâu là nhân vật 5 sao hệ thảo sử dụng pháp khí?",,
3b184093-05b4-4940-babd-dc4b995662d5,Barbara,"Genshin Impact: Đâu là nhân vật 4 sao hệ thủy sử dụng pháp khí?",,
e91a652b-ccf2-41f8-a6f1-adf062e6389b,Beidou,"Genshin Impact: Đâu là nhân vật 4 sao hệ lôi sử dụng trọng kiếm?",,
31e920fb-2df4-4550-8695-964f71d7d5eb,Bennett,"Genshin Impact: Đâu là nhân vật 4 sao hệ hỏa sử dụng kiếm đơn?",,
f8bdedfc-4a33-4b25-b94a-12f255c54d23,Candance,"Genshin Impact: Đâu là nhân vật 4 sao hệ thủy sử dụng thương?",,
ac8b5338-7f9c-46a0-9f76-3a54f15d345b,Charlotte,"Genshin Impact: Đâu là nhân vật 4 sao hệ băng sử dụng pháp khí?",,
