id,answer,question,hint,desc
e7450074-ab60-48a5-8b9d-ecf9f069c4d6,Acheron,Honkai Star Rail: Đâu là nhân vật 5 sao hư vô thuộc tính lôi?,,
8687b439-369a-4f47-a659-c4ae5fef3e37,Aglaea,Honkai Star Rail: Đâu là nhân vật 5 sao ký ức thuộc tính lôi?,,
876c20ac-200a-4e6a-80ae-ad91f50a6d31,Anaxa,Honkai Star Rail: Đâu là nhân vật 5 sao tri thức thuộc tính phong?,,
64db1b5d-96de-4832-9d38-2a49d04d76fa,Archer,Honkai Star Rail: Đâu là nhân vật 5 sao săn bắn thuộc tính lượng tử?,,
f4ceab1c-06ee-4580-b444-988dcfa60bc2,Argenti,Honkai Star Rail: Đâu là nhân vật 5 sao tri thức thuộc tính vật lý?,,
09429326-ec5c-4cb9-aa0d-50153da67926,Arlan,Honkai Star Rail: Đâu là nhân vật 4 sao hủy diệt thuộc tính lôi?,,
f42a2b1b-1dfe-49c7-8f68-18945aaa59ad,Ashveil,Honkai Star Rail: Đâu là nhân vật 5 sao săn bắn thuộc tính lôi?,,
601c1112-b878-4c72-823b-f0913bb79e12,Asta,Honkai Star Rail: Đâu là nhân vật 4 sao hòa hợp thuộc tính hỏa?,,
c69d6a45-38c5-4c98-86a3-3e8a5dc8d81b,Aventurine,Honkai Star Rail: Đâu là nhân vật 5 sao bảo hộ thuộc tính số ảo?,,
edd62d59-bb6b-4261-9495-110e08641315,Bailu,Honkai Star Rail: Đâu là nhân vật 5 sao trù phú thuộc tính lôi?,,
88aa1d06-20ac-4530-a993-24d1a95e1035,Black Swan,Honkai Star Rail: Đâu là nhân vật 5 sao hư vô thuộc tính phong?,,
6b26f31e-706a-4e77-b8a8-bf5d340a7192,Blade,Honkai Star Rail: Đâu là nhân vật 5 sao hủy diệt thuộc tính phong?,,
42367454-d21f-4439-967e-38d1b8f7c6ce,Boothill,Honkai Star Rail: Đâu là nhân vật 5 sao săn bắn thuộc tính vật lý?,,
aae91a33-4031-4912-99fe-f10707796fbf,Bronya,Honkai Star Rail: Đâu là nhân vật 5 sao hòa hợp thuộc tính phong?,,
1743ee2e-e122-4855-90e2-df6b0ba28467,Castorice,Honkai Star Rail: Đâu là nhân vật 5 sao ký ức thuộc tính lượng tử?,,
2c272e50-3b9b-4c64-985f-976a282c880a,Cerydra,Honkai Star Rail: Đâu là nhân vật 5 sao hòa hợp thuộc tính phong?,,
e757f372-e071-4c2c-a525-a6689935f4bf,Cipher,Honkai Star Rail: Đâu là nhân vật 5 sao hư vô thuộc tính lượng tử?,,
5c5776c3-29ef-4c46-a007-7683b2848e93,Clara,Honkai Star Rail: Đâu là nhân vật 5 sao hủy diệt thuộc tính vật lý?,,
4cc5b4ea-741b-4700-927e-da82bdd0f50d,Cyrene,Honkai Star Rail: Đâu là nhân vật 5 sao ký ức thuộc tính băng?,,
e9a39e12-7ec4-4ad7-8180-5fa3e3161e36,Dahlia,Honkai Star Rail: Đâu là nhân vật 5 sao hư vô thuộc tính hỏa?,,
7524806f-a1d6-4b98-995a-bac57f50d7dd,Dan Heng,Honkai Star Rail: Đâu là nhân vật 4 sao săn bắn thuộc tính phong?,,
e1115dae-4171-4e27-b28f-ca92c179ad77,Dan Heng - Permansor Terrae,Honkai Star Rail: Đâu là nhân vật 5 sao bảo hộ thuộc tính vật lý?,,
93e72dda-355b-45a9-8b2e-8c6ebc62b08b,Dan Heng - Ẩm Nguyệt,Honkai Star Rail: Đâu là nhân vật 5 sao hủy diệt thuộc tính số ảo?,,
8ddde45f-4735-438f-8121-162411bfc4ce,Dr. Ratio,Honkai Star Rail: Đâu là nhân vật 5 sao săn bắn thuộc tính số ảo?,,
d438578f-3608-46d4-be41-c65f18a1ee94,Evanescia,Honkai Star Rail: Đâu là nhân vật 5 sao vui vẻ thuộc tính vật lý?,,
8fcd5aaa-af60-424d-96bf-4ed729c36ee4,Evernight,Honkai Star Rail: Đâu là nhân vật 5 sao ký ức thuộc tính băng?,,
88c2f722-45db-4a19-9789-bd79df035ac0,Feixiao,Honkai Star Rail: Đâu là nhân vật 5 sao săn bắn thuộc tính phong?,,
dd40d9e4-afdc-4be2-97f4-c34963d41c91,Firefly,Honkai Star Rail: Đâu là nhân vật 5 sao hủy diệt thuộc tính hỏa?,,
b14d957c-1680-447a-a21c-47326758681a,Fu Xuan,Honkai Star Rail: Đâu là nhân vật 5 sao bảo hộ thuộc tính lượng tử?,,
f6ea5837-138a-4786-8553-d63fe38e4b08,Fugue,Honkai Star Rail: Đâu là nhân vật 5 sao hư vô thuộc tính hỏa?,,
c87d7bbe-57e9-4788-a19c-9a99c4bcdf6f,Gallagher,Honkai Star Rail: Đâu là nhân vật 4 sao trù phú thuộc tính hỏa?,,
ba9f14f4-50b9-420c-bcb8-ebee129288fb,Gepard,Honkai Star Rail: Đâu là nhân vật 5 sao bảo hộ thuộc tính băng?,,
c456f88f-e9a5-4565-936c-dcf2d01fa4d2,Guinaifen,Honkai Star Rail: Đâu là nhân vật 4 sao hư vô thuộc tính hỏa?,,
6cb0d549-b0e4-41a3-a4fe-1e6db4d02014,Hanya,Honkai Star Rail: Đâu là nhân vật 4 sao hòa hợp thuộc tính vật lý?,,
b08a36b9-b721-47bf-84d2-ae202a168ffd,Herta,Honkai Star Rail: Đâu là nhân vật 4 sao tri thức thuộc tính băng?,,
4a3d3409-769b-4d3b-bddf-d7592fc5bd7b,Himeko,Honkai Star Rail: Đâu là nhân vật 5 sao tri thức thuộc tính hỏa?,,
e9eaa61e-22ff-48a3-9048-6af875f885c0,Hook,Honkai Star Rail: Đâu là nhân vật 4 sao hủy diệt thuộc tính hỏa?,,
439dbe31-fde0-45b9-92a2-9818af6a2d96,Houhou,Honkai Star Rail: Đâu là nhân vật 5 sao trù phú thuộc tính phong?,,
0f48031f-a708-40c7-a277-928f0c19af83,Hyacine,Honkai Star Rail: Đâu là nhân vật 5 sao ký ức thuộc tính phong?,,
0c2e7a0a-5e7e-4a67-a7e2-9b7c08285ad3,Hysilens,Honkai Star Rail: Đâu là nhân vật 5 sao hư vô thuộc tính vật lý?,,
91417167-1a59-4ba8-9e25-b3a67d0cf477,Jade,Honkai Star Rail: Đâu là nhân vật 5 sao tri thức thuộc tính lượng tử?,,
662e9ad2-8a95-40c4-af75-ab6657e1d1c0,Jiaoqiu,Honkai Star Rail: Đâu là nhân vật 5 sao hư vô thuộc tính hỏa?,,
4b803e83-818d-4bed-900b-db0f1fcb755f,Jing Yuan,Honkai Star Rail: Đâu là nhân vật 5 sao tri thức thuộc tính lôi?,,
cf808302-2a78-4d13-baaa-cd0ba41fab6b,Jingliu,Honkai Star Rail: Đâu là nhân vật 5 sao hủy diệt thuộc tính băng?,,
bd05f1ed-ecc7-4a23-84a4-111678877f82,Kafka,Honkai Star Rail: Đâu là nhân vật 5 sao hư vô thuộc tính lôi?,,
7f6a6f5f-3eb4-4c79-808c-6d4c1cdb1896,Lingsha,Honkai Star Rail: Đâu là nhân vật 5 sao trù phú thuộc tính hỏa?,,
fdc7266c-3eb4-4ce6-9531-3e2fa86fbb24,Luka,Honkai Star Rail: Đâu là nhân vật 4 sao hư vô thuộc tính vật lý?,,
8bbb42ba-d925-446b-a7b4-42d74923310d,Luocha,Honkai Star Rail: Đâu là nhân vật 5 sao trù phú thuộc tính số ảo?,,
ecce3245-ef2f-4823-aed9-1ab8f79b30fc,Lynx,Honkai Star Rail: Đâu là nhân vật 4 sao trù phú thuộc tính lượng tử?,,
173ae2f4-6305-4b20-9e0d-84bfe9b15ca5,March 7th,Honkai Star Rail: Đâu là nhân vật 4 sao bảo hộ thuộc tính băng?,,
9d810513-e7e2-4ce2-824a-561f02da254f,March 7th,Honkai Star Rail: Đâu là nhân vật 4 sao săn bắn thuộc tính số ảo?,,
eb15307f-bf8e-456d-b9a2-788ba71f51e5,Misha,Honkai Star Rail: Đâu là nhân vật 4 sao hủy diệt thuộc tính băng?,,
0f570637-eaa3-444e-a835-50fad1b08a91,Mortenax Blade,Honkai Star Rail: Đâu là nhân vật 5 sao hư vô thuộc tính hỏa?,,
663113da-ef65-42d2-bcea-10aba258adfa,Moze,Honkai Star Rail: Đâu là nhân vật 4 sao săn bắn thuộc tính lôi?,,
5522ea05-dae1-4d67-9774-4f5c1fc23128,Mydei,Honkai Star Rail: Đâu là nhân vật 5 sao hủy diệt thuộc tính số ảo?,,
9bfbe079-d693-480c-8ee0-b3058ed0b8c5,Natasha,Honkai Star Rail: Đâu là nhân vật 4 sao trù phú thuộc tính vật lý?,,
b27113c7-81b2-4c31-8eb8-6650b29586da,Pela,Honkai Star Rail: Đâu là nhân vật 4 sao hư vô thuộc tính băng?,,
02b82f23-509a-4502-bf08-cbbc8beb5343,Phainon,Honkai Star Rail: Đâu là nhân vật 5 sao hủy diệt thuộc tính vật lý?,,
0912fd12-9ea0-493e-98a1-4f09a51073c4,Qingque,Honkai Star Rail: Đâu là nhân vật 4 sao tri thức thuộc tính lượng tử?,,
89d49538-31da-4948-80f3-ed1c86d27a5f,Rappa,Honkai Star Rail: Đâu là nhân vật 5 sao tri thức thuộc tính số ảo?,,
22868ca5-093c-4bea-8de0-8c945172b20d,Robin,Honkai Star Rail: Đâu là nhân vật 5 sao hòa hợp thuộc tính vật lý?,,
ec90deed-5718-4d2d-852f-db122aeb827e,Ruan Mei,Honkai Star Rail: Đâu là nhân vật 5 sao hòa hợp thuộc tính băng?,,
eec03027-ad87-42be-81f8-c4ca04e20321,Saber,Honkai Star Rail: Đâu là nhân vật 5 sao hủy diệt thuộc tính phong?,,
2c33639f-a3d3-454d-a654-dcb5fe505eaf,Sampo,Honkai Star Rail: Đâu là nhân vật 4 sao hư vô thuộc tính phong?,,
7d314dcc-67eb-43b0-a580-713a82ece66f,Seele,Honkai Star Rail: Đâu là nhân vật 5 sao săn bắn thuộc tính lượng tử?,,
5fc2077f-8793-41c1-b6eb-23f0b86aff0d,Serval,Honkai Star Rail: Đâu là nhân vật 4 sao tri thức thuộc tính lôi?,,
c9714bc5-546f-433e-9c56-f0d21d384303,Sparkle,Honkai Star Rail: Đâu là nhân vật 5 sao hòa hợp thuộc tính lượng tử?,,
