id,answer,question,hint,desc
6d54732b-0507-4160-8ca6-3665f239fc2c,Application Layer,Network: Lớp cuối cùng trong quá trình mở gói dữ liệu của mô hình OSI có tên là gì?,,
f0c7f65f-45a0-4037-95be-3efee5d45f48,Application Layer,Network: Lớp đầu tiên trong quá trình đóng gói dữ liệu của mô hình OSI có tên là gì?,,
06e02c22-c922-4a46-8ea9-30d859e49c81,Data Link Layer,Network: Lớp thứ hai trong quá trình mở gói dữ liệu của mô hình OSI có tên là gì?,,
4d5044ed-5af8-44f1-8875-d6043e6b05fe,Data Link Layer,Network: Lớp thứ sáu trong quá trình đóng gói dữ liệu của mô hình OSI có tên là gì?,,
5f31d47f-a38c-4145-b081-5a0e1449db3c,Network Layer,Network: Lớp thứ ba trong quá trình mở gói dữ liệu của mô hình OSI có tên là gì?,,
c635488e-76fa-47cb-908b-0011563dc182,Network Layer,Network: Lớp thứ năm trong quá trình đóng gói dữ liệu của mô hình OSI có tên là gì?,,
84b7ee1a-e4dc-4f62-b390-2c01fed16c74,Physical Layer,Network: Lớp cuối cùng trong quá trình đóng gói dữ liệu của mô hình OSI có tên là gì?,,
dd060d64-c361-4d70-9567-02adec620e5d,Physical Layer,Network: Lớp đầu tiên trong quá trình mở gói dữ liệu của mô hình OSI có tên là gì?,,
2f3a0cc1-ca06-4d20-abe6-22e07245ab0f,Presentation Layer,Network: Lớp thứ hai trong quá trình đóng gói dữ liệu của mô hình OSI có tên là gì?,,
3a6ee208-a3fb-4bc6-abe8-21bd5494cd83,Presentation Layer,Network: Lớp thứ sáu trong quá trình mở gói dữ liệu của mô hình OSI có tên là gì?,,
41768b7e-3126-480f-989d-e6819dd7f5fe,Session Layer,Network: Lớp thứ ba trong quá trình đóng gói dữ liệu của mô hình OSI có tên là gì?,,
028d08d2-3253-4db6-bd42-e512cc03a1e5,Session Layer,Network: Lớp thứ năm trong quá trình mở gói dữ liệu của mô hình OSI có tên là gì?,,
f0f9de4c-d5a6-4ab3-9e83-de358924ab53,Transport Layer,Network: Lớp thứ tư trong quá trình mở gói dữ liệu của mô hình OSI có tên là gì?,,
c3304bd1-8c0f-4628-943d-601c9d7a3aa7,Transport Layer,Network: Lớp thứ tư trong quá trình đóng gói dữ liệu của mô hình OSI có tên là gì?,,
