id,answer,question,hint,desc
8b8db61c-69db-4cc6-ba4d-0f682afda50f,pwd,Lệnh nào in ra thư mục làm việc hiện tại?,,
f836adc3-35bd-4719-8c63-fa05b8695505,"pwd ""hello world""",Lệnh nào in ra thư mục làm việc hiện tại?,,
c276771a-9269-4d09-b22d-c84144931868,pwd -L,Lệnh nào in ra thư mục làm việc hiện tại?,,
15a2d173-4e54-46dd-bbd7-41827cc2b0e7,pwd -P,Lệnh nào in ra thư mục làm việc hiện tại?,,
37752caa-6b36-45df-b502-afdd4c68e220,pwd .,Lệnh nào in ra thư mục làm việc hiện tại?,,
4bf1a9f0-4146-4081-9256-7a4c1d4fa34f,pwd /home,Lệnh nào in ra thư mục làm việc hiện tại?,,
859290f2-0683-47b3-b95f-425ac2bbd5b2,pwd 1,Lệnh nào in ra thư mục làm việc hiện tại?,,
4d816cbe-f3cc-487c-a503-7114c0d5a58f,pwd cd,Lệnh nào in ra thư mục làm việc hiện tại?,,
ca788121-f43d-41f0-84cb-e972a6a26212,pwd current directory,Lệnh nào in ra thư mục làm việc hiện tại?,,
358b0f84-03ae-482c-98d1-371ea4bd3a0d,pwd dir,Lệnh nào in ra thư mục làm việc hiện tại?,,
d8917458-f04b-401e-b8da-fc20514aa704,pwd directory,Lệnh nào in ra thư mục làm việc hiện tại?,,
44e3f69c-faf5-4697-af5a-bcf72bd62091,pwd echo,Lệnh nào in ra thư mục làm việc hiện tại?,,
347c43d3-db72-443c-acba-1bdeb7e48c5f,pwd echo working directory,Lệnh nào in ra thư mục làm việc hiện tại?,,
19c65a1d-6e63-42b7-80f6-b5e1124c603a,pwd hello world,Lệnh nào in ra thư mục làm việc hiện tại?,,
47c6481a-9a81-4cdf-aa26-61cbe5ea62ba,pwd home,Lệnh nào in ra thư mục làm việc hiện tại?,,
733ac59a-e6b1-4d23-ae59-ed833f672607,pwd home/,Lệnh nào in ra thư mục làm việc hiện tại?,,
91e2dd5f-0175-43a2-a480-0e340eae086e,pwd Home/,Lệnh nào in ra thư mục làm việc hiện tại?,,
6d4552ef-8d63-4889-92ce-39469185b73e,pwd l,Lệnh nào in ra thư mục làm việc hiện tại?,,
0e408755-dd31-4409-9edd-5ecf0f7d7f56,pwd print,Lệnh nào in ra thư mục làm việc hiện tại?,,
88a48de6-a061-4433-8f25-3c5b1d3ee651,"pwd print ""working directory""",Lệnh nào in ra thư mục làm việc hiện tại?,,
dbac548e-f137-477b-a306-9cecd1000e0b,pwd print cd,Lệnh nào in ra thư mục làm việc hiện tại?,,
6a9ad001-c6ab-48b3-9e79-c1368d632cae,pwd print current directory,Lệnh nào in ra thư mục làm việc hiện tại?,,
63ba111e-87b5-4f7d-ab1f-29136bcd016a,pwd print current working directory,Lệnh nào in ra thư mục làm việc hiện tại?,,
ebc3d70f-cf6a-43a7-94a1-1f804f7c288d,pwd print directory,Lệnh nào in ra thư mục làm việc hiện tại?,,
aa9da08b-18ec-419d-ad2d-998e23e58679,pwd print file dictionary,Lệnh nào in ra thư mục làm việc hiện tại?,,
87147537-1164-45d1-bcdd-f98b11cf3d38,pwd print home,Lệnh nào in ra thư mục làm việc hiện tại?,,
bdf234ca-7ddc-4696-ba12-37d892365fc1,pwd print workinf directory,Lệnh nào in ra thư mục làm việc hiện tại?,,
3679bd94-c4c6-4ca8-b5ef-a81a95e39c0d,pwd print working director,Lệnh nào in ra thư mục làm việc hiện tại?,,
bac9034a-ee09-4ddf-a0c5-00123033e7ed,pwd print working directory,Lệnh nào in ra thư mục làm việc hiện tại?,,
312a9667-087f-4413-9d32-bef4e8ebeafd,pwd print working directot,Lệnh nào in ra thư mục làm việc hiện tại?,,
d15f06d5-58bc-4c14-8fb9-886cec6ea897,pwd print working diretory,Lệnh nào in ra thư mục làm việc hiện tại?,,
f8fdc616-f213-437d-bf6b-9fbb77da7572,pwd printf,Lệnh nào in ra thư mục làm việc hiện tại?,,
6ac36716-d330-44f1-b512-83275e8f31b6,pwd working,Lệnh nào in ra thư mục làm việc hiện tại?,,
e92e0929-e7ff-469d-aab2-adddac4d37ff,pwd working directory,Lệnh nào in ra thư mục làm việc hiện tại?,,
acbb32c9-3fed-4def-b981-080cee6d395f,pwd | ls |  xargs cat,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
c832331d-3722-4f7c-996e-e45447da36a6,pwd || echo,Lệnh nào in ra thư mục làm việc hiện tại?,,
a37e173b-b9f3-4a56-b3d6-a1f03f707230,pwd;,Lệnh nào in ra thư mục làm việc hiện tại?,,
