id,answer,question,hint,desc
6dc6d929-3ead-4dd3-a4e1-7d47ec8b37bf,phường An Hải,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
44ed9b9d-6bf7-46cc-92d1-5fb07e4f467a,phường An Khê,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
e783e617-f0c0-4b18-a453-059cb768b010,phường An Thắng,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
174a4603-564c-4270-ac5e-85dfe9890eb6,phường Bàn Thạch,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
9c2128fa-1a3c-43dc-8b3d-6f1054e9dcef,phường Cẩm Lệ,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
f66ac5e6-99a4-4c3f-8bde-f63b1a52b721,phường Hòa Cường,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
a802569d-8237-47bb-a7cd-228ab3d74782,phường Hòa Khánh,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
73a8f2d2-1ce9-4757-8094-b8e5579932be,phường Hòa Xuân,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
add47b88-04d1-42cf-982a-48a2515a6f9e,phường Hương Trà,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
21a73469-6d57-4d90-bfd5-96505f9a7654,phường Hải Châu,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
3c187199-5777-49e1-af6d-750fd73b1381,phường Hải Vân,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
d5384baa-a27d-42e4-a2bb-27306d7ab1ef,phường Hội An,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
81d62ad8-8404-461f-8c78-10e0f94cc20f,phường Hội An Tây,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
ec9fe4ff-a488-46c0-8f09-6acd28c76b5a,phường Hội An Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
6b729631-6f5d-4ce6-80f8-062c29f09e95,phường Liên Chiểu,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
b1ad0fbb-ee66-4f9c-8387-17c635451ad4,phường Ngũ Hành Sơn,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
9a3c9180-b6f8-4824-be81-cee6d0216240,phường Quảng Phú,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
6686155c-993f-4a89-9e15-4327cf19d7b7,phường Sơn Trà,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
be2bed0c-e1d4-4482-b0cf-30b09d5525b5,phường Tam Kỳ,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
0cf5dbe1-9e5b-4963-90d4-36bc02561a52,phường Thanh Khê,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
749abcdc-cfb9-4341-900e-2248321e399c,phường Điện Bàn,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
e8757e3a-0612-447f-b867-09951cd5fccc,phường Điện Bàn Bắc,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
3b21a538-49dd-425b-a35e-2f9e53e53788,phường Điện Bàn Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
d20ffac5-b15d-4808-ab40-752067abd169,xã Avương,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
02524320-e866-4032-b153-d26f6a9de69f,xã Bà Nà,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
45a67c37-9d3b-4610-8d46-d7a493314beb,xã Bến Giằng,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
f2da4e99-06ac-4fd5-9772-685b836cad6c,xã Bến Hiên,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
8f4769a7-479e-4da3-ad3b-94d84a91d0b0,xã Chiên Đàn,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
a089c8a3-3bb3-4cdc-a036-c8e77bf8d18d,xã Duy Nghĩa,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
55b06c3a-287e-4ae3-b3bd-e60c62781568,xã Duy Xuyên,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
1e3e425e-b136-4ea0-bce2-479c89aa82d7,xã Gò Nổi,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
1df8efe5-441d-4199-866c-2dac3a8dbd21,xã Hiệp Đức,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
3770e9b5-2fb6-4bb9-af26-278d9ed590d3,xã Hà Nha,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
7c54d5f4-de27-4bda-83c1-c7207e5edf86,xã Hòa Tiến,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
a378ea77-dc08-4f70-ab23-05af04f9a9e8,xã Hòa Vang,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
4f824639-aaa6-471f-a50f-828016dc8f4e,xã Hùng Sơn,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
c30fa548-1a5b-4235-97ed-65244c547e66,xã Khâm Đức,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
cdc5e92d-5cf7-4d1f-b355-6fab268383d0,xã La Dêê,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
a1dc5bba-77e8-4671-ba51-54a0dcc9d7fa,xã La Êê,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
e86bbc07-b641-4e99-8730-1c5a8a1acb65,xã Lãnh Ngọc,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
4dc947f2-e4cb-4814-a38e-56f157feb9f5,xã Nam Giang,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
f9d9b277-4d39-4bc3-a67d-304cb6477a94,xã Nam Phước,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
5b8be1bb-b0d7-40b3-8a2a-844c1254dbf1,xã Nam Trà My,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,,
