id,answer,question,hint,desc
f8f20e40-3a9e-4d5a-aaad-2c7b88068ecd,phường Ba Đình,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
b6e61cef-e712-401b-81f6-8fe5ae5796e1,phường Bạch Mai,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
fefbd6d4-6828-410b-8c23-b62aa0af473e,phường Bồ Đề,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
681153fc-f424-4a33-b19b-b5b14861bb19,phường Chương Mỹ,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
d0cb2d6b-cdd6-43c8-a209-d65c344902f0,phường Cầu Giấy,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
98064204-b6d2-4f9d-bcc2-a3dea0907ad6,phường Cửa Nam,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
ef2b1209-9cd2-45ac-bb3d-ce4d239213d5,phường Dương Nội,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
663c3070-4ac2-4d1a-b111-d53da342aab0,phường Giảng Võ,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
83869708-6d10-40c8-b461-28b25b56f8af,phường Hai Bà Trưng,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
9582bca3-7220-4b7b-8182-ebcc060152d9,phường Hoàn Kiếm,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
4248c574-cf6b-4001-9a02-65ff0e6269bb,phường Hoàng Liệt,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
92e11223-9e48-479e-9be9-9d615a3e20d1,phường Hoàng Mai,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
5ca45cb5-e152-49d4-b25a-4154b65350e7,phường Hà Đông,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
3b6df582-51e0-4354-812b-198f1d28f52c,phường Hồng Hà,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
de3e05af-0561-4550-bdc6-58a59ef8a74c,phường Khương Đinh,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
5bc5f06d-34bb-4a06-8b0a-c9cbcb33f9a4,phường Kim Liên,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
93708691-0bc6-4bd5-8384-66b6458f15ca,phường Kiến Hưng,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
0f2e49ce-b4d5-4c19-9c11-87269bf7a4e0,phường Long Biên,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
679218d9-963e-4709-a9fe-a4c2706c278a,phường Láng,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
a05e706b-ff59-4c26-b312-a1f0a705aad3,phường Lĩnh Nam,Đâu là đơn vị hành chính cấp xã của Thủ đô (Thành phố) Hà Nội?,,
