id,answer,question,hint,desc
49e4c034-c0b5-4492-b068-fb8aa7c107c3,phường An Biên,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
323c5237-7d83-4c46-8c92-40027b55df79,phường An Dương,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
6d5f6e6c-f479-4251-944a-2918e894ebe2,phường An Hải,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
5052bcce-1b44-4e11-bde8-b11a299c6179,phường An Phong,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
677113bf-610f-4e7d-96d3-3d8bb046d591,phường Bạch Đằng,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
13695d0d-99bf-40e3-9444-e1d37abfa69d,phường Bắc An Phụ,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
6360521f-5278-4261-974f-7f4e7fccf29b,phường Chu Văn An,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
a759f021-eac0-4017-9ef7-f65cd65feba3,phường Chí Linh,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
66621498-374b-4449-887b-fe5d37a902ce,phường Dương Kính,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
6788b125-0eba-4631-9e75-b426493c7660,phường Gia Viên,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
e0e5013d-a807-492f-9614-7687b1785a23,phường Hòa Bình,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
a521f4a8-8c47-4cb0-876c-9e814470c46c,phường Hưng Đạo,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
61e3219f-fcde-483a-9e91-a92983afe120,phường Hải An,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
4ec4411c-3e30-4501-a1d3-0fcfab2884e6,phường Hải Dương,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
e993ea87-a24c-4603-8667-23958cf82b31,phường Hồng An,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
ecd8b47b-619d-4135-be49-d3389d860c38,phường Hồng Bàng,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
04750b06-61e4-4af8-bcd4-9b5fd4b7ab63,phường Kinh Môn,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
97a10cbd-617a-4b13-b319-cf4ef0cb3d21,phường Kiến An,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
a11a1814-86a9-41b0-a6a4-279945300d2c,phường Lê Chân,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
5a26719c-8314-43f1-be14-79c517405599,phường Lê Thanh Nghị,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
6cb39104-90ff-4e62-a94a-f3a529623bab,phường Lê Ích Mộc,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
2d67b91c-fca3-41a1-82ec-2b819ba5b305,phường Lê Đại Hành,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
78a753a9-e748-4768-87f6-e085d4234021,phường Lưu Kiếm,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
7cb5f11e-d1c4-4df6-88ef-475e019e3a54,phường Nam Triệu,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
2a9b98f2-e95b-48fb-8579-49ece78c2339,phường Nam Đồ Sơn,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
c8db07d4-9a61-42dc-a5a4-cad6e2edb379,phường Nam Đồng,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
2b429913-85f9-47bb-9da6-546b0d7920b0,phường Nguyễn Trãi,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
612f8ec9-423c-4708-8403-71010c3e596d,phường Nguyễn Đại Năng,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
3f33dc26-0268-40d0-89a3-3b7b2d9ecc0d,phường Ngô Quyền,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
3f6b5203-3911-48c4-ab6e-1953f83865ee,phường Nhị Chiểu,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
7752951e-503c-4f74-abb8-743f3c80e535,phường Phù Liễn,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
3b336ab4-022d-432e-a91c-cb9807083d26,phường Phạm Sư Mạnh,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
3d4385d9-1a11-4b40-b24a-cdb283776d0e,phường Thiên Hương,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
3c366390-14fa-4640-87e4-73d6d79c5651,phường Thành Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
df07ed96-a519-4f48-b529-d0ac3f51ae71,phường Thạch Khôi,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
f1193323-3089-4af0-a955-5c5f658f1237,phường Thủy Nguyên,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
55212695-7665-4e37-928e-af04d8a005d7,phường Trần Hưng Đạo,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
4f4cd54e-aca6-4592-895b-1c3c7f183dad,phường Trần Liễu,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
fa1f16c3-c612-4e86-8d69-63ec6c3a3bdd,phường Trần Nhân Tông,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
bd2bfc08-2415-4169-bb6c-47c6c88c7b57,phường Tân Hưng,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
c99667e2-069a-4ac2-a6d2-6b8fae24d821,phường Tứ Minh,Đâu là đơn vị hành chính cấp xã của Thành phố Hải Phòng?,,
