id,answer,question,hint,desc
c012c9d7-04e2-48ad-8831-559457bc0dbd,phường An Cựu,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
822e1dc1-55e3-4502-b1fa-f16709fb20a6,phường Dương Nỗ,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
a991165b-ef46-4540-a72b-9b0dc499e55c,phường Hóa Châu,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
0d0c0d93-0219-4586-beab-2dc4dc0e5101,phường Hương An,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
bb730b98-194c-4ee3-8ab9-2504c1cb1686,phường Hương Thủy,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
6116d606-f5fb-4a58-a520-7a28484115af,phường Hương Trà,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
7c31d505-3a79-43f6-9852-ffb411abb334,phường Kim Long,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
be5c50b2-bd5a-45b0-8881-06547d55d36b,phường Kim Trà,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
5cb52361-2d61-4e84-a797-9c7341151697,phường Mỹ Thượng,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
f707cfeb-49c2-4bb8-9634-48cebc42832d,phường Phong Dinh,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
d8bde9b7-c04d-49d8-aba3-f686f4cb9299,phường Phong Phú,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
84e9d20c-b387-455e-b9e4-9d47e596a449,phường Phong Quảng,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
f780f9ba-5530-4668-8814-cd03e5836a60,phường Phong Thái,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
bffe7b9f-91f6-48f7-aefa-86a226512ae7,phường Phong Điền,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
f2a168fa-811c-4677-b8b6-1535ecb56251,phường Phú Bài,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
4dbbab2d-9f74-4391-8666-bd6b9d279de9,phường Phú Xuân,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
0cb88e39-013d-4861-87a9-0d0319921178,phường Thanh Thủy,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
da3e7bd6-808d-42c2-a89f-c395677e4b30,phường Thuận An,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
dd4c0998-b028-465c-9f77-df34358b135c,phường Thuận Hóa,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
48e88c15-de52-4b71-bf4e-3128af0e9bc9,phường Thủy Xuân,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
7b2c5235-b567-4fc8-bb87-7dc3cbd39e6b,phường Vĩ Dạ,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
b06c0245-cd73-4d5a-a9c2-33e926de9fb6,xã A Lưới 1,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
9a760ed4-4fb1-4130-9ddb-6b5eb5430a65,xã A Lưới 2,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
737cfec8-c7a6-4774-befd-f77cab77f5f3,xã A Lưới 3,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
12034afd-cbbc-4cd4-9f49-ed9052904e85,xã A Lưới 4,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
b96eca4c-6cca-44e7-bf53-18898c553684,xã A Lưới 5,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
1328af87-0bfb-4053-8bf3-4c8cbfd16001,xã Bình Điền,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
c0507d62-caf4-4685-a8d9-5b7f98e37586,xã Chân Mây - Lăng Cô,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
9245b8e7-eafd-42ba-9220-eb334b1c597b,xã Hưng Lộc,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
306648bd-a458-4e71-b12a-feb5012e7551,xã Khe Tre,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
41c6542a-aa1c-4849-af94-d9cde8a956f2,xã Long Quảng,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
6f508ea3-41f5-414e-85d0-be19e2e409da,xã Lộc An,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
f3ae33e3-a169-42d4-8d68-0d6ec8d9a9f4,xã Nam Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
47c0d1f6-c348-41b7-ab95-bb984eeec7d0,xã Phú Hồ,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
26ca77a5-2df5-4a95-b2e4-d63a9ef7ddce,xã Phú Lộc,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
580c2374-817d-4125-8fe8-2a8228c9b150,xã Phú Vang,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
d1c39eaa-d641-4406-95ad-e53549d1697d,xã Phú Vinh,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
99d6825c-ba63-4d43-82e4-f3c67197d760,xã Quảng Điền,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
40ae62c5-3510-4193-8587-1e87af9061c7,xã Vinh Lộc,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
3174328c-815a-485e-bad1-cda48be0fb99,xã Đan Điền,Đâu là đơn vị hành chính cấp xã của Thành phố Huế?,,
