id,answer,question,hint,desc
d143f4c9-5ba7-4da4-b77b-ad19e9493a0e,Address Resolution Protocol,Giao thức arp là viết tắt của từ nào sau đây?,- OSI: Data Link; 2.5; Network,
1b234787-372e-4078-9236-c802d0c3ede6,Asynchronous Transfer Mode,Giao thức atm là viết tắt của từ nào sau đây?,- OSI: Data Link; Network Topology,
223dac93-2b2e-4c0e-ac16-80fbfa703220,Attached Resource Computer Network,Giao thức arcnet là viết tắt của từ nào sau đây?,- OSI: Data Link,
b909478a-ea5f-4fbb-92e1-aceb920758dc,Challenge Handshake Authentication Protocol,Giao thức chap là viết tắt của từ nào sau đây?,- OSI: Data Link,
5c58d3b2-ecd5-48ba-96bb-a2f214ee964b,Cisco Discovery Protocol,Giao thức cdp là viết tắt của từ nào sau đây?,- OSI: Data Link,
f5a20f98-6e76-457b-9a2b-5ec5de1fb4fa,Connectionless Networking Protocol,Giao thức clnp là viết tắt của từ nào sau đây?,- OSI: Network,
77c16d33-c4a7-41a0-ba2f-1367be47a692,Data Link Switching Client Access Protocol,Giao thức dacp là viết tắt của từ nào sau đây?,- OSI: Data Link,
5f4a15e6-3660-4367-8f01-e17cdf3ab24c,Distributed Multi-Link Trunking,Giao thức dmlt là viết tắt của từ nào sau đây?,- OSI: Data Link,
63ebabd5-662d-4c12-b92a-2e6ebfafb543,Distributed Split Multi-Link Trunking,Giao thức dsmlt là viết tắt của từ nào sau đây?,- OSI: Data Link,
bd6f199c-4b4b-446b-ada3-f660f411851a,Dynamic Trunking Protocol,Giao thức dtp là viết tắt của từ nào sau đây?,- OSI: Data Link,
466a4915-dcff-4d20-b0f9-8db916f97cda,Fiber Distributed Data Interface,Giao thức fddi là viết tắt của từ nào sau đây?,- OSI: Data Link,
81b4e673-4be9-4ade-b9ed-8d54113e7865,Frame Relay,Giao thức fr là viết tắt của từ nào sau đây?,- OSI: Data Link,
67c30530-e7ab-448d-936a-ffefaf7216d1,Gateway Load Balancing Protocol,Giao thức glbp là viết tắt của từ nào sau đây?,- OSI: Network,
035d2c1f-ef83-45e1-be44-01ef86bdd5ab,High-Level Data Link Control,Giao thức hdlc là viết tắt của từ nào sau đây?,- OSI: Data Link,
5ffda9ed-4261-4847-b5c6-9eccfe4f1325,Hot Standby Router Protocol,Giao thức hsrp là viết tắt của từ nào sau đây?,- OSI: Network,
d8b2d478-265e-453b-8385-0df6f86e01a3,IEEE 802.17 Resilient Packet Ring,Giao thức rpr là viết tắt của từ nào sau đây?,- OSI: Data Link,
513e7ce4-26a2-4077-a8c7-d3bd69d79aca,Intermediate System - Intermediate System,Giao thức is-is là viết tắt của từ nào sau đây?,- Network Topology,
c72f462c-9b5f-42e4-a86c-430c7d1ea4f6,Internet Control Message Protocol,Giao thức icmp là viết tắt của từ nào sau đây?,- OSI: Network,
d0f8a96b-d36d-411d-8ed2-8ed6b876870f,Internet Protocol,Giao thức ip là viết tắt của từ nào sau đây?,- OSI: Network,
c9c2b387-cdd3-4c31-8d3f-8a587a03bed8,Internet Protocol Security,Giao thức ipsec là viết tắt của từ nào sau đây?,- OSI: Network,
5919ca78-da45-4dc9-aa8c-bc348dfc1887,Internetwork Packet Exchange,Giao thức ipx là viết tắt của từ nào sau đây?,- OSI: Network,
b5b544d5-48a4-41fc-ab81-7ccc7e1cf160,Layer 2 Forwarding Protocol,Giao thức l2f là viết tắt của từ nào sau đây?,- OSI: Data Link,
8c4a04b8-b2c4-454f-a7a7-a18bed36183c,Layer 2 Tunneling Protocol,Giao thức l2tp là viết tắt của từ nào sau đây?,- OSI: Data Link,
f72e1436-8222-4b8a-91b7-5a06a9bc90fc,Link Aggregation Control Protocol,Giao thức lacp là viết tắt của từ nào sau đây?,- OSI: Data Link,
77d33474-cae9-4f57-8853-45ad05469e09,Link Layer Discovery Protocol,Giao thức lldp là viết tắt của từ nào sau đây?,- OSI: Data Link,
aad00fb9-bb10-42b1-8b3b-0b19ae138e44,Link Layer Discovery Protocol - Media Endpoint Discovery,Giao thức lldp-med là viết tắt của từ nào sau đây?,- OSI: Data Link,
d872c027-250c-4983-869e-c8862776edb2,Media Access Control,Giao thức mac là viết tắt của từ nào sau đây?,- OSI: Data Link,
307eea81-817f-4ac1-8025-ca5d662c722c,Medium Access Control,Giao thức mac là viết tắt của từ nào sau đây?,- OSI: Data Link,
531ca33d-c9c5-4059-9bb3-56f4b6ed38fe,Message Transfer Part,Giao thức mtp là viết tắt của từ nào sau đây?,- Network Topology,
d39be366-ecef-4b16-bfda-49d9a83d4717,Multi-Link Trunking,Giao thức mlt là viết tắt của từ nào sau đây?,- OSI: Data Link,
5cb2182b-d3eb-40cc-8143-219f121b90eb,Multiprotocol Label Switching,Giao thức mpls là viết tắt của từ nào sau đây?,- OSI: 2.5,
4970134a-5980-4655-88e4-9492dbb5bac7,Neighbor Discovery Protocol,Giao thức ndp là viết tắt của từ nào sau đây?,- OSI: Data Link,
c1434d4d-a905-4dcc-9b95-7f1832f3d900,Network Address Translation,Giao thức nat là viết tắt của từ nào sau đây?,- OSI: Network,
9d2b3a4d-4c01-4256-890d-da7d855977e6,Network Service Part,Giao thức nsp là viết tắt của từ nào sau đây?,- Network Topology,
c8af58a6-17ef-497c-b683-bfe86ec217bf,Open Shortest Path First,Giao thức ospf là viết tắt của từ nào sau đây?,- OSI: Network,
0cd5de17-e875-4e41-adf3-689c32564da4,Password Authentication Protocol,Giao thức pap là viết tắt của từ nào sau đây?,- OSI: Data Link,
9045b96a-5e4e-4d75-8e5c-f67b1c2f2133,Point-to-Point Protocol,Giao thức ppp là viết tắt của từ nào sau đây?,- OSI: Data Link,
f6e167d2-b804-4a3b-aa92-cc3672437d98,Point-to-Point Protocol over Ethernet,Giao thức pppoe là viết tắt của từ nào sau đây?,- OSI: 2.5,
565fbe35-17cc-4b87-b4f7-003b8268e83a,Point-to-Point Tunneling Protocol,Giao thức pptp là viết tắt của từ nào sau đây?,- OSI: Data Link,
db9ec4d9-ccef-4e66-a22b-9fe1c9a1c6ef,Proprietary Link Aggregation Protocol,Giao thức pagp là viết tắt của từ nào sau đây?,- OSI: Data Link,
8301ae86-1e5e-4553-9724-07da8bbdb3b0,Routing Information Protocol,Giao thức rip là viết tắt của từ nào sau đây?,- OSI: Network,
6e5a77a9-dbbf-4235-a162-ad9753e8f69c,Serial Line Internet Protocol,Giao thức slip là viết tắt của từ nào sau đây?,- OSI: Data Link,
18cf3d31-f6fd-4804-99b3-4cdde8e8b298,Shortest Path Bridging,Giao thức spb là viết tắt của từ nào sau đây?,- Network Topology,
a76f97a1-402a-4458-8e3c-3f1d78524e5a,Signalling Connection Control Part,Giao thức sccp là viết tắt của từ nào sau đây?,- OSI: Network,
404d7b97-f96e-4c51-8853-c7400d28f124,Simplified Message Transfer Part,Giao thức Q.710 là viết tắt của từ nào sau đây?,- OSI: Data Link,
500f0246-bc44-4568-a2b2-e5383f948464,Spanning Tree Protocol,Giao thức stp là viết tắt của từ nào sau đây?,- OSI: Data Link,
9ba785e0-4273-4a2a-99b3-a47b3dde7df4,Transparent Inter-Process Communication,Giao thức tipc là viết tắt của từ nào sau đây?,- OSI: 2.5,
e6076025-6961-44d6-a930-342cb043a32f,Transparent Interconnection of Lots of Links,Giao thức trill là viết tắt của từ nào sau đây?,- Network Topology,
62c303de-f143-4b71-81d2-0d680ca0abd8,Virtual Local Area Network,Giao thức vlan là viết tắt của từ nào sau đây?,- OSI: Data Link,
20f921c3-0252-424c-9bf2-79bd9781cf11,Virtual Router Redundancy Protocol,Giao thức vrrp là viết tắt của từ nào sau đây?,- OSI: Network,
4f5c8324-b735-4866-808b-54ed3be01d4d,VLAN Trunking Protocol,Giao thức vtp là viết tắt của từ nào sau đây?,- OSI: Data Link,
c191e9ce-9fe2-43bc-b6ba-b254f7315a76,Wifi,Giao thức IEEE 802.11 là viết tắt của từ nào sau đây?,- OSI: Data Link,
