id,answer,question,hint,desc
4e2ccaa0-a6a0-4102-9015-cc6bbaaf784e,Antigua và Barbuda,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
ff7a852b-9e9d-44ff-a618-87078c915afe,Argentina,Quốc gia nào ở khu vực Nam Mỹ (Châu Mỹ)?,,
04b6bf68-ed06-42bd-9abb-3838aae557a3,Bahamas,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
a9f28739-faed-4875-a40a-8a776dea6dc1,Barbados,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
ee85df1e-d599-4897-a71c-e97744a18b83,Belize,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
abc744ab-8c1f-4e0e-a82d-bbaa260b055a,Bolivia,Quốc gia nào ở khu vực Nam Mỹ (Châu Mỹ)?,,
e4813d46-8312-447c-961e-d921762b6b39,Brasil,Quốc gia nào ở khu vực Nam Mỹ (Châu Mỹ)?,,
b8e180c4-5425-4759-af53-147b33528f22,Canada,Quốc gia nào ở khu vực Bắc Mỹ (Châu Mỹ)?,,
7104a497-aa0a-4f0b-8e65-eab2d4351cf5,Chile,Quốc gia nào ở khu vực Nam Mỹ (Châu Mỹ)?,,
f401f4f3-6a86-44ac-9192-ad12e3f7a456,Colombia,Quốc gia nào ở khu vực Nam Mỹ (Châu Mỹ)?,,
427bcab4-0722-4a78-a56b-9842d2f76854,Costa Rica,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
a3e770a0-f374-4906-9ea6-12c02ce6c3dd,Cuba,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
191fc018-1e88-49e5-b349-75024f645df4,Cộng hòa Dominica,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
b23edfe4-6ff1-4160-8fbb-449c84d7a939,Dominica,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
4b089073-dfa6-4347-94c2-e3b18e244a03,Ecuador,Quốc gia nào ở khu vực Nam Mỹ (Châu Mỹ)?,,
34990ce7-e230-422a-a641-8b74b2ee2f46,El Salvador,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
69df8c22-55f4-4d97-81a3-81eddd9c6a7f,Grenada,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
594d901c-c207-45ea-869c-ffb6c5af093e,Guatemala,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
29caebe2-79c5-4db7-a801-1eac59b2d055,Guyana,Quốc gia nào ở khu vực Nam Mỹ (Châu Mỹ)?,,
eb927e3a-c1a9-4a15-982f-d51d8f407b12,Haiti,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
51a62dff-a936-4518-b1a4-9c71df63393e,Hoa Kỳ,Quốc gia nào ở khu vực Bắc Mỹ (Châu Mỹ)?,,
b6530e78-088f-4e74-a65d-c40b8d92022e,Honduras,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
7ae673a7-c9af-4873-8495-cf73dc08cf6e,Jamaica,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
77930668-3e2b-4b66-9830-1a11b4e1d1a3,México,Quốc gia nào ở khu vực Bắc Mỹ (Châu Mỹ)?,,
b5086dd4-b0f4-4447-a5ef-c98af3fa5d94,Nicaragua,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
d9133095-77e9-47ea-b50a-b2fad27177fc,Panama,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
17018a7e-4a2d-48ef-84c3-30c8f8819b11,Paraguay,Quốc gia nào ở khu vực Nam Mỹ (Châu Mỹ)?,,
82124be7-30a2-431a-9f31-b0e3a3fa47f3,Peru,Quốc gia nào ở khu vực Nam Mỹ (Châu Mỹ)?,,
904dc113-17e1-47f8-a0d4-5263a1ecfed5,Saint Kitts và Nevis,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
6762f915-bffd-49be-ad5f-5c41cb732cea,Saint Lucia,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
0e71a19e-d1ee-4a20-ad52-db665a86c3f4,Saint Vincent và Grenadines,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
4768947e-934b-4195-ad33-39a764f61b00,Suriname,Quốc gia nào ở khu vực Nam Mỹ (Châu Mỹ)?,,
e9fc5384-3682-491d-b94f-d7d2a644f379,Trinidad và Tobago,Quốc gia nào ở khu vực Trung Mỹ và Caribê (Châu Mỹ)?,,
ad021bb1-46e5-4a3f-b392-2e5c39521aee,Uruguay,Quốc gia nào ở khu vực Nam Mỹ (Châu Mỹ)?,,
80af0bc6-bdfe-4ffd-b571-c4f53b46c251,Venezuela,Quốc gia nào ở khu vực Nam Mỹ (Châu Mỹ)?,,
