id,answer,question,hint,desc
97f66ed5-633d-4a03-bf4d-15d5a845616c,Aino,"Genshin Impact: Đâu là nhân vật 4 sao, hệ thủy và sử dụng đại kiếm?",,
4b22c8d7-3c09-49e8-820b-e6d2c8d9fd70,Albedo,"Genshin Impact: Đâu là nhân vật 5 sao, hệ nham và sử dụng kiếm đơn?",,
19f56116-1891-4fb0-ad1f-328d6d95675a,Alhaitham,"Genshin Impact: Đâu là nhân vật 5 sao, hệ thảo và sử dụng kiếm đơn?",,
4da9dd08-a50e-4c7e-a622-917497f0a00f,Aloy,"Genshin Impact: Đâu là nhân vật 5 sao, hệ băng và sử dụng cung?",,
8840cf9f-8344-4b5b-93f4-eebb8ea01652,Amber,"Genshin Impact: Đâu là nhân vật 4 sao, hệ hỏa và sử dụng cung?",,
3a2968b7-a3bc-49d5-8c43-e209c9915671,Arataki Itto,"Genshin Impact: Đâu là nhân vật 5 sao, hệ nham và sử dụng đại kiếm?",,
d6564fa3-d2a4-4231-9816-08979347eb20,Arlecchino,"Genshin Impact: Đâu là nhân vật 5 sao, hệ hỏa và sử dụng thương?",,
17fd6df9-8de9-4240-9c99-f08f7b2c0f91,Baizhu,"Genshin Impact: Đâu là nhân vật 5 sao, hệ thảo và sử dụng pháp khí?",,
e4113153-5517-40fd-95e2-3f14418bc41d,Barbara,"Genshin Impact: Đâu là nhân vật 4 sao, hệ thủy và sử dụng pháp khí?",,
a9432f46-b27f-4b02-88c8-3f02133ca38e,Beidou,"Genshin Impact: Đâu là nhân vật 4 sao, hệ lôi và sử dụng đại kiếm?",,
ab4a1a0f-1c0d-4bfc-8158-ec862277dbd1,Bennett,"Genshin Impact: Đâu là nhân vật 4 sao, hệ hỏa và sử dụng kiếm đơn?",,
15080bc1-95dc-4e21-8dd2-77d5b933eb7f,Candace,"Genshin Impact: Đâu là nhân vật 4 sao, hệ thủy và sử dụng thương?",,
6b0e7a82-2a2c-40db-8b9c-3469039be3f2,Charlotte,"Genshin Impact: Đâu là nhân vật 4 sao, hệ băng và sử dụng pháp khí?",,
d92e60b9-ae61-45ce-8fec-8d07b7bcec8c,Chasca,"Genshin Impact: Đâu là nhân vật 5 sao, hệ phong và sử dụng cung?",,
a4e29c87-15f2-4c82-8225-e1d13c042db8,Chevreuse,"Genshin Impact: Đâu là nhân vật 4 sao, hệ hỏa và sử dụng thương?",,
02ce0341-85d4-487e-bc0b-db50ae70e643,Chiori,"Genshin Impact: Đâu là nhân vật 5 sao, hệ nham và sử dụng kiếm đơn?",,
bef788fe-8536-4206-b4d3-7be3775a4ed4,Chongyun,"Genshin Impact: Đâu là nhân vật 4 sao, hệ băng và sử dụng đại kiếm?",,
68481c27-4380-4d7f-a037-a2aec59c842f,Citlali,"Genshin Impact: Đâu là nhân vật 5 sao, hệ băng và sử dụng pháp khí?",,
e11c048f-30d4-4faf-90df-c0478eae4027,Clorinde,"Genshin Impact: Đâu là nhân vật 5 sao, hệ lôi và sử dụng kiếm đơn?",,
62dbd4a7-2c9f-4eb9-ab0a-11a360151069,Collei,"Genshin Impact: Đâu là nhân vật 4 sao, hệ thảo và sử dụng cung?",,
594fe205-3f66-4ba7-95ca-8b8d1b915105,Columbina,"Genshin Impact: Đâu là nhân vật 5 sao, hệ thủy và sử dụng pháp khí?",,
58cf1096-89d0-4408-b9cc-270aec086ac9,Cyno,"Genshin Impact: Đâu là nhân vật 5 sao, hệ lôi và sử dụng thương?",,
1e3c56c3-21a9-45d6-8bd3-8a5fbded1ab9,Dahlia,"Genshin Impact: Đâu là nhân vật 4 sao, hệ thủy và sử dụng kiếm đơn?",,
23c1337c-2c7b-4b8c-a3fe-178923d01a1c,Dehya,"Genshin Impact: Đâu là nhân vật 5 sao, hệ hỏa và sử dụng đại kiếm?",,
63f10c12-2be1-4be2-b1cc-e13de5b0f327,Diluc,"Genshin Impact: Đâu là nhân vật 5 sao, hệ hỏa và sử dụng đại kiếm?",,
9981d031-3441-4e31-a116-12567dac3401,Diona,"Genshin Impact: Đâu là nhân vật 4 sao, hệ băng và sử dụng cung?",,
ac385e12-02e6-4955-b805-24c00f2272d1,Dori,"Genshin Impact: Đâu là nhân vật 4 sao, hệ lôi và sử dụng đại kiếm?",,
6d166a8c-7c2c-4f9c-b3c4-f3244f2e1184,Durin,"Genshin Impact: Đâu là nhân vật 5 sao, hệ hỏa và sử dụng kiếm đơn?",,
fe7225b8-a849-441a-bfaf-c47ce132557f,Emilie,"Genshin Impact: Đâu là nhân vật 5 sao, hệ thảo và sử dụng thương?",,
52480d15-ab5d-4c9b-8029-8b3bc533daf8,Escoffier,"Genshin Impact: Đâu là nhân vật 5 sao, hệ băng và sử dụng thương?",,
927d22e1-7564-491e-b580-f67e214e18f6,Eula,"Genshin Impact: Đâu là nhân vật 5 sao, hệ băng và sử dụng đại kiếm?",,
043076ed-553f-424c-adb3-bd87f588acc5,Faruzan,"Genshin Impact: Đâu là nhân vật 4 sao, hệ phong và sử dụng cung?",,
a814b000-60ab-49d0-961e-3b54a7907359,Fischl,"Genshin Impact: Đâu là nhân vật 4 sao, hệ lôi và sử dụng cung?",,
