id,answer,question,hint,desc
f7a3dd94-4599-4733-99e0-664be53c16ce,32-bit Architecture,Hardware and System: Đâu là tên đầy đủ của x86?,- Kiến trúc hệ thống và ảo hóa,
a08442ef-96ff-4ff6-b84c-4ef3237f9f09,64-bit Architecture,Hardware and System: Đâu là tên đầy đủ của x64?,- Kiến trúc hệ thống và ảo hóa,
d19a6fef-f9b0-43e2-bf19-3b65d2d73d4d,Accelerated Processing Unit,Hardware and System: Đâu là tên đầy đủ của APU?,- Phần cứng cốt lõi máy tính,
57d6a3eb-5bcd-409f-8611-9f36f46713c3,Basic Input/Output System,Hardware and System: Đâu là tên đầy đủ của BIOS?,- Bo mạch chủ và firmware (phần sụn),
201d9f4c-2755-43ab-80d7-161840ccfdba,Central Processing Unit,Hardware and System: Đâu là tên đầy đủ của CPU?,- Phần cứng cốt lõi máy tính,
47f4c7f3-32b7-4bd3-8912-8645cb13d52a,Command Line Interface,Hardware and System: Đâu là tên đầy đủ của CLI?,- Khái niệm hệ thống và hệ điều hành,
4ad9a47a-ee60-450a-ab47-efd68b7acbd2,Complementary Metal-Oxide Semiconductor,Hardware and System: Đâu là tên đầy đủ của CMOS?,- Bo mạch chủ và firmware (phần sụn),
9dc2fa62-3121-44eb-be01-d96268958161,Digital Visual Interface,Hardware and System: Đâu là tên đầy đủ của DVI?,- Thiết bị ngoại vi & nhập/xuất,
7d8987ff-1ba3-41b7-bde1-695134f5caa9,Embedded Multi Media Card,Hardware and System: Đâu là tên đầy đủ của eMMC?,- Công nghệ lưu trữ,
bafb1158-5cca-4a3a-8962-5aa7b7c3fd5f,File Allocation Table,Hardware and System: Đâu là tên đầy đủ của FAT?,- Khái niệm hệ thống và hệ điều hành,
2ca6d9f7-042f-4fe1-a490-91e5118a8aa4,File System,Hardware and System: Đâu là tên đầy đủ của FS?,- Khái niệm hệ thống và hệ điều hành,
77293849-efb5-4fdc-a686-8929d7430653,Fourth Extended File System,Hardware and System: Đâu là tên đầy đủ của EXT4?,- Khái niệm hệ thống và hệ điều hành,
aa7de81e-1ccc-4a8d-9d51-bcd752b9f6de,Gigabyte,Hardware and System: Đâu là tên đầy đủ của GB?,- Công nghệ lưu trữ,
6fd2023f-839c-4b98-bfcf-813e85e5dbba,Gigahertz,Hardware and System: Đâu là tên đầy đủ của GHz?,- Dữ liệu và hiệu suất,
43d3e67e-e07f-4cf5-a636-a78216b81bcd,Graphical User Interface,Hardware and System: Đâu là tên đầy đủ của GUI?,- Khái niệm hệ thống và hệ điều hành,
16b51574-b564-49d2-b323-74778f50357e,Graphics Processing Unit,Hardware and System: Đâu là tên đầy đủ của GPU?,- Phần cứng cốt lõi máy tính,
b4f0af8a-0daa-42cf-8fc9-080b1bff999f,Hard Disk Drive,Hardware and System: Đâu là tên đầy đủ của HDD?,- Phần cứng cốt lõi máy tính,
f0efdc08-64c0-4b39-af81-8aa0cfab818d,Hertz,Hardware and System: Đâu là tên đầy đủ của Hz?,- Dữ liệu và hiệu suất,
6b67fdd2-4ebd-4dcb-a293-81fb1c1314f6,High-Definition Multimedia Interface,Hardware and System: Đâu là tên đầy đủ của HDMI?,- Thiết bị ngoại vi & nhập/xuất,
c4283927-7aad-429c-983b-6c17820e804a,Input/Output,Hardware and System: Đâu là tên đầy đủ của I/O?,- Thiết bị ngoại vi & nhập/xuất,
d5a12fc2-a38c-43f6-97b2-2b5be33ba7d2,Input/Output Operations Per Second,Hardware and System: Đâu là tên đầy đủ của IOPS?,- Dữ liệu và hiệu suất,
8a9bf430-44df-43e6-85bd-250e12e7da16,Integrated Drive Electronics,Hardware and System: Đâu là tên đầy đủ của IDE?,- Bo mạch chủ và firmware (phần sụn),
c73fbcce-c492-4d13-9436-1cfa6d8cee6d,Kernel Programming Interface,Hardware and System: Đâu là tên đầy đủ của KPI?,- Khái niệm hệ thống và hệ điều hành,
0e2500d7-898a-431c-91a1-690c75ad8258,Kernel-based Virtual Machine,Hardware and System: Đâu là tên đầy đủ của KVM?,- Kiến trúc hệ thống và ảo hóa,
654c513c-899e-429b-a599-4241e63cd84a,Megabyte,Hardware and System: Đâu là tên đầy đủ của MB?,- Công nghệ lưu trữ,
