id,answer,question,hint,desc
349b4686-9355-460f-8b06-7ca7b5be8e3b,Datagram Congestion Control Protocol,DCCPlà viết tắt của từ nào sau đây?,,
5139fafe-699e-4f6b-bd16-b55cc22644c6,Domain Name System,DNS là viết tắt của từ nào sau đây?,,
8437c4ad-c796-46a6-9b70-1f483b1df7e2,Dynamic Host Configuration Protocol,DHCP là viết tắt của từ nào sau đây?,,
7003d98c-8bb3-4460-a555-a5672500f253,File Transfer Protocol,FTP là viết tắt của từ nào sau đây?,,
4c9bfd57-2c4e-4c9b-a832-113e111df28d,Hypertext Transfer Protocol,HTTP là viết tắt của từ nào sau đây?,,
5f6a58a2-98eb-464b-8726-079d65271ba5,Hypertext Transfer Protocol Secure,HTTPs là viết tắt của từ nào sau đây?,,
63e4852b-b42e-40ff-8c2a-66040a56c661,Internet Message Access Protocol,IMAP là viết tắt của từ nào sau đây?,,
472a6ff9-6be8-4d9e-80a3-c3714aeb6439,Internet Protocol,IP là viết tắt của từ nào sau đây?,,
80f740ed-53bb-49ba-987f-125d2c8ed0e6,Network News Transfer Protocol,NNTP là viết tắt của từ nào sau đây?,,
64d3cc0e-34bd-4250-965d-bd3cc716abd9,Network Time Protocol,NTP là viết tắt của từ nào sau đây?,,
c7ca2545-3d0a-4f67-904f-8d54a3691500,Post Office Protocol Version 2,POP2 là viết tắt của từ nào sau đây?,,
70cd7b34-0fa5-41a2-aee3-b788e4f247ed,Post Office Protocol Version 3,POP3 là viết tắt của từ nào sau đây?,,
7cbf9a57-8efb-40e9-81b0-3ca33ccc4cba,Secure Shell,SSH là viết tắt của từ nào sau đây?,,
338d4bac-3693-41ee-a3fb-ec0bc409f183,Simple File Transfer Protocol,SFTP là viết tắt của từ nào sau đây?,,
2bcfa059-d297-4d8e-9919-e1cc6346aa6d,Simple Mail Transfer Protocol,SMTP là viết tắt của từ nào sau đây?,,
82d4e30b-6c4c-4f7f-869c-8caa160ba869,Simple Network Management Protocol,SNMP là viết tắt của từ nào sau đây?,,
023cd593-fdd6-4ad9-8664-9d97c6704c85,Stream Control Transmission Protocol,SCTP là viết tắt của từ nào sau đây?,,
bd468b14-e24e-4f4e-b324-b6c6b6692dd2,Teletype Network,Telnet là viết tắt của từ nào sau đây?,,
970af8c7-6199-40cd-bd0d-39a503c43ec6,Transmission Control Protocol,TCP là viết tắt của từ nào sau đây?,,
ed99aeec-b71d-4c3d-8ea4-66b0356fc254,Trivial File Transfer Protocol,TFTP là viết tắt của từ nào sau đây?,,
f0661aeb-ce5e-4e77-b9ea-f7842f60c03d,User Datagram Protocol,UDP là viết tắt của từ nào sau đây?,,
fc02aca6-ff6e-48e9-883c-6f0b7a54ffad,World Wide Web,WWW là viết tắt của từ nào sau đây?,,
