id,answer,question,hint,desc
36035f97-33be-4499-9144-a7217bac137a,[green]apt install [blue]<name>[/],Linux: Lệnh nào dùng để quản lý gói mức cao và cài đặt gói trong Debian?,,
1efec16d-7ea6-4500-aedd-b489295132a4,[green]apt purge [blue]<name>[/],Linux: Lệnh nào dùng để quản lý gói mức cao và gỡ gói (kể cả file cấu hình) trong Debian?,,
01bdf337-d30f-4c92-9f12-a754cb7a3dc2,[green]apt remove [blue]<name>[/],Linux: Lệnh nào dùng để quản lý gói mức cao và gỡ gói nhưng vẫn giữ tệp cấu hình trong Debian?,,
1651549b-84dc-4914-94cf-64b71cfac2af,[green]apt update[/],Linux: Lệnh nào dùng để quản lý gói mức cao và cập nhật danh sách gói trong Debian?,,
0011c80f-3a35-4fbe-ba73-5b40f2e3ee6b,[green]cat [blue]/proc/cpuinfo[/],Linux: Lệnh nào dùng để biết chi tiết về chip xử lý của máy?,,
704d06da-5d61-4f87-a50c-b6a68d0f4b36,[green]cat [blue]/proc/meminfo[/],Linux: Lệnh nào dùng để biết chi tiết về ram của máy?,,
8bc78548-f976-4deb-b858-7ae58e55b798,[green]dpkg -i [blue]package.deb[/],Linux: Lệnh nào dùng để quản lý gói mức thấp và cài đặt gói trong Debian?,,
5f5248de-64b2-4d60-9f88-7a2ecdb6bf4d,[green]dpkg -P [blue]package.deb[/],Linux: Lệnh nào dùng để quản lý gói mức thấp và gỡ gói (kể cả file cấu hình) trong Debian?,purge,
c50a3bc4-5244-40e7-86fe-622132a7c6a1,[green]dpkg -r [blue]package.deb[/],Linux: Lệnh nào dùng để quản lý gói mức thấp và gỡ gói nhưng vẫn giữ tệp cấu hình trong Debian?,,
18cf5296-a913-4368-acd2-cd7a32226a3a,[green]ldconfig[/],Linux: Lệnh nào dùng để cập nhật lại cache thư viện khi cài thêm một thư viện mới bằng thủ công?,,
33c813a0-2e86-4618-9026-960f5f29fa40,[green]ldd[/],Linux: Lệnh nào dùng để xem một chương trình cụ thể đang cần những thư viện nào?,,
b6bd79a6-0223-4db7-a872-3158a24a6eff,[green]lsmod[/],Linux: Lệnh nào dùng để liệt kê tất cả các module hiện đang được nạp vào Kernel?,,
4abea669-ac49-4645-9ca0-976b01fda325,[green]lspci -nn[/],Linux: Lệnh nào dùng để liệt kê các thiết bị kết nối qua bus PCI và hiển thị mã số định danh phần cứng?,- Ví dụ: 00:01.0 ISA bridge [0601]: Intel Corporation 82371SB PIIX3 ISA [Natoma/Triton II] [cyan][8086:7000][/],
722ca395-f80f-435d-968c-e4ce81a8eced,[green]lspci[/],Linux: Lệnh nào dùng để liệt kê các thiết bị kết nối qua bus PCI?,,
b1309787-3115-468c-a4aa-dd5c1fd075ea,[green]lsusb[/],Linux: Lệnh nào dùng để liệt kê các thiết bị kết nối qua cổng USB?,,
c7c7e1ea-7cd9-4b88-bea4-ece832a9fe09,[green]modinfo [blue]usb_common[/],Linux: Lệnh nào dùng để xem thông tin chi tiết về module [blue]usb_common[/] được nạp vào Kernel?,,
2d5ac69d-a1cf-462e-9c54-eb718a5f7dff,[green]modprobe -r [blue]usb_common[/],Linux: Lệnh nào dùng để gỡ module [blue]usb_common[/]?,,
7001ad38-3895-417d-9092-885cdbb6c8e9,[green]modprobe [blue]usb_common[/],Linux: Lệnh nào dùng để nạp module [blue]usb_common[/]?,,
c26ad443-706f-4d17-886e-322122cdd25c,[green]rpm -ivh [blue]package.rpm[/],"Linux: Lệnh nào dùng để quản lý gói mức thấp, cài đặt gói và hiển thị tiến trình trong Red Hat?",,
b5008846-9e0d-4d29-bc13-58ce924e4b1b,[green]system [blue]get-default[/],Linux: Lệnh nào dùng để kiểm tra xem trạng thái mặc định của máy khi khởi động lên là vào giao diện đồ họa hay dòng lệnh?,,
f2ca5471-1baf-428b-8370-bf94445fa288,[green]yum install [blue]<name>[/],Linux: Lệnh nào dùng để quản lý gói mức cao và cài đặt gói trong Red Hat?,,
ddfd13bb-292d-4f21-b76b-632c23a3bd7c,[red]sudo [green]apt install [blue]apache2[/],Linux: Lệnh nào dùng để quản lý gói mức cao và cài đặt gói [blue]apache2[/] trong Debian?,,
483b8f36-cdd6-4612-923b-c0664584fe08,[red]sudo [green]apt purge [blue]apache2[/],Linux: Lệnh nào dùng để quản lý gói mức cao và gỡ gói [blue]apache2[/] (kể cả file cấu hình) trong Debian?,,
bfbcd09d-c25b-4501-a2c4-a7e54cb42a1c,[red]sudo [green]apt remove [blue]apache2[/],Linux: Lệnh nào dùng để quản lý gói mức cao và gỡ gói [blue]apache2[/] nhưng vẫn giữ tệp cấu hình trong Debian?,,
0dfdafb0-50eb-4854-abfa-a09082455af5,[red]sudo [green]yum install [blue]httpd[/],Linux: Lệnh nào dùng để quản lý gói mức cao và cài đặt gói [blue]httpd[/] trong Red Hat?,,
