id,answer,question,hint,desc
d8d15313-338e-43ab-a59a-bf2995f54840,[green]--all[/],"Linux: Tùy chọn nào trong lệnh [green]ls[/] dùng để hiển thị tất cả các tệp, bao gồm cả các tệp ẩn?",,
4f12873c-c351-4279-ba1b-7417b1789be6,[green]--directory[/],Linux: Tùy chọn nào trong lệnh [green]ls[/] dùng để hiển thị mọi thông tin về chính thư mục đó?,,
ca3d7854-5b80-4314-a9b2-a235b1620e42,[green]--reverse[/],Linux: Tùy chọn nào trong lệnh [green]ls[/] dùng để hiển thị các tập tin và thư mục theo thứ tự ngược lại (z-a)?,,
4a66d856-e668-4766-9ee4-04acbc179f89,[green]-a[/],"Linux: Tùy chọn nào trong lệnh [green]ls[/] dùng để hiển thị tất cả các tệp, bao gồm cả các tệp ẩn?",,
89702217-9180-46ef-8369-3dde4661fd59,[green]-A[/],Linux: Tùy chọn nào trong lệnh [green]ls[/] dùng để hiển thị tất cả tương tự như lệnh -a nhưng không hiển thị [blue].[/] (current) và [blue]..[/] (parent)?,,
62bd2aad-2a34-4f74-ba45-7527d5e4b18c,[green]-d[/],Linux: Tùy chọn nào trong lệnh [green]ls[/] dùng để hiển thị mọi thông tin về chính thư mục đó?,,
55cc8491-2d70-4614-832f-28cf76154d28,[green]-l[/],Linux: Tùy chọn nào trong lệnh [green]ls[/] dùng để hiển thị kết quả ở định dạng dài (long format)?,,
74260837-0cea-476f-ac6d-4bdf64aa7017,[green]-la[/],Linux: Tùy chọn nào trong lệnh [green]ls[/] dùng để hiển thị các tệp và thư mục định dạng dài bao gồm cả các tệp ẩn?,,
aa898bec-10d7-4a26-8d76-9246202b1da5,[green]-lh[/],Linux: Tùy chọn nào trong lệnh [green]ls[/] dùng để liệt kê các tệp và thư mục định dạng dài với kích thước dễ đọc?,,
3f33f597-d3be-4d31-82b6-190cf2d130ab,[green]-r[/],Linux: Tùy chọn nào trong lệnh [green]ls[/] dùng để hiển thị các tập tin và thư mục theo thứ tự ngược lại (z-a)?,,
9e33af56-1bcd-48b4-810f-e7dc664b376f,[green]-S[/],Linux: Tùy chọn nào trong lệnh [green]ls[/] dùng để sắp xếp kết quả theo kích thước tệp?,,
469974a0-9c93-41c8-be61-2f9047e68199,[green]-t[/],Linux: Tùy chọn nào trong lệnh [green]ls[/] dùng để sắp xếp kết quả theo thời gian chỉnh sửa?,,
59953a4f-95fa-4da4-8f5a-b44cfa2b09d0,[green]ls <-options> [blue]<directory_path>[/],Linux: Lệnh nào dùng để hiển thị các tệp và thư mục bên trong một thư mục cụ thể kèm tùy chọn?,,
b39a2a37-3db4-4133-bf6e-9d85b25e971a,[green]ls [blue]<directory_path>[/],Linux: Lệnh nào dùng để hiển thị các tệp và thư mục bên trong một thư mục cụ thể?,,
02c2aa29-2567-454a-8c17-e53f360e7df4,[green]ls[/],Linux: Lệnh nào dùng để hiển thị các tệp bên trong thư mục làm việc hiện tại của bạn?,,
6b3e512e-111e-41ec-b404-7461cecfdd17,Cho phép xem các tệp và thư mục bên trong một thư mục cụ thể,Linux: Lệnh [green]ls[/] dùng để làm gì?,,
