id,answer,question,hint,desc
37112179-ae62-4acc-9f49-23caad0fb817,Application,"Khi đang thực hiện quá trình mở gói tin trong mô hình OSI, tầng nào là tầng cuối cùng?",,
cf54ca05-7d64-4b3f-851e-1b1b0c677fb2,Application,"Khi đang thực hiện quá trình đóng gói tin trong mô hình OSI, tầng nào là tầng đầu tiên?",,
720d4ddf-f33f-4bb1-82c2-576edb442b30,Data Link,"Khi đang thực hiện quá trình mở gói tin trong mô hình OSI, tầng nào là tầng thứ hai?",,
56cfea84-4446-4701-b67a-02c256bd36fe,Data Link,"Khi đang thực hiện quá trình đóng gói tin trong mô hình OSI, tầng nào là tầng thứ sáu?",,
02d96a54-08c2-4bf7-97de-3204b527468b,Network,"Khi đang thực hiện quá trình mở gói tin trong mô hình OSI, tầng nào là tầng thứ ba?",,
e97c6269-f75a-4e07-819c-37a068360778,Network,"Khi đang thực hiện quá trình đóng gói tin trong mô hình OSI, tầng nào là tầng thứ năm?",,
10b919d9-590b-4593-9729-b2751b6ae953,Physical,"Khi đang thực hiện quá trình mở gói tin trong mô hình OSI, tầng nào là tầng đầu tiên?",,
c1bea120-1ab4-4df6-82be-6636b02aac1b,Physical,"Khi đang thực hiện quá trình đóng gói tin trong mô hình OSI, tầng nào là tầng cuối cùng?",,
f9096742-58fa-42f5-99cc-405fa8658a39,Presentation,"Khi đang thực hiện quá trình mở gói tin trong mô hình OSI, tầng nào là tầng thứ sáu?",,
85503d96-f52b-4860-b826-4f4f852be7bd,Presentation,"Khi đang thực hiện quá trình đóng gói tin trong mô hình OSI, tầng nào là tầng thứ hai?",,
8821b537-7875-4c98-8ca5-472dc426d538,Session,"Khi đang thực hiện quá trình mở gói tin trong mô hình OSI, tầng nào là tầng thứ năm?",,
19c98ef5-5528-4494-b129-6988c9611064,Session,"Khi đang thực hiện quá trình đóng gói tin trong mô hình OSI, tầng nào là tầng thứ ba?",,
977dc304-3335-437a-b86d-4b56affc4c1c,Transport,"Khi đang thực hiện quá trình mở gói tin trong mô hình OSI, tầng nào là tầng thứ tư?",,
37ab6f3a-6e1e-41a3-920a-c050c4b31e9c,Transport,"Khi đang thực hiện quá trình đóng gói tin trong mô hình OSI, tầng nào là tầng thứ tư?",,
