id,answer,question,hint,desc
93847a69-e029-42f9-aca2-fb71fdb78a40,Ai Cập,Quốc gia nào ở khu vực Bắc Phi (Châu Phi)?,,
cce7339a-6b9a-4a43-9273-18ce8c30426a,Algérie,Quốc gia nào ở khu vực Bắc Phi (Châu Phi)?,,
02169b01-21a8-41cc-af08-2ec78cc79058,Angola,Quốc gia nào ở khu vực Trung Phi (Châu Phi)?,,
4c34d984-23f6-4f7a-b1fa-8f5f1073e6d8,Botswana,Quốc gia nào ở khu vực Nam Phi (Châu Phi)?,,
d6421fe7-3cbf-4a62-92d9-e9821b52aaaa,Burkina Faso,Quốc gia nào ở khu vực Tây Phi (Châu Phi)?,,
371708f3-254e-40d8-98a4-9fe58dc39861,Burundi,Quốc gia nào ở khu vực Đông Phi (Châu Phi)?,,
54336c79-458c-4c36-a355-3aa2f980b09a,Bénin,Quốc gia nào ở khu vực Tây Phi (Châu Phi)?,,
396cfd6e-c79e-4669-a259-f0f144387ba8,Bờ Biển Ngà,Quốc gia nào ở khu vực Tây Phi (Châu Phi)?,,
8ac58926-dd48-4b5a-b8b2-086a5e0b2779,Cabo Verde,Quốc gia nào ở khu vực Tây Phi (Châu Phi)?,,
be14bf0d-144e-4c38-a718-b471c57ef951,Cameroon,Quốc gia nào ở khu vực Trung Phi (Châu Phi)?,,
5d36b8bf-3305-404c-b34b-da60b279e1a6,Comoros,Quốc gia nào ở khu vực Đông Phi (Châu Phi)?,,
632225ad-f2ab-40e2-a2d8-bdb7ab671c99,Cộng hòa Congo,Quốc gia nào ở khu vực Trung Phi (Châu Phi)?,,
434395cf-b9fd-4523-a000-fd28d4cf28ce,Cộng hòa Dân chủ Congo,Quốc gia nào ở khu vực Trung Phi (Châu Phi)?,,
92a7b5fa-d2c3-4e66-829e-0985f3db2823,Cộng hòa Nam Phi,Quốc gia nào ở khu vực Nam Phi (Châu Phi)?,,
75405d7b-94b7-4f8d-938a-b00c9681a455,Cộng hòa Trung Phi,Quốc gia nào ở khu vực Trung Phi (Châu Phi)?,,
81c9255d-bacd-47e5-b26a-ca164c5e829b,Djibouti,Quốc gia nào ở khu vực Đông Phi (Châu Phi)?,,
