id,answer,question,hint,desc
47c273ee-d06a-4be9-ada4-06638759e7d2,Access Control List,Network: Đâu là tên đầy đủ của ACL?,- Bảo mật mạng,
1efd4b9a-4ae1-4d25-ae1a-0e430427bb83,Access Point,Network: Đâu là tên đầy đủ của AP?,- Mạng không dây,
81f3d9f0-69a7-4ad7-8a28-16d24fd904c6,Address Resolution Protocol,Network: Đâu là tên đầy đủ của ARP?,- Thuật ngữ cơ bản của Networking,
27e27f9a-b44e-408b-a4d2-92527d5305a1,Automatic Private IP Addressing,Network: Đâu là tên đầy đủ của APIPA?,- Xử lý địa chỉ IP và dịch vụ,
0c6135b0-648d-4f85-820d-ca64468c72e4,Border Gateway Protocol,Network: Đâu là tên đầy đủ của BGP?,- Giao thức định tuyến,
16afa3a5-906c-400f-b626-4fbb57728349,Campus Area Network,Network: Đâu là tên đầy đủ của CAN?,- Loại cơ bản Networking,
64a1de2b-623a-4618-9685-4f1b12050ab3,Classless Inter-Domain Routing,Network: Đâu là tên đầy đủ của CIDR?,- Xử lý địa chỉ IP và dịch vụ,
ebaf7311-fee8-4109-a687-82f936daaec7,Domain Name System,Network: Đâu là tên đầy đủ của DNS?,- Xử lý địa chỉ IP và dịch vụ,
114e5936-6878-4992-878f-793321a52466,Dynamic Host Configuration Protocol,Network: Đâu là tên đầy đủ của DHCP?,- Xử lý địa chỉ IP và dịch vụ,
f5ef6a43-c0dd-4872-b027-a1f39b521f47,Dynamic Trunking Protocol,Network: Đâu là tên đầy đủ của DTP?,- Chuyển mạch và mạng ảo nội bộ (VLAN),
40cad3fa-7e70-4387-93f7-e10b36eeb991,Enhanced Interior Gateway Routing Protocol,Network: Đâu là tên đầy đủ của EIGRP?,- Giao thức định tuyến,
f535f14b-831b-4f7c-a7bd-76cb7798972f,Exterior Gateway Protocol,Network: Đâu là tên đầy đủ của EGP?,- Giao thức định tuyến,
e9a0f1f8-9ce7-444c-b31a-9e2077a1c135,File Transfer Protocol,Network: Đâu là tên đầy đủ của FTP?,- Giao thức ports và web,
b4a581c4-0c0a-4112-bf8e-cc3de41a51e1,Fully Qualified Domain Name,Network: Đâu là tên đầy đủ của FQDN?,- Xử lý địa chỉ IP và dịch vụ,
825021dc-3cb3-4581-ade7-fc0c4974f2a0,HyperText Transfer Protocol,Network: Đâu là tên đầy đủ của HTTP?,- Giao thức ports và web,
c1a8b6cb-bb5d-4a7c-8167-a2b87a3b130b,HyperText Transfer Protocol Secure,Network: Đâu là tên đầy đủ của HTTPs?,- Giao thức ports và web,
8bc7db1d-ce9b-430c-82da-c388ed137a30,Interior Gateway Protocol,Network: Đâu là tên đầy đủ của IGP?,- Giao thức định tuyến,
ae882e7f-aff7-41fb-9a16-19da39e5fdc6,Intermediate System to Intermediate System,Network: Đâu là tên đầy đủ của IS-IS?,- Giao thức định tuyến,
cbb67f1e-75b3-449e-b782-6ec5d0ab504c,Internet Control Message Protocol,Network: Đâu là tên đầy đủ của ICMP?,- Thuật ngữ cơ bản của Networking,
36e1ffcf-1291-4e41-95ad-8be106d4abae,Internet Message Access Protocol,Network: Đâu là tên đầy đủ của IMAP?,- Giao thức ports và web,
7b474e39-7879-4b26-be3b-021f9a2d41f0,Internet Protocol,Network: Đâu là tên đầy đủ của IP?,- Thuật ngữ cơ bản của Networking,
2fe0fcf6-7e29-4de8-83cb-5b5442d4bbc7,Internet Protocol Security,Network: Đâu là tên đầy đủ của IPsec?,- Bảo mật mạng,
bb3906fc-e0b8-455e-8dab-fc7692fd91f4,Intrusion Detection System,Network: Đâu là tên đầy đủ của IDS?,- Bảo mật mạng,
2b53d630-7555-4b35-a2ea-e6fd819703ef,Intrusion Prevention System,Network: Đâu là tên đầy đủ của IPS?,- Bảo mật mạng,
44854aa0-d69b-48ad-8506-3727178af197,Link Aggregation Control Protocol,Network: Đâu là tên đầy đủ của LACP?,- Chuyển mạch và mạng ảo nội bộ (VLAN),
70a699f3-3aa1-4243-a862-a0acaf2227fc,Local Area Network,Network: Đâu là tên đầy đủ của LAN?,- Loại cơ bản Networking,
cdee92a3-2133-40cb-aa9a-4ab7558e7525,Maximum Transmission Unit,Network: Đâu là tên đầy đủ của MTU?,- Thuật ngữ cơ bản của Networking,
c8100711-0f20-47c7-aa37-5654592067b4,Media Access Protocol,Network: Đâu là tên đầy đủ của MAC?,- Thuật ngữ cơ bản của Networking,
f94971d0-8911-4dde-97d2-f4f1ae915d9f,Metropolitan Area Network,Network: Đâu là tên đầy đủ của MAN?,- Loại cơ bản Networking,
