id,answer,question,hint,desc
2ca0cb9a-7b54-40dd-8d60-f00b7e3d3024,110,Network: Cổng nào được dịch vụ POP3 sử dụng?,,
e49d8b71-beda-4ba7-9604-facd8de4c745,123,Network: Cổng nào được dịch vụ NTP sử dụng?,,
87a69cc3-d080-48b9-8e2e-8a3194ee17ff,143,Network: Cổng nào được dịch vụ IMAP sử dụng?,,
f13f5482-9c73-4428-a84b-ea1974ad0c79,161,Network: Cổng nào được dịch vụ SNMP sử dụng?,,
ab39b0f5-8ef6-4362-a752-983ac3fe9aff,20,Network: Cổng nào được dịch vụ FTP sử dụng cho dữ liệu?,,
1f699424-a652-403c-b330-61ae5d1a00e1,21,Network: Cổng nào được dịch vụ FTP sử dụng cho lệnh?,,
48c8493a-e437-4d65-8bfb-a19e4cb36063,22,Network: Cổng nào được dịch vụ SSH sử dụng?,,
6403e1b5-baab-4f7c-ada1-cf2e4da9cfc0,23,Network: Cổng nào được dịch vụ Telnet sử dụng?,,
31129078-a0fc-4931-a37f-c658a152cbcc,25,Network: Cổng nào được dịch vụ SMTP sử dụng?,,
5df5aa67-c2f1-4c93-9ccd-efedda3c7df0,3306,Network: Cổng nào được dịch vụ MySQL sử dụng?,,
639850ac-28f9-4c78-9923-59033f4a0f5e,3389,Network: Cổng nào được dịch vụ RDP sử dụng?,,
6abe0fb8-145e-464a-9158-ac39e174056b,389,Network: Cổng nào được dịch vụ LDAP sử dụng?,,
4ed7931b-f58c-4daf-96bb-6287714abbe8,443,Network: Cổng nào được dịch vụ HTTPs sử dụng?,,
fb9b7291-34a4-4ae5-8768-d60ebc1b21c8,445,Network: Cổng nào được dịch vụ SMB sử dụng?,,
436e8710-2529-45cc-9f1c-1be5692c5584,514,Network: Cổng nào được dịch vụ Syslog sử dụng?,,
577b4f3c-25ca-42d7-9f24-54be9200bfc2,53,Network: Cổng nào được dịch vụ DNS sử dụng?,,
3135352a-eace-4da5-a8ee-74f152c3798f,5432,Network: Cổng nào được dịch vụ PostgreSQL sử dụng?,,
5f207a8d-8e71-4aec-afb2-cbf5f43371dd,80,Network: Cổng nào được dịch vụ HTTP sử dụng?,,
d5672e72-9aa3-4726-bf2e-2063b503b1aa,8080,Network: Cổng nào được dịch vụ HTTP-Alt sử dụng?,,
4d0a1859-912b-48a0-a7e4-610482a69973,993,Network: Cổng nào được dịch vụ IMAPs sử dụng?,,
037f451d-5461-4bd6-b1a3-6e8dba6d6b47,995,Network: Cổng nào được dịch vụ POP3s sử dụng?,,
