id,answer,question,hint,desc
2b5374fb-96e6-4927-ae49-928135628b98,4,Network: Mô hình TCP/IP có bao nhiêu lớp?,,
6b6c4d86-57b6-46b8-b9e8-13fd4d2606d5,7,Network: Mô hình OSI có bao nhiêu lớp?,,
ce6f1d75-719e-4203-a0a9-f8e1ef45070b,Application Layer,"Network: Ba lớp Application, Presentation, Session của mô hình OSI gộp lại thành lớp nào trong mô hình TCP/IP?",,* Application Layer: Lớp ứng dụng
20229174-9848-4ae0-8dae-aa4e2559f41f,Application Layer,"Network: Trong quá trình mở gói tin của mô hình OSI, lớp nào là lớp cuối cùng?",,* Application Layer: Lớp ứng dụng
00fa70b1-2ff3-4042-803d-b09e4273214b,Application Layer,"Network: Trong quá trình mở gói tin của mô hình TCP/IP, lớp nào là lớp cuối cùng?",,* Application Layer: Lớp ứng dụng
8e6df613-642b-493b-8e0c-18fb304e9ff0,Application Layer,"Network: Trong quá trình đóng gói tin của mô hình OSI, lớp nào là lớp đầu tiên?",,* Application Layer: Lớp ứng dụng
bd59c5de-90e6-4cf0-8ff9-e04313eaf355,Application Layer,"Network: Trong quá trình đóng gói tin của mô hình TCP/IP, lớp nào là lớp đầu tiên?",,* Application Layer: Lớp ứng dụng
ca099675-250e-4da4-b956-516d2ec15b89,Data Link Layer,"Network: Trong quá trình mở gói tin của mô hình OSI, lớp nào là lớp thứ hai?",,* Data Link Layer: Lớp liên kết dữ liệu
5ebae25c-b3c0-43b0-9480-ef3fd423a731,Data Link Layer,"Network: Trong quá trình đóng gói tin của mô hình OSI, lớp nào là lớp thứ sáu?",,* Data Link Layer: Lớp liên kết dữ liệu
be31d23b-3a23-4d18-a478-38e71f282efb,Internet Layer,"Network: Trong quá trình mở gói tin của mô hình TCP/IP, lớp nào là lớp thứ hai?",,* Internet Layer: Lớp Internet
5e3ee995-abe2-491a-b69e-91d7ccaecc85,Internet Layer,"Network: Trong quá trình đóng gói tin của mô hình TCP/IP, lớp nào là lớp thứ ba?",,* Internet Layer: Lớp Internet
0c19125c-574a-41f9-a75b-4539efb3f545,Network Access Layer,Network: Hai lớp Data Link và Physical của mô hình OSI gộp lại thành lớp nào trong mô hình TCP/IP?,,* Network Access Layer: Lớp truy cập mạng
61e1d9c3-f5e2-442b-acd1-2211ae068e81,Network Access Layer,"Network: Trong quá trình mở gói tin của mô hình TCP/IP, lớp nào là lớp đầu tiên?",,* Network Access Layer: Lớp truy cập mạng
8ab86337-1078-4aeb-a4d1-2e15d948d384,Network Access Layer,"Network: Trong quá trình đóng gói tin của mô hình TCP/IP, lớp nào là lớp cuối cùng?",,* Network Access Layer: Lớp truy cập mạng
7417f24e-fa8c-497f-9875-a0dfa5c2fa12,Network Layer,"Network: Trong quá trình mở gói tin của mô hình OSI, lớp nào là lớp thứ ba?",,* Network Layer: Lớp mạng
7c7258b6-57e0-4717-864c-4faced59bfd7,Network Layer,"Network: Trong quá trình đóng gói tin của mô hình OSI, lớp nào là lớp thứ năm?",,* Network Layer: Lớp mạng
7cf8a1c0-0e3d-41bc-bb2b-831bc4b3e568,Physical Layer,"Network: Trong quá trình mở gói tin của mô hình OSI, lớp nào là lớp đầu tiên?",,* Physical Layer: Lớp vật lý
a11f8005-813d-4ef1-9bc5-f2382fff4599,Physical Layer,"Network: Trong quá trình đóng gói tin của mô hình OSI, lớp nào là lớp cuối cùng?",,* Physical Layer: Lớp vật lý
d2943f33-1b7e-48af-8bf1-bc65d5389f3a,Presentation Layer,"Network: Trong quá trình mở gói tin của mô hình OSI, lớp nào là lớp thứ sáu?",,* Presentation Layer: Lớp trình bày
a99d7edf-a852-4ae1-8d87-daeae85e4031,Presentation Layer,"Network: Trong quá trình đóng gói tin của mô hình OSI, lớp nào là lớp thứ hai?",,* Presentation Layer: Lớp trình bày
8ca43457-f15f-47b8-8abe-1758cab54465,Session Layer,"Network: Trong quá trình mở gói tin của mô hình OSI, lớp nào là lớp thứ năm?",,* Session Layer: Lớp phiên
d2ed052c-a38b-4cfc-a90a-267cf93e37bc,Session Layer,"Network: Trong quá trình đóng gói tin của mô hình OSI, lớp nào là lớp thứ ba?",,* Session Layer: Lớp phiên
869d5567-45b0-414a-9090-d9c551ae4e07,Transport Layer,"Network: Trong quá trình mở gói tin của mô hình OSI, lớp nào là lớp thứ tư?",,* Transport Layer: Lớp truyền tải
6bf10a6c-f3e2-442a-ab63-6a7646b31170,Transport Layer,"Network: Trong quá trình mở gói tin của mô hình TCP/IP, lớp nào là lớp thứ ba?",,* Transport Layer: Lớp truyền tải
d9bf4a05-49a8-4ce4-a842-68af3a2cc030,Transport Layer,"Network: Trong quá trình đóng gói tin của mô hình OSI, lớp nào là lớp thứ tư?",,* Transport Layer: Lớp truyền tải
06800df9-0438-4591-bfe2-2cd5f1604640,Transport Layer,"Network: Trong quá trình đóng gói tin của mô hình TCP/IP, lớp nào là lớp thứ hai?",,* Transport Layer: Lớp truyền tải
cc2c3f98-c4cf-4f1b-aa1b-f7f9353efa66,Vì cách tiếp cận của mô hình tập trung vào tính thực dụng và sự độc lập với phần cứng dẫn đến việc gộp hai lớp dưới cùng thành một lớp duy nhất và đổi tên gọi.,Network: Tại sao mô hình TCP/IP lại dùng tên gọi Network Access thay thế Physical và Data Link của mô hình OSI?,,"- Việc thay thế bằng tên gọi Network Access giúp mô hình TCP/IP trở nên linh hoạt hơn, ít phụ thuộc vào phần cứng hơn và phản ánh đúng cách thức mà các hệ điều hành xử lý việc truyền tải dữ liệu qua các thiết bị mạng thực tế."
b3995ec2-d937-463e-bfb6-27803549a468,Vì mô hình này được xây dựng dựa trên các khái niệm trừu tượng trước khi các giao thức thực tế được triển khai rộng rãi,Network: Tại sao mô hình OSI được gọi là mô hình lý thuyết học thuật?,,"- Khi mô hình OSI hoàn thiện vào những năm 1980, bộ giao thức TCP/IP đã chiếm lĩnh thị trường toàn cầu nhờ tính đơn giản và miễn phí. Các tổ chức không muốn bỏ đi một hệ thống đang chạy ổn định để chuyển sang một mô hình OSI phức tạp và tốn kém hơn. Kết quả là, OSI trở thành một ""bản đồ"" để dạy về mạng thay vì là một ""công trình"" được xây dựng ngoài đời thực."
960752b5-2236-46ac-9cac-8773468639cc,"Vì mô hình này được xây dựng dựa trên phương pháp thực nghiệm, tức là các giao thức được thiết kế, cài đặt và chạy thử nghiệm thành công trước rồi mới được chuẩn hóa thành mô hình lý thuyết.",Network: Tại sao mô hình TCP/IP được gọi là mô hình thực thi kỹ thuật?,,"- TCP/IP là nền tảng cốt lõi của Internet ngày nay. Mọi trang web bạn truy cập, mọi video bạn xem đều là minh chứng cho sự thành công của mô hình thực thi này. Nó không chỉ là một sơ đồ để giảng dạy; nó là ""ngôn ngữ"" mà hàng tỷ thiết bị đang thực sự sử dụng để giao tiếp với nhau mỗi giây."
8eb10d7f-69f4-4c4d-9d5b-135001622e13,Vì sự khác biệt này phản ánh triết lý thiết kế và phạm vi hoạt động đặc trưng của từng mô hình tại thời điểm chúng ra đời.,"Network: Tại sao trong mô hình OSI gọi là Network, nhưng mô hình TCP/IP gọi là Internet?",,"- Khi TCP/IP trở thành giao thức phổ biến nhất thế giới, thuật ngữ ""Internet"" đã trở thành danh từ riêng để chỉ mạng lưới toàn cầu. Việc gọi tên tầng này là Internet Layer giúp các kỹ sư dễ dàng hình dung nhiệm vụ của nó là xử lý địa chỉ IP và định tuyến trong không gian mạng khổng lồ, thay vì chỉ gói gọn trong một khái niệm ""Network"" chung chung."
3a89e0e2-8c7b-4667-969b-211ca0f38922,Vì sự khác biệt trong tư duy giữa lý thuyết học thuật và thực thi kỹ thuật.,"Network: Tại sao phải gộp ba lớp Application, Presentation và Session trong mô hình OSI thành một lớp Application trong mô hình TCP/IP?",,"- Mô hình TCP/IP gộp chúng lại để tạo ra một cấu trúc đơn giản hơn, giúp các nhà phát triển dễ dàng viết mã nguồn cho các ứng dụng mạng mà không phải tuân thủ quá nhiều lớp trung gian phức tạp."
111b3f34-8f19-48cb-aaff-44ff70aba065,"Vì tham vọng tạo ra một hệ thống tham chiếu hoàn hảo và được thiết kế mang tính chiến lược nhằm thực hiện nguyên tắc ""chia để trị"" trong lĩnh vực kỹ thuật mạng",Network: Tại sao mô hình OSI lại chia thành 7 lớp?,,"- 7 lớp của OSI đóng vai trò như một ngôn ngữ chung. Dù thực tế chúng ta dùng TCP/IP, nhưng mọi cuộc thảo luận kỹ thuật về mạng vẫn dựa trên ""tầng"" của OSI để đảm bảo tính chính xác và khoa học."
e534dfa7-44b6-48b6-92c0-ac66f310f1db,Vì thiết kế của mô hình ưu tiên tính hiệu quả thực tế và khả năng triển khai phần mềm hơn là sự phân chia rạch ròi về mặt lý thuyết học thuật.,Network: Tại sao mô hình TCP/IP gom lại chỉ còn 4 lớp thay vì 7 lớp như mô hình OSI?,,"- Cấu trúc 4 lớp phản ánh trực tiếp cách các giao thức này tương tác: Một ứng dụng gửi dữ liệu (Application), được đóng gói để truyền đi (Transport), định tuyến qua mạng (Internet), và cuối cùng là đẩy tín hiệu ra phần cứng (Network Access)."
