id,answer,question,hint,desc
f7e65406-3042-46fa-85b2-28ab3dffd43c,109,Network: Dịch vụ pop2 sử dụng cổng số bao nhiêu?,- Post Office Protocol - Version 2,* Post Office Protocol - Version 2: Giao thức bưu điện phiên bản 2
cf4d577a-1d4d-437e-9fd1-f7f83fa83291,110,Network: Dịch vụ pop3 sử dụng cổng số bao nhiêu?,- Post Office Protocol - Version 3,* Post Office Protocol - Version 3: Giao thức bưu điện phiên bản 3
6880b43f-807b-4178-8fb7-632ab792aa99,115,Network: Dịch vụ sftp sử dụng cổng số bao nhiêu?,- Simple File Transfer Protocol,* Simple File Transfer Protocol: Giao thức truyền tải tệp tin đơn giản
5efd662d-0f66-4316-9f12-9e17500c2374,119,Network: Dịch vụ nntp sử dụng cổng số bao nhiêu?,- Network News Transfer Protocol,* Network News Transfer Protocol: Giao thức truyền tải tin báo mạng
0e46fd29-6362-4c9f-8aa1-2c3b9fb2c167,123,Network: Dịch vụ ntp sử dụng cổng số bao nhiêu?,- Network Time Protocol,* Network Time Protocol: Giao thức thời gian mạng
37261d3b-851b-4e21-99dc-3ea2c6b5a0ab,137,Network: Dịch vụ netbios-ns sử dụng cổng số bao nhiêu?,- NETBIOS Name Service,* NETBIOS Name Service: Dịch vụ tên miền NETBIOS
a464cd44-87b8-4f3e-af22-077ed94f2feb,138,Network: Dịch vụ netbios-dgm sử dụng cổng số bao nhiêu?,- NETBIOS Datagram Service,* NETBIOS Datagram Service: Dịch vụ datagram NETBIOS
873116d0-23e3-43ad-ad26-fbcb5629c2ad,139,Network: Dịch vụ netbios-ssn sử dụng cổng số bao nhiêu?,- NETBIOS Session Service,* NETBIOS Session Service: Dịch vụ phiên NETBIOS
3b48000b-f84b-4d0a-8b8b-7b9636224068,143,Network: Dịch vụ imap sử dụng cổng số bao nhiêu?,- Internet Message Access Protocol,* Internet Message Access Protocol: Giao thức truy cập tin nhắn Internet
e210b698-772f-46db-899c-53cf0a91cd0b,161,Network: Dịch vụ snmp sử dụng cổng số bao nhiêu?,- Simple Network Management Protocol,* Simple Network Management Protocol: Giao thức quản lý mạng đơn giản
bd4b13c4-95d0-4bd1-866b-fb88c8bfd3cc,179,Network: Dịch vụ bgp sử dụng cổng số bao nhiêu?,- Border Gateway Protocol,* Border Gateway Protocol: Giao thức cổng đường biên
def32ceb-423a-4b5e-a2d7-22cc5894d7bc,190,Network: Dịch vụ gacp sử dụng cổng số bao nhiêu?,- Gateway Access Control Protocol,* Gateway Access Control Protocol: Giao thức kiểm soát truy cập cổng
535475a3-5e39-4e8d-867a-15f26558ba63,20,Network: Dịch vụ ftp (data) sử dụng cổng số bao nhiêu?,- File Transfer Protocol,* File Transfer Protocol: Giao thức truyền tải tệp tin
6415e25e-5210-41f9-b0ae-a73f921da477,21,Network: Dịch vụ ftp (control) sử dụng cổng số bao nhiêu?,- File Transfer Protocol,* File Transfer Protocol: Giao thức truyền tải tệp tin
d2771db7-1c34-40fb-9e33-354ad3eccab6,22,Network: Dịch vụ ssh sử dụng cổng số bao nhiêu?,- Secure Shell,* Secure Shell: Shell bảo mật
4e7cdee4-71a5-4e9c-bcd8-4043994f8ec1,25,Network: Dịch vụ smtp sử dụng cổng số bao nhiêu?,- Simple Mail Transfer Protocol,* Simple Mail Transfer Protocol: Giao thức truyền thư điện tử đơn giản
17a55d2c-e312-4d65-965d-5418a3fa32b9,38,Network: Dịch vụ rap sử dụng cổng số bao nhiêu?,- Route Access Protocol,* Route Access Protocol: Giao thức truy cập tuyến đường
1613c869-aa61-489f-b8e4-925be9397b99,401,Network: Dịch vụ ups sử dụng cổng số bao nhiêu?,- Uninterruptible Power Supply,* Uninterruptible Power Supply: Bộ lưu điện
f095c530-cf6e-4f6f-a6a7-9326ae701c34,406,Network: Dịch vụ imsp sử dụng cổng số bao nhiêu?,- Interactive Mail Support Protocol,* Interactive Mail Support Protocol: Giao thức hỗ trợ thư điện tử tương tác
5f59ac8d-d2a9-4f47-bd90-7c4db1260262,413,Network: Dịch vụ smsp sử dụng cổng số bao nhiêu?,- Storage Management Services Protocol,
86f02ebe-9324-4754-844b-60e5fe30c268,443,Network: Dịch vụ https sử dụng cổng số bao nhiêu?,- Hypertext Transfer Protocol Secure,* Hypertext Transfer Protocol Secure: Giao thức truyền tải siêu văn bản an toàn
ecf998c1-ffb1-4a8b-8646-b66be58fb5e5,49,Network: Dịch vụ tacacs sử dụng cổng số bao nhiêu?,- Login Host Protocol (TACACS),* Login Host Protocol (TACACS): Giao thức đăng nhập host TACACS
ec70ffaf-8627-4465-9745-c858bb41214b,50,Network: Dịch vụ re-mail-ck sử dụng cổng số bao nhiêu?,- Remote Mail Checking Protocol,* Remote Mail Checking Protocol: Giao thức kiểm tra thư điện tử từ xa
5b2d3c29-ae14-4982-b4bd-451da098b511,53,Network: Dịch vụ domain sử dụng cổng số bao nhiêu?,- Domain Name System,* Domain Name System: Hệ thống tên miền
43e62e70-b001-479a-b759-8d7b39c7ccc4,546,Network: Dịch vụ dhcpv6-client sử dụng cổng số bao nhiêu?,- Dynamic Host Configuration Protocol v6 Client,* Dynamic Host Configuration Protocol v6 Client: Giao thức tự động thiết lập host phiên bản 6
f27a2b5c-167a-48b4-a9f4-621bf5d57d75,547,Network: Dịch vụ dhcpv6-server sử dụng cổng số bao nhiêu?,- Dynamic Host Configuration Protocol v6 Server,* Dynamic Host Configuration Protocol v6 Client: Giao thức tự động thiết lập host phiên bản 6
d996212c-cc3d-44d4-b9e1-2b68b14f257b,554,Network: Dịch vụ rtsp sử dụng cổng số bao nhiêu?,- Real Time Streaming Protocol,* Real Time Streaming Protocol: Giao thức luồng thời gian thực
16eb1f21-7db9-439c-a4d1-a0f03bcee79a,80,Network: Dịch vụ http sử dụng cổng số bao nhiêu?,- Hypertext Transfer Protocol,* Hypertext Transfer Protocol: Giao thức truyền tải siêu văn bản
f1e14357-17d3-49e3-b4cf-504d397bed4d,88,Network: Dịch vụ tftp sử dụng cổng số bao nhiêu?,- Trivial File Transfer Protocol,* Trivial File Transfer Protocol: Giao thức truyền tải tệp tin nhỏ
9f2d7579-d2ec-433d-a6cd-4fb3c9649431,92,Network: Dịch vụ npp sử dụng cổng số bao nhiêu?,- Network Printing Protocol,* Network Printing Protocol: Giao thức máy in mạng
c8d69d0d-74a0-4441-b304-55fb62a8f1fe,93,Network: Dịch vụ dcp sử dụng cổng số bao nhiêu?,- Device Control Protocol,* Device Control Protocol: Giao thức điều khiển thiết bị

