id,answer,question,hint,desc
8437c4ad-c796-46a6-9b70-1f483b1df7e2,Dynamic Host Configuration Protocol,Network: dhcp là viết tắt của từ nào sau đây?,,
5139fafe-699e-4f6b-bd16-b55cc22644c6,Domain Name System,Network: dns là viết tắt của từ nào sau đây?,,
7003d98c-8bb3-4460-a555-a5672500f253,File Transfer Protocol,Network: ftp là viết tắt của từ nào sau đây?,,
4c9bfd57-2c4e-4c9b-a832-113e111df28d,Hypertext Transfer Protocol,Network: http là viết tắt của từ nào sau đây?,,
5f6a58a2-98eb-464b-8726-079d65271ba5,Hypertext Transfer Protocol Secure,Network: https là viết tắt của từ nào sau đây?,,
63e4852b-b42e-40ff-8c2a-66040a56c661,Internet Message Access Protocol,Network: imap là viết tắt của từ nào sau đây?,,
80f740ed-53bb-49ba-987f-125d2c8ed0e6,Network News Transfer Protocol,Network: nntp là viết tắt của từ nào sau đây?,,
64d3cc0e-34bd-4250-965d-bd3cc716abd9,Network Time Protocol,Network: ntp là viết tắt của từ nào sau đây?,,
c7ca2545-3d0a-4f67-904f-8d54a3691500,Post Office Protocol version 2,Network: pop2 là viết tắt của từ nào sau đây?,,
70cd7b34-0fa5-41a2-aee3-b788e4f247ed,Post Office Protocol version 3,Network: pop3 là viết tắt của từ nào sau đây?,,
338d4bac-3693-41ee-a3fb-ec0bc409f183,Simple File Transfer Protocol,Network: sftp là viết tắt của từ nào sau đây?,,
2bcfa059-d297-4d8e-9919-e1cc6346aa6d,Simple Mail Transfer Protocol,Network: smtp là viết tắt của từ nào sau đây?,,
82d4e30b-6c4c-4f7f-869c-8caa160ba869,Simple Network Management Protocol,Network: snmp là viết tắt của từ nào sau đây?,,
7cbf9a57-8efb-40e9-81b0-3ca33ccc4cba,Secure Shell,Network: ssh là viết tắt của từ nào sau đây?,,
bd468b14-e24e-4f4e-b324-b6c6b6692dd2,Teletype Network,Network: telnet là viết tắt của từ nào sau đây?,,
ed99aeec-b71d-4c3d-8ea4-66b0356fc254,Trivial File Transfer Protocol,Network: tftp là viết tắt của từ nào sau đây?,,
fc02aca6-ff6e-48e9-883c-6f0b7a54ffad,World Wide Web,Network: www là viết tắt của từ nào sau đây?,,
