id,answer,question,hint,desc
04bc2d62-d0fd-4e13-b61b-dfe876484420,bdp,Network: Cổng 581 sử dụng dịch vụ mạng nào?,- Bundle Discovery Protocol,
1577fb89-3d6c-494d-8f27-f41fca9ca431,bootpc,Network: Cổng 68 sử dụng dịch vụ mạng nào?,- Bootstrap Protocol Client (DHCP Client),
c309b938-dfa2-4c19-91ef-7ba50e7348e2,bootps,Network: Cổng 67 sử dụng dịch vụ mạng nào?,- Bootstrap Protocol Server (DHCP Server),
a8cb7dbe-a2e7-459f-b785-072a1d59a0dd,dcp,Network: Cổng 93 sử dụng dịch vụ mạng nào?,- Device Control Protocol,
8e66074e-385f-4409-95d3-c5a05671c8c5,dhcpv6-client,Network: Cổng 546 sử dụng dịch vụ mạng nào?,- DHCPv6 Client,
e9ac045c-feeb-43e2-b7e2-0bfa09a3de36,dhcpv6-server,Network: Cổng 547 sử dụng dịch vụ mạng nào?,- DHCPv6 Server,
d6ef8e4d-5231-46b4-aa7d-a2a79be7da30,dls,Network: Cổng 197 sử dụng dịch vụ mạng nào?,- Directory Location Service,
f31f6a5e-f5de-4571-a3dd-0dfd4af6eb8f,dls-mon,Network: Cổng 198 sử dụng dịch vụ mạng nào?,- Directory Location Service Monitor,
d22631f8-63fc-4063-8367-028ea90903bd,domain,Network: Cổng 53 sử dụng dịch vụ mạng nào?,- Domain Name Server,
049b1a43-ca9e-420b-978f-40579e1e2ca6,dsp,Network: Cổng 33 sử dụng dịch vụ mạng nào?,- Display Support Protocol,
20713fd7-721b-4ecf-bff1-80513a1d32bb,ftp,Network: Cổng 21 sử dụng dịch vụ mạng nào?,- File Transfer Protocol (control plane),
949e089d-7ffc-4ba5-9d4a-2218b736cc2e,ftp-data,Network: Cổng 20 sử dụng dịch vụ mạng nào?,- File Transfer Protocol (data plane),
691038d2-7492-4e24-87cb-83ad7fb16a6f,gacp,Network: Cổng 190 sử dụng dịch vụ mạng nào?,- Gateway Access Control Protocol,
e8468360-29e1-4402-993e-bb35b4ff5c42,http,Network: Cổng 80 sử dụng dịch vụ mạng nào?,- Hypertext Transfer Protocol,
ce87dfe4-faf4-4d2f-949d-4c1a3284ccf6,https,Network: Cổng 443 sử dụng dịch vụ mạng nào?,- Hypertext Transfer Protocol Secure,
695494d1-ee65-400f-b99b-f8ede61d7198,imap,Network: Cổng 143 sử dụng dịch vụ mạng nào?,- Internet Message Access Protocol,
01111d14-71b7-4458-b84d-c9763d5941cc,imap3,Network: Cổng 220 sử dụng dịch vụ mạng nào?,- Interactive Mail Access Protocol Version 3,
8bc90b45-ba48-4145-88eb-b0a59a07e014,imsp,Network: Cổng 406 sử dụng dịch vụ mạng nào?,- Interactive Mail Support Protocol,
5b665e33-7e6f-472e-98f8-f58e355de58b,irc,Network: Cổng 194 sử dụng dịch vụ mạng nào?,- Internet Relay Chat Protocol,
120a5c12-f964-4589-8a87-4c0b85cf73af,ldap,Network: Cổng 389 sử dụng dịch vụ mạng nào?,- Lightweight Directory Access Protocol,
dc8ce0f5-2ae7-4f8c-bba4-f14d6fe8ad5f,nmsp,Network: Cổng 537 sử dụng dịch vụ mạng nào?,- Networked Media Streaming Protocol,
c68f300f-4e96-45ea-b27c-b21d9e24df21,nntp,Network: Cổng 119 sử dụng dịch vụ mạng nào?,- Network News Transfer Protocol,
9425b35c-889a-456d-b467-ea58c25ee951,npp,Network: Cổng 92 sử dụng dịch vụ mạng nào?,- Network Printing Protocol,
b34447ff-9d5c-4c69-abf8-be55d09aefab,ntp,Network: Cổng 123 sử dụng dịch vụ mạng nào?,- Network Time Protocol,
542e2fd4-898e-4700-b629-ed6efa09bda3,pop2,Network: Cổng 109 sử dụng dịch vụ mạng nào?,- Post Office Protocol Version 2,
02ce3eb8-249c-498d-853a-c4f894d6830e,pop3,Network: Cổng 110 sử dụng dịch vụ mạng nào?,- Post Office Protocol Version 3,
98156781-dd39-4f55-85b9-d6844bb25b31,qmtp,Network: Cổng 209 sử dụng dịch vụ mạng nào?,- Quick Mail Transfer Protocol,
c546868e-827c-4d60-817a-6a193250388b,rap,Network: Cổng 38 sử dụng dịch vụ mạng nào?,- Route Access Protocol,
221d2b0b-5485-4ebb-a2d4-15c0b6c5d761,rcp,Network: Cổng 469 sử dụng dịch vụ mạng nào?,- Radio Control Protocol,
b456a6b1-d2a4-46ca-b1ab-eb837e58dbbd,rlp,Network: Cổng 39 sử dụng dịch vụ mạng nào?,- Resource Location Protocol,
6c030ecf-06b8-4306-9a52-ffa0a358d525,rtelnet,Network: Cổng 107 sử dụng dịch vụ mạng nào?,- Remote Telnet Service,
de4524dc-a699-42b2-b0b7-77a0b5203c4b,rtsp,Network: Cổng 554 sử dụng dịch vụ mạng nào?,- Real Time Streaming Protocol,
f5d31996-436d-4203-ab1b-69858f9d3367,sftp,Network: Cổng 115 sử dụng dịch vụ mạng nào?,- Simple File Transfer Protocol,
74aefa45-e82d-4d3b-903b-8a6a11d63a8a,smtp,Network: Cổng 25 sử dụng dịch vụ mạng nào?,- Simple Mail Transfer Protocol,
5d25d565-4b53-4320-bac0-94e7ec36e9fc,snmp,Network: Cổng 161 sử dụng dịch vụ mạng nào?,- Simple Network Management Protocol,
f650f72e-fdbd-4f78-8148-976412ca4ac5,srmp,Network: Cổng 193 sử dụng dịch vụ mạng nào?,- Spider Remote Monitoring Protocol,
b8b08cdc-eabb-4699-a406-6b4ca688c9ca,ssh,Network: Cổng 22 sử dụng dịch vụ mạng nào?,- Secure Shell,
8add2f9b-3607-4ada-af34-90f6f58c9d47,telnet,Network: Cổng 23 sử dụng dịch vụ mạng nào?,- Teletype Network,
68a3a0a8-f53d-4b6c-af03-0beaaaa28255,tfpt,Network: Cổng 69 sử dụng dịch vụ mạng nào?,- Trivial File Transfer Protocol,
57c46210-ecac-47a3-b9e5-1ed91b89609d,uma,Network: Cổng 144 sử dụng dịch vụ mạng nào?,- Universal Management Architecture,
f59494a4-7575-4f83-bb62-db6a436e99ad,ups,Network: Cổng 401 sử dụng dịch vụ mạng nào?,- Uninterruptible Power Supply,
bc077768-d2b7-4350-bf76-9238497af180,www,Network: Cổng 80 sử dụng dịch vụ mạng nào?,- World Wide Web,
