id,answer,question,hint,desc
591ebcbc-0ce5-4aff-b0a5-3c9c2b1320bf,phường Ba Đình,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Ba Đình, Tây Hồ, Hoàn Kiếm (Hà Nội)",
6937ff1f-2e50-43e3-a26b-acd136618ade,phường Bồ Đề,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Long Biên (Hà Nội),
4cc37750-9587-4777-8ecc-c6b4643961f9,phường Cầu Giấy,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Cầu Giấy, Nam Từ Liêm (Hà Nội)",
6a97c484-396b-4d99-8a98-3a3c3c82c088,phường Cửa Nam,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Hoàn Kiếm, Hai Bà Trưng (Hà Nội)",
57bb00c7-93d6-4a27-9dce-4296af0e5829,phường Giảng Võ,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Ba Đình, Đống Đa (Hà Nội)",
9a2d8893-1b1d-4f5c-b9f5-55a3c5948594,phường Hoàn Kiếm,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Hoàn Kiếm, Ba Đình (Hà Nội)",
514306c4-13c6-4b65-a9eb-525912bb29c1,phường Hồng Hà,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Hoàn Kiếm, Ba Đình, Tây Hồ, Hai Bà Trưng, Long Biên (Hà Nội)",
bbaa384c-b40d-4af2-8734-67245d152f48,phường Kim Liên,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Đống Đa (Hà Nội),
693411fd-ace0-4d04-a213-c229d07222cc,phường Long Biên,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Long Biên, Huyện Gia Lâm (Hà Nội)",
04c26759-2e1a-46da-b8f3-88a0887cdad4,phường Láng,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Đống Đa, Ba Đình (Hà Nội)",
7b604c23-7a4e-48ab-bf7e-18a94e014291,phường Nghĩa Đô,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Cầu Giấy, Bắc Từ Liêm, Tây Hồ (Hà Nội)",
5bfa1720-887d-4b71-8632-836b72f94750,phường Ngọc Hà,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Ba Đình, Cầu Giấy (Hà Nội)",
212ea0a1-816d-47d9-98e5-8df5f72026e7,phường Phú Thượng,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Tây Hồ, Bắc Từ Liêm (Hà Nội)",
3264ef37-f69a-4177-9fc0-08c46bcd577e,phường Phúc Lợi,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Long Biên, Huyện Gia Lâm (Hà Nội)",
f8825d19-66a2-46cc-bb90-be789def0dd4,phường Tây Hồ,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Tây Hồ, Cầu Giấy (Hà Nội)",
b17cbb8f-02c6-42b9-811c-5a334e5db98d,phường Việt Hưng,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Long Biên (Hà Nội),
de43c364-6fd6-436c-852e-d2e7c51c8501,phường Văn Miếu - Quốc Tử Giám,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Đống Đa, Ba Đình, Hoàn Kiếm, Hai Bà Trưng (Hà Nội)",
c6240310-322c-4fa6-ae58-3647666f01db,phường Yên Hòa,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Cầu Giấy, Thanh Xuân, Nam Từ Liêm (Hà Nội)",
d7ca54b0-4333-40a5-a747-18cbbd481819,phường Ô Chợ Dừa,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Đống Đa, Ba Đình (Hà Nội)",
ed4d0b13-60df-439d-a995-fd3321a054e4,phường Đống Đa,Đâu là đơn vị hành chính cấp xã của Thành phố Hà Nội?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Đống Đa (Hà Nội),
