id,answer,question,hint,desc
5b738785-59cc-4448-b2c3-639a85180a6a,phường An Hội Tây,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Gò Vấp (TPHCM),
351a7134-1f5b-4290-b296-89943fdcc948,phường An Hội Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Gò Vấp (TPHCM),
17d43c89-f62e-4cc5-b9d6-32811fabb2f9,phường An Khánh,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Thủ Đức (TPHCM),
da616455-a404-42dd-bcf7-5e8d68f05431,phường An Lạc,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Bình Tân (TPHCM),
c1fe2760-1c99-476c-844a-37b4fe7e81ba,phường An Nhơn,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Gò Vấp (TPHCM),
d8e4a7ef-cdb5-4c17-a17b-dc69df4761ee,phường An Phú,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Thuận An (Bình Dương),
c3a8477a-0fb5-40ca-b129-3d0dac818acd,phường An Phú Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận 12 (TPHCM),
fdc8eb7a-38b6-4a91-a950-5b8b68366b25,phường An Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận 5 (TPHCM),
554906cc-2137-4da8-97af-d76e629e3048,phường Bà Rịa,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Bà Rịa (Bà Rịa - Vũng Tàu),
2079ff7c-0b13-45c5-a1e9-24a3517b0daa,phường Bàn Cờ,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận 3 (TPHCM),
2de9b92c-8c1f-4548-8341-276e817e581a,phường Bình Cơ,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Tân Uyên (Bình Dương),
1c879658-a5f8-4dea-b50d-d3f98c436a16,phường Bình Dương,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Thủ Dầu Một (Bình Dương),
74506726-5055-4c11-90ae-760849e93149,phường Bình Hòa,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Thuận An (Bình Dương),
089e9b48-bd62-4bf4-9d92-b839566bf7e7,phường Bình Hưng Hòa,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Bình Tân (TPHCM),
9bac0f84-372a-403e-a201-6f53d21f5bc2,phường Bình Lợi Trung,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Bình Thạnh (TPHCM),
2ff5d5cd-8502-4a23-b220-421a7d332613,phường Bình Phú,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận 6 (TPHCM),
cda41a59-5fe0-4486-bbfe-e799638842d7,phường Bình Quới,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Bình Thạnh (TPHCM),
170f575d-9ab6-42cd-803d-e12c5e816581,phường Bình Thạnh,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Bình Thạnh (TPHCM),
52d32262-c7ba-4276-8b2e-ca911f1547ca,phường Bình Thới,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận 11 (TPHCM),
7d6389c1-6cc5-46f5-b46f-9161e95e71c1,phường Bình Tiên,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Quận 6 (TPHCM),
d50cd6f4-91e6-43bb-bdb3-4f48d7818388,phường Bình Trưng,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Thủ Đức (TPHCM),
