id,answer,question,hint,desc
56b603d3-f5f2-4def-9b61-b194accbb7f6,phường An Hội Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,,
6d594240-3924-4053-8fcd-d40a2bb1bb5c,phường An Khánh,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,,
7ab0118f-6e07-4662-85f5-990d58cab09e,phường An Lạc,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,,
7b0f91e4-4181-4553-974d-e758129467f8,phường An Nhơn,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,,
6065c69d-bac7-4d89-b2db-a3723a011f17,phường An Phú,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,,
bb14a71a-d5e0-433e-9179-bb7981ba0119,phường An Phú Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,,
32c2cedb-3ad5-4471-be0b-6188253723ca,phường An Tây,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,,
7085bac4-e6ed-4569-96ea-bcf847dc4d9e,phường An Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,,
b5d4fa2b-f7ea-4230-8cc2-596817692de2,phường Bà Rịa,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,,
d2f63b8a-a804-4a3c-bf7e-db761631c03e,phường Bàn Cờ,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,,
60d2c56b-1b84-4aba-89bc-ded7d4007476,phường Bình Cơ,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,,
913384dc-6eea-41f0-9005-21573579e7ac,phường Bình Dương,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,,
0a6a1760-ddaa-415b-885b-3c1ca990973f,phường Bình Hòa,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,,
