id,answer,question,hint,desc
2435ca4e-a8db-49d9-8c6c-f523e6ecbd8d,Hà Huy Tập,Ai là đồng chí Tổng Bí thư thứ ba của Đảng Cộng sản Đông Dương?,1930 – 1951,
44ea23dc-8637-4183-a971-db80b62dfc41,Hồ Chí Minh,Ai là đồng chí Chủ tịch Đảng của Đảng Lao động Việt Nam?,1951 – 1969,
8f63c631-619a-4565-8d51-344187eee9ea,Hồ Chí Minh,Ai là đồng chí Tổng Bí thư thứ hai của Đảng Lao động Việt Nam?,1951 – 1976,
2bd79a12-381a-43bd-91a3-566b1554972c,Lê Duẩn,Ai là đồng chí Tổng Bí thư thứ ba của Đảng Lao động Việt Nam?,1951 – 1976,
f5673ffa-c943-4272-bc4e-301c2dcfc7d7,Lê Duẩn,Ai là đồng chí Tổng Bí thư thứ nhất của Đảng Cộng sản Việt Nam?,1976 - nay,
4aa268ef-3069-478d-8234-2ba10686157b,Lê Hồng Phong,Ai là đồng chí Tổng Bí thư thứ hai của Đảng Cộng sản Đông Dương?,1930 – 1951,
e32f6f96-e75f-48f4-811c-d91061c1ffc5,Lê Khả Phiêu,Ai là đồng chí Tổng Bí thư thứ năm của Đảng Cộng sản Việt Nam?,1976 - nay,
04b82238-2e6c-46ba-bb28-a6addc95439c,Nguyễn Phú Trọng,Ai là đồng chí Tổng Bí thư thứ bảy của Đảng Cộng sản Việt Nam?,1976 - nay,
6754c012-5ad5-4dad-993d-5efffde10b53,Nguyễn Văn Cừ,Ai là đồng chí Tổng Bí thư thứ tư của Đảng Cộng sản Đông Dương?,1930 – 1951,
18bf9c46-86fa-443f-b605-d04da3d0bd78,Nguyễn Văn Linh,Ai là đồng chí Tổng Bí thư thứ ba của Đảng Cộng sản Việt Nam?,1976 - nay,
1941ce1d-bb21-48dd-a989-81401f5730ad,Nguyễn Văn Linh,Ai là đồng chí Tổng Bí thư thứ hai của Đảng Nhân dân Cách mạng Việt Nam?,1962 – 1975,
27c2dd51-5caf-4f45-b1bc-f548aa17359d,Nông Đức Mạnh,Ai là đồng chí Tổng Bí thư thứ sáu của Đảng Cộng sản Việt Nam?,1976 - nay,
d498e26e-da96-4558-9b01-87140796ccff,Trường Chinh,Ai là đồng chí Tổng Bí thư thứ hai của Đảng Cộng sản Việt Nam?,1976 - nay,
24e41193-bb3e-40b3-988b-57431daea8af,Trường Chinh,Ai là đồng chí Tổng Bí thư thứ nhất của Đảng Lao động Việt Nam?,1951 – 1976,
857182fe-cdfd-4bff-8b47-5eb14c56d4fe,Trường Chinh,Ai là đồng chí Tổng Bí thư thứ năm của Đảng Cộng sản Đông Dương?,1930 – 1951,
554af17a-ef94-48fe-8db7-87f523f3f5b5,Trần Phú,Ai là đồng chí Tổng Bí thư thứ nhất của Đảng Cộng sản Đông Dương?,1930 – 1951,
6a6fd5c4-a79b-49c0-afc3-8d691ea89cc7,Tô Lâm,Ai là đồng chí Tổng Bí thư hiện tại của Đảng Cộng sản Việt Nam?,1976 - nay,
0adeb329-bff6-4c39-9d79-e98b42eb067d,Tô Lâm,Ai là đồng chí Tổng Bí thư thứ tám của Đảng Cộng sản Việt Nam?,1976 - nay,
8ba3186d-bca3-4cc5-ba74-ac1b8cfe855a,Võ Chí Công,Ai là đồng chí Tổng Bí thư thứ nhất của Đảng Nhân dân Cách mạng Việt Nam?,1962 – 1975,
08107f49-f422-4f79-9ba1-46d7e07731a4,Đỗ Mười,Ai là đồng chí Tổng Bí thư thứ tư của Đảng Cộng sản Việt Nam?,1976 - nay,
