id,answer,question,hint,desc
40bd6675-44d6-469d-a309-068dc851f9dc,Hồ Chí Minh,Ai là đồng chí Chủ tịch nước đầu tiên của nhà nước Việt Nam Dân chủ Cộng hoà?,1945 - 1969,
78541723-2b60-4bb8-ae68-f0f8c26bb629,Lê Đức Anh,Ai là đồng chí Chủ tịch nước thứ tư của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 – nay,
15d3aac3-4766-4d23-a918-4a943e043458,Lương Cường,Ai là đồng chí Chủ tịch nước thứ mười ba của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 – nay,
78f3b51f-c938-41f0-b76c-a447d53381e5,Nguyễn Hữu Thọ,Ai là đồng chí Chủ tịch Hội đồng Cố vấn của Chính phủ Cách mạng Lâm thời Cộng hòa Miền Nam Việt Nam?,1969 - 1976,
dfb5de76-1f16-43ad-8f58-bdc0cc72a127,Nguyễn Hữu Thọ,Ai là đồng chí quyền Chủ tịch nước đầu tiên của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1976 – 1981,
719119d1-3e4f-4121-aa83-b152875c03f5,Nguyễn Minh Triết,Ai là đồng chí Chủ tịch nước thứ sáu của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 – nay,
1e178379-5c26-4500-b78a-9435a121728d,Nguyễn Phú Trọng,Ai là đồng chí Chủ tịch nước thứ chín của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 – nay,
bb336c38-c844-4f69-9cc3-253702824d6d,Nguyễn Xuân Phúc,Ai là đồng chí Chủ tịch nước thứ mười của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 – nay,
8a7d134b-8d3b-4338-8826-b1d6010886b2,Trương Tấn Sang,Ai là đồng chí Chủ tịch nước thứ bảy của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 – nay,
80ef360d-3d22-475a-8a11-11c402a4872f,Trường Chinh,Ai là đồng chí Chủ tịch nước thứ hai của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1981 – 1992,
23d8945c-ddf7-44f4-81b8-1f7f65e75d20,Trần Đại Quang,Ai là đồng chí Chủ tịch nước thứ tám của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 – nay,
7033e885-3b47-4192-9227-53185d7f6b5a,Trần Đức Lương,Ai là đồng chí Chủ tịch nước thứ năm của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 – nay,
f96b829e-59b9-4458-ad0d-5f23f29029ec,Tô Lâm,Ai là đồng chí Chủ tịch nước hiện tại của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 – nay,
d09d3db9-f743-409d-a56f-d6d9430cc397,Tô Lâm,Ai là đồng chí Chủ tịch nước thứ mười hai của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 – nay,
ca9ca247-37fe-43a2-bcb9-223df540f70b,Tôn Đức Thắng,Ai là đồng chí Chủ tịch nước thứ hai của nhà nước Việt Nam Dân chủ Cộng hoà?,1945 - 1976,
d28f64bb-af4c-4053-a3d7-a0ee2c9014a1,Tôn Đức Thắng,Ai là đồng chí Chủ tịch nước đầu tiên của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1976 – 1981,
6432892d-6e55-4c3c-bb2a-a06c9916a67d,Tôn Đức Thắng,Ai là đồng chí quyền Chủ tịch nước đầu tiên của nhà nước Việt Nam Dân chủ Cộng hoà?,1945 - 1976,
5f4c6f78-7882-48d5-a134-f2ebeb2d30ee,Võ Chí Công,Ai là đồng chí Chủ tịch nước thứ ba của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1981 – 1992,
1b7bf0d3-ff02-4832-bb6b-66e54c6ec6df,Võ Thị Ánh Xuân,Ai là đồng chí quyền Chủ tịch nước thứ ba của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 – nay,
640722f8-16f0-4bab-8db4-476913958a96,Võ Văn Thưởng,Ai là đồng chí Chủ tịch nước thứ mười một của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 – nay,
f4516f74-62f0-4712-9e14-0b2e1847005c,Đặng Thị Ngọc Thịnh,Ai là đồng chí quyền Chủ tịch nước thứ hai của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 – nay,
