id,answer,question,hint,desc
74f6813a-e303-4666-a711-7adbfd7bab29,Hồ Chí Minh,Ai là Thủ tướng Chính phủ đầu tiên của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,,
328acc91-bdd2-41cb-92eb-2336036c23ea,Lê Minh Hưng,Ai là Thủ tướng Chính phủ hiện tại của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 - nay,
b93392e0-789d-4edb-a945-6e9a4ffda851,Lê Minh Hưng,Ai là Thủ tướng Chính phủ thứ mười của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 - nay,
bcc8d75c-4fd6-4161-a72e-4b7c0a3d5f1a,Nguyễn Tấn Dũng,Ai là Thủ tướng Chính phủ thứ bảy của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 - nay,
1d15905e-da29-4c1c-b905-60a88fb4cf2d,Nguyễn Xuân Phúc,Ai là Thủ tướng Chính phủ thứ tám của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 - nay,
8636ad4f-5b8a-4ede-9720-0e897c1dc652,Phan Văn Khải,Ai là Thủ tướng Chính phủ thứ sáu của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 - nay,
bee962ad-2b72-49ea-bde3-b2b0283361d5,Phạm Hùng,Ai là Thủ tướng Chính phủ thứ ba của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1981 - 1992,
773c0c6c-2d4a-4bb7-8577-8d3c67009260,Phạm Minh Chính,Ai là Thủ tướng Chính phủ thứ chín của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1992 - nay,
c66cb40d-0b34-42b4-a7b4-f8549d6499f2,Phạm Văn Đồng,Ai là Thủ tướng Chính phủ thứ hai của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1955 - 1987,
302eec31-d885-48ed-962e-4babe21dade6,Võ Văn Kiệt,Ai là Thủ tướng Chính phủ thứ năm của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1991 - 1997,
17c2dad9-f66a-4347-9e76-2266d5507c2f,Đỗ Mười,Ai là Thủ tướng Chính phủ thứ tư của nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam?,1981 - 1992,
