id,answer,question,desc,ref
7fd9b258-ae68-4462-aa99-f87911dcf1ab,Advanced Encryption Standard (AES – Chuẩn mã hóa nâng cao),"Thuật toán mã hóa đối xứng phổ biến, kế nhiệm DES với độ bảo mật mạnh hơn.",,
7d261f04-b0d3-4fba-95a3-eea852346f75,Annualized Loss Expectancy (ALE – Tổn thất kỳ vọng hàng năm,Công thức đánh giá rủi ro tính tổn thất tài chính trung bình do sự cố trong một năm.,,
92e5f16d-db7d-4518-a186-0dcb56a32021,Annualized Rate of Occurrence (ARO – Tần suất xảy ra hàng năm),Đại lượng định lượng xác suất xảy ra của mối đe dọa trong một năm.,,
a06e41e9-6ca8-4c9e-b85d-03fb81c24480,Artificial Intelligence (AI – Trí tuệ nhân tạo),"Hệ thống mô phỏng khả năng học, suy luận và ra quyết định của con người.",,
566104b7-f5a7-42bf-af78-96662e3e70f6,Authentication (Xác thực),Thành phần trong mô hình AAA xác minh danh tính người dùng hoặc tiến trình truy cập.,,
60320a23-5ec1-4c5e-91c1-1f2b744efd0a,Business Continuity Plan (BCP – Kế hoạch duy trì hoạt động kinh doanh),Chiến lược đảm bảo tổ chức vẫn hoạt động khi xảy ra sự cố hoặc thảm họa.,,
9536e1d1-b744-4a79-b051-a6b40de58b1e,Certificate Signing Request (CSR – Yêu cầu ký chứng chỉ số),Tệp chứa thông tin của thực thể gửi đến CA để xin cấp chứng chỉ số.,,
777df7a8-dbee-48ac-b0d9-c695d5faef3d,Challenge-Handshake Authentication Protocol (CHAP – Giao thức xác thực bắt tay thử thách),Cơ chế xác thực định kỳ giúp ngăn chặn tấn công chiếm quyền phiên truy cập.,,
7addf918-5d88-4860-bda8-b3f6a474c87d,Closed-Circuit Television (CCTV – Hệ thống camera giám sát),Hệ thống camera quan sát liên tục để ghi hình và theo dõi khu vực cụ thể.,,
90fb8e23-52a5-4d40-8db8-a1f12c26876e,Common Vulnerability Scoring System (CVSS – Hệ thống chấm điểm lỗ hổng chung),Tiêu chuẩn quốc tế để đánh giá và xếp hạng mức độ nghiêm trọng của lỗ hổng bảo mật.,,
aa7e021c-4c55-4bb1-8cc6-5c039b129de2,Data Encryption Standard (DES – Chuẩn mã hóa dữ liệu),"Thuật toán mã hóa đối xứng cũ, nay đã lỗi thời do độ an toàn thấp.",,
b9e8a411-e82d-4a32-a8a4-97b09584726c,Denial of Service (DoS – Tấn công từ chối dịch vụ),"Hình thức tấn công làm gián đoạn hoặc khiến hệ thống, dịch vụ không thể truy cập.",,
3e030f75-f2fa-4c26-a656-e0cb98bd459a,Discretionary Access Control (DAC – Kiểm soát truy cập tùy ý),Mô hình bảo mật cho phép chủ sở hữu đối tượng tự quyết định quyền truy cập.,,
a8505c09-4816-41f2-a9fc-7b3a3ef5d2ed,Elliptic Curve Digital Signature Algorithm (ECDSA – Thuật toán chữ ký số đường cong elliptic),Phương pháp tạo và xác minh chữ ký số dựa trên mật mã đường cong elliptic.,,
7c7630b0-8c0c-49ed-a4c2-31592bfc3585,Full Disk Encryption (FDE – Mã hóa toàn bộ ổ đĩa),Công nghệ bảo mật giúp mã hóa toàn bộ dữ liệu lưu trữ trên thiết bị.,,
ee688461-2d3e-4c32-b3b4-ef78b0f439e7,Host Intrusion Prevention System (HIPS – Hệ thống ngăn chặn xâm nhập máy chủ),Giải pháp bảo mật chủ động phát hiện và phản ứng khi có hành vi tấn công trên từng máy tính.,,
6c42a58a-bfc5-4bc5-b0fc-4eb78b6bb33f,Indicator of Compromise (IoC – Chỉ báo xâm nhập),Dấu hiệu kỹ thuật giúp phát hiện hoặc phân tích các sự cố an ninh mạng.,,
9e4781ad-7455-477e-84e2-28f5f864d2fc,Industrial Control System (ICS – Hệ thống điều khiển công nghiệp),"Thuật ngữ chung chỉ các hệ thống tự động hóa trong môi trường sản xuất, năng lượng và hạ tầng.",,
37bafc63-54c3-4d0e-95c4-914e8c895be3,Infrastructure as a Service (IaaS – Hạ tầng dưới dạng dịch vụ),"Mô hình điện toán đám mây cung cấp tài nguyên tính toán, lưu trữ và mạng qua Internet.",,
62d47990-1d19-47ca-b388-7bbf8893d772,Intrusion Detection System (IDS – Hệ thống phát hiện xâm nhập),Giải pháp giám sát mạng ghi nhật ký và gửi cảnh báo khi phát hiện hành vi bất thường.,,
fa6f8744-6bfb-47c0-aa40-b699a6f53bf9,Layer 2 Tunneling Protocol (L2TP – Giao thức đường hầm tầng liên kết dữ liệu),"Giao thức tạo đường hầm trong VPN, thường kết hợp cùng IPsec để mã hóa.",,
5d715550-8413-4a4a-a9d3-4982607523a5,Mean Time Between Failures (MTBF – Thời gian trung bình giữa hai lần hỏng),"Giá trị càng cao chứng tỏ hệ thống càng đáng tin cậy, ít xảy ra sự cố.",,
3345adf2-1e13-487d-873d-38cd6a9217d8,Open Shortest Path First (OSPF – Giao thức tìm đường ngắn nhất mở),Giao thức định tuyến dùng để xác định đường truyền tối ưu trong mạng IP.,,
b46aaece-b5c4-40f5-804d-975302c89620,Radio Frequency Identification (RFID – Nhận dạng bằng tần số vô tuyến),Công nghệ dùng sóng vô tuyến để định danh và theo dõi vật thể gắn thẻ RFID.,,
d4cd59f5-8bdd-446c-b5b4-c889d3778a82,Remote Access Service (RAS – Dịch vụ truy cập từ xa),Giải pháp phần cứng hoặc phần mềm cho phép kết nối bảo mật đến mạng nội bộ.,,
60bf5d18-b181-4a45-bb2c-254cacce27f8,Remote Access Trojan (RAT – Trojan truy cập từ xa),Loại mã độc cho phép kẻ tấn công điều khiển máy tính nạn nhân từ xa.,,
d562a3b2-bff3-49dc-a8be-a40f62412862,Remote Desktop Protocol (RDP – Giao thức máy tính từ xa),Giao thức độc quyền của Microsoft cho phép điều khiển máy tính từ xa qua giao diện đồ họa.,,
280130e9-cea3-4baa-a596-dc850da403d1,Secure Web Gateway (SWG – Cổng bảo mật web),"Giải pháp lọc, giám sát và kiểm soát lưu lượng web nhằm ngăn chặn truy cập trái phép và phần mềm độc hại.",,
43b56cc9-9a59-499b-99e6-29115f09a044,Solid-State Drive (SSD – Ổ đĩa thể rắn),"Ổ lưu trữ hiệu năng cao, không có bộ phận chuyển động, nhưng dung lượng thấp và giá thành cao hơn ổ từ.",,
a20940ab-ee6e-42d2-840d-9584b8900e2e,"Tactics, Techniques, and Procedures (TTP – Chiến thuật, Kỹ thuật và Quy trình)",Cung cấp cái nhìn về phương pháp và công cụ mà tội phạm mạng sử dụng khi tấn công.,,
f7ed82ff-5186-47dd-a0f1-d56ad195cbe5,Trusted Automated eXchange of Indicator Information (TAXII – Giao thức truyền thông tin mối đe dọa tự động),Cơ chế truyền tải tiêu chuẩn dùng để chia sẻ dữ liệu mối đe dọa mạng (thường dùng cùng STIX).,,
36b395b2-49cb-4309-990b-eede7cffdbb4,Web Application Firewall (WAF – Tường lửa ứng dụng web),"Giải pháp bảo mật giám sát, lọc và chặn lưu lượng HTTP/HTTPS giữa ứng dụng web và Internet.",,
26216f97-325b-4caf-9b85-18748d687188,Wi-Fi Protected Setup (WPS – Cài đặt bảo mật Wi-Fi),"Công nghệ thiết lập nhanh Wi-Fi nhưng có nhiều lỗ hổng, không nên sử dụng.",,
932693cb-7f9e-47af-a99e-4162742687e2,Wired Equivalent Privacy (WEP – Mã hóa bảo mật tương đương có dây),"Chuẩn bảo mật Wi-Fi lỗi thời, dễ bị tấn công, không nên triển khai.",,
