id,answer,question,desc,ref
ffcb9dc1-82c2-45a9-98c5-ed90d86077cb,Bộ định tuyến (Router),Bộ chuyển mạch đa lớp là thiết bị nào?,"Router hoạt động ở nhiều tầng (Layer 3 trở lên), nên được gọi là multilayer switch.",
c8b85ec9-43bd-4bba-939e-42bd15768830,Gói dữ liệu (Datagram),Đơn vị dữ liệu giao thức UDP trong mô hình OSI được gọi là?,,
76ed473e-84c6-4109-b1d5-58c3be3d06b8,Gói tin (Packet),Đơn vị dữ liệu giao thức ở tầng mạng trong mô hình OSI được gọi là?,,
ca19c7c7-fab7-4b1a-8866-0fbcf70f234f,Khung dữ liệu (Frame),Đơn vị dữ liệu giao thức ở tầng liên kết dữ liệu trong mô hình OSI được gọi là?,,
96a4d5ac-802a-473f-a26b-4da36ee1853a,Số nhị phân (Bit),Đơn vị dữ liệu giao thức ở tầng vật lý trong mô hình OSI được gọi là?,,
64c76430-b7f3-42a5-9df1-14dff66267a9,Tầng liên kết dữ liệu (Data-link Layer),Address Resolution Protocol (ARP) là giao thức thuộc tầng nào trong mô hình OSI?,,
1d5a7957-acf8-423d-bf67-5918b2bbcca1,Tầng liên kết dữ liệu (Data-link Layer),Bộ chuyển mạch (Switch) là thiết bị thuộc tầng nào trong mô hình OSI?,,
953523ac-f1b9-4e5c-93c2-31f139536c3e,Tầng liên kết dữ liệu (Data-link Layer),Bộ cầu nối (Brigde) là thiết bị thuộc tầng nào trong mô hình OSI?,,
33e93714-f310-4226-b659-c749bb8673bb,Tầng liên kết dữ liệu (Data-link Layer),Bộ điều hợp mạng (Network adapter) là thiết bị thuộc tầng nào trong mô hình OSI?,,
68caf9be-6550-457d-a2ac-9e7fbc5263ac,Tầng liên kết dữ liệu (Data-link Layer),Network Interface Card (NIC) nằm ở tầng nào trong mô hình OSI?,,
462aca81-369b-43ec-ae6a-1ba7d3fd3c83,Tầng liên kết dữ liệu (Data-link Layer),Tầng 2 trong mô hình OSI còn được gọi là gì?,"Tầng 2 cung cấp phương tiện truyền dữ liệu tin cậy giữa hai thiết bị kết nối trực tiếp (node-to-node) trong cùng một đoạn mạng cục bộ (LAN).",
5c22a92b-03be-4412-ae58-bd52bdd21297,Tầng liên kết dữ liệu (Data-link Layer),Tầng nào trong mô hình OSI chịu trách nhiệm kiểm soát luồng trong phạm vi node-to-node?,,
35afd302-0404-42a3-b147-eb690adb5f3b,Tầng liên kết dữ liệu (Data-link Layer),Tầng nào trong mô hình OSI chịu trách nhiệm kiểm soát lỗi khi xảy ra trên đường truyền vật lý?,,
41a9d39c-bed1-4bbb-9da6-6b713cc7e68b,Tầng liên kết dữ liệu (Data-link Layer),Tầng nào trong mô hình OSI chịu trách nhiệm kiểm soát truy cập đường truyền (Media Access Control - MAC)?,,
689d7ae8-5b31-4cd8-87ad-822c65ed09fe,Tầng liên kết dữ liệu (Data-link Layer),Tầng nào trong mô hình OSI chịu trách nhiệm xử lý địa chỉ vật lý?,,
