id,answer,question,desc,ref
e1371b4d-5146-42d8-88be-4397c4788d49,1,Cổng mặc định của dịch vụ tcpmux (TCP Port Service Multiplexer) được IANA (Internet Assigned Numbers Authority) ghi nhận là bao nhiêu?,"Giao thức truyền tải: TCP, UDP",
49f04eeb-bbad-4e0f-aea2-105d5cc6c14b,11,Cổng mặc định của dịch vụ systat - Active Users được IANA (Internet Assigned Numbers Authority) ghi nhận là bao nhiêu?,"Giao thức truyền tải: TCP, UDP",
2378a7bb-7101-437b-8f3f-79b11e3bc7d1,13,Cổng mặc định của dịch vụ daytime được IANA (Internet Assigned Numbers Authority) ghi nhận là bao nhiêu?,"Giao thức truyền tải: TCP, UDP",
e3d4d082-b39d-4d6b-af42-1217fb8c2912,17,Cổng mặc định của dịch vụ qotd (Qoute of the day) được IANA (Internet Assigned Numbers Authority) ghi nhận là bao nhiêu?,"Giao thức truyền tải: TCP, UDP",
4a440398-c04d-465f-b8ab-b3e38ad32df6,18,Cổng mặc định của dịch vụ msp (Message Send Protocol) được IANA (Internet Assigned Numbers Authority) ghi nhận là bao nhiêu?,"Giao thức truyền tải: TCP, UDP",
ef77262c-3818-490d-b146-f3c83548857b,19,Cổng mặc định của dịch vụ chargen (Character Generator) được IANA (Internet Assigned Numbers Authority) ghi nhận là bao nhiêu?,"Giao thức truyền tải: TCP, UDP",
913080f1-7d32-430d-81e0-d057c030f4e7,20,Cổng mặc định của dịch vụ ftp-data (File Transfer Protocol Data) được IANA (Internet Assigned Numbers Authority) ghi nhận là bao nhiêu?,"Giao thức truyền tải: TCP, UDP, SCTP",
dc6ba761-bce6-4679-9b3c-1bf78c895b81,21,Cổng mặc định của dịch vụ ftp (File Transfer Protocol) được IANA (Internet Assigned Numbers Authority) ghi nhận là bao nhiêu?,"Giao thức truyền tải: TCP, UDP, SCTP",
660d9a12-f26d-4513-974b-977f12e3396b,22,Cổng mặc định của dịch vụ ssh (Secure Shell Protocol) được IANA (Internet Assigned Numbers Authority) ghi nhận là bao nhiêu?,"Giao thức truyền tải: TCP, UDP, SCTP",
01cb8ea8-a890-4793-83d0-7a406b43aad5,23,Cổng mặc định của dịch vụ telnet được IANA (Internet Assigned Numbers Authority) ghi nhận là bao nhiêu?,"Giao thức truyền tải: TCP, UDP",
52e15a99-a1c1-43e8-a62b-bf442cc4682f,24,Cổng mặc định của dịch vụ hệ thống mail riêng tư được IANA (Internet Assigned Numbers Authority) ghi nhận là bao nhiêu?,"Giao thức truyền tải: TCP, UDP",
bc03d462-55b5-49ff-868f-f1431d848466,25,Cổng mặc định của dịch vụ smtp (Simple Mail Transfer Protocol) được IANA (Internet Assigned Numbers Authority) ghi nhận là bao nhiêu?,"Giao thức truyền tải: TCP, UDP",
a93f9155-4b37-4362-b51d-619362ab6191,27,Cổng mặc định của dịch vụ nsw-fe (NSW User System FE) được IANA (Internet Assigned Numbers Authority) ghi nhận là bao nhiêu?,"Giao thức truyền tải: TCP, UDP",
