id,answer,question,desc,ref
ba611646-9668-4afc-948f-187253e8bf34,"Concatenates ""hello"" and "" world"", prints hello world. {BRIGHT_CYAN}(Ghép ""hello"" và "" world"", in ra hello world.)","What does {BRIGHT_GREEN}echo ""hello"""" world""{RESET} do? {BRIGHT_CYAN}(Lệnh echo ""hello"""" world"" dùng để làm gì?)",,
5e2610d6-7f60-4304-88a2-a5f4fc88bee0,"Concatenates strings, prints hello world. {BRIGHT_CYAN}(Ghép ""hel"" và ""lo world"", in hello world.)","What does {BRIGHT_GREEN}echo ""hel""""lo world""{RESET} do? {BRIGHT_CYAN}(Lệnh echo ""hel""""lo world"" dùng để làm gì?)",,
5387454c-14eb-46fd-89c2-408632c6f889,"First echo prints hello without newline, second prints world. {BRIGHT_CYAN}(In hello không xuống dòng, rồi in world.)","What does {BRIGHT_GREEN}echo -n ""hello ""; echo ""world""{RESET} do? {BRIGHT_CYAN}(Lệnh echo -n ""hello ""; echo ""world"" dùng để làm gì?)",,
a9fc8c5e-9a22-4b8d-9843-f3d061d74155,Here-document sends hello world to cat. {BRIGHT_CYAN}(Dùng here-document đưa hello world vào cat rồi in ra.),What does {BRIGHT_GREEN}cat <<EOF{BACKSLASH}nhello world{BACKSLASH}nEOF{RESET} do? {BRIGHT_CYAN}(Lệnh cat <<EOF ... EOF dùng để làm gì?),,
1da1e0a9-d94b-4be8-b94b-950763b9e929,Prints hello and world each on new line. {BRIGHT_CYAN}(In hello và world mỗi từ 1 dòng.),"What does {BRIGHT_GREEN}printf ""%s{BACKSLASH}n"" $(echo hello world){RESET} do? {BRIGHT_CYAN}(Lệnh printf ""%s{BACKSLASH}n"" $(echo hello world) dùng để làm gì?)",,
44de1f2c-5f4f-4245-a6e9-45924aedca37,"Prints hello newline, then world. {BRIGHT_CYAN}(In hello xuống dòng, rồi in world.)","What does {BRIGHT_GREEN}echo -e ""hello{BACKSLASH}n""; echo ""world""{RESET} do? {BRIGHT_CYAN}(Lệnh echo -e ""hello{BACKSLASH}n""; echo ""world"" dùng để làm gì?)",,
45a58c23-30bf-43f7-ae7e-fa6057c3e041,"Prints hello then world on new line (-e enables escapes). {BRIGHT_CYAN}(In hello rồi xuống dòng in world, nhờ -e bật escape sequence.)","What does {BRIGHT_GREEN}echo -e ""hello{BACKSLASH}nworld""{RESET} do? {BRIGHT_CYAN}(Lệnh echo -e ""hello{BACKSLASH}nworld"" dùng để làm gì?)",,
b4bc2147-89ae-4d75-ba08-d04148426e00,Prints hello then world on next line. {BRIGHT_CYAN}(In hello rồi xuống dòng in world.),"What does {BRIGHT_GREEN}printf ""hello{BACKSLASH}nworld{BACKSLASH}n""{RESET} do? {BRIGHT_CYAN}(Lệnh printf ""hello{BACKSLASH}nworld{BACKSLASH}n"" dùng để làm gì?)",,
836adf64-0235-49be-9d3c-52ecdebc36aa,"Prints hello world (backslash escapes the space). {BRIGHT_CYAN}(In ra hello world, dấu \ để thoát khoảng trắng.)",What does {BRIGHT_GREEN}echo hello\ world{RESET} do? {BRIGHT_CYAN}(Lệnh echo hello\ world dùng để làm gì?),,
a05c3615-b704-4bc6-a5b7-4dbc837c2a40,Prints hello world (tab space). {BRIGHT_CYAN}(In ra hello world với dấu tab.),"What does {BRIGHT_GREEN}printf ""hello{BACKSLASH}tworld{BACKSLASH}n""{RESET} do? {BRIGHT_CYAN}(Lệnh printf ""hello{BACKSLASH}tworld{BACKSLASH}n"" dùng để làm gì?)",,
6c9ca547-8398-4405-a04f-8988afcd2341,Prints hello world (with leading space). {BRIGHT_CYAN}(In ra hello world có khoảng trắng ở đầu.),"What does {BRIGHT_GREEN}echo "" hello world""{RESET} do? {BRIGHT_CYAN}(Lệnh echo "" hello world"" dùng để làm gì?)",,
a36d6b89-285e-4af2-b16f-6cb67c3d3907,Prints hello world (with trailing space). {BRIGHT_CYAN}(In ra hello world có khoảng trắng ở cuối.),"What does {BRIGHT_GREEN}echo ""hello world ""{RESET} do? {BRIGHT_CYAN}(Lệnh echo ""hello world "" dùng để làm gì?)",,
6a3fbf22-af03-4616-963a-4578b97cd3bd,"Prints hello world followed by newline (format string). {BRIGHT_CYAN}(In ra hello world kèm xuống dòng, dùng format string.)","What does {BRIGHT_GREEN}printf ""%s{BACKSLASH}n"" ""hello world""{RESET} do? {BRIGHT_CYAN}(Lệnh printf ""%s{BACKSLASH}n"" ""hello world"" dùng để làm gì?)",,
32be81a8-e682-4134-9b0d-a4a3df01a09a,Prints hello world followed by newline. {BRIGHT_CYAN}(In ra hello world kèm xuống dòng.),"What does {BRIGHT_GREEN}printf ""hello world{BACKSLASH}n""{RESET} do? {BRIGHT_CYAN}(Lệnh printf ""hello world{BACKSLASH}n"" dùng để làm gì?)",,
1329b93a-d9f8-45d5-9dc7-cf9a17d4a75d,Prints hello world with a newline. {BRIGHT_CYAN}(In ra hello world kèm xuống dòng.),"What does {BRIGHT_GREEN}echo ""hello world""{RESET} do? {BRIGHT_CYAN}(Lệnh echo ""hello world"" dùng để làm gì?)",,
a8a4dc21-f734-4f3f-9427-246420159833,Prints hello world with a newline. {BRIGHT_CYAN}(In ra hello world kèm xuống dòng.),What does {BRIGHT_GREEN}echo 'hello world'{RESET} do? {BRIGHT_CYAN}(Lệnh echo 'hello world' dùng để làm gì?),,
5c8ebbea-17e8-44e8-a6a1-a8cf13bea0b6,Prints hello world with a newline. {BRIGHT_CYAN}(In ra hello world kèm xuống dòng.),What does {BRIGHT_GREEN}echo hello world{RESET} do? {BRIGHT_CYAN}(Lệnh echo hello world dùng để làm gì?),,
3412889f-ba13-43ce-b8e6-66856759a2f7,"Prints hello world with newline (extra spaces ignored). {BRIGHT_CYAN}(In ra hello world, khoảng trắng thừa bị bỏ qua.)","What does {BRIGHT_GREEN}echo ""hello world""{RESET} do? {BRIGHT_CYAN}(Lệnh echo ""hello world"" dùng để làm gì?)",,
621b4dbf-6df0-4fce-87f9-d75f3bccaab8,"Prints hello world with newline at end. {BRIGHT_CYAN}(In hello world, có xuống dòng cuối.)","What does {BRIGHT_GREEN}printf ""hello ""; printf ""world{BACKSLASH}n""{RESET} do? {BRIGHT_CYAN}(Lệnh printf ""hello ""; printf ""world{BACKSLASH}n"" dùng để làm gì?)",,
6609b39c-1fe9-4277-b151-1615e48b2a99,Prints hello world with newline. {BRIGHT_CYAN}(In ra hello world kèm xuống dòng.),What does {BRIGHT_GREEN}echo 'hello world';{RESET} do? {BRIGHT_CYAN}(Lệnh echo 'hello world'; dùng để làm gì?),,
885a122f-7448-49db-b8f1-331f13ea9e36,Prints hello world with newline. {BRIGHT_CYAN}(In ra hello world kèm xuống dòng.),"What does {BRIGHT_GREEN}printf ""hello world{BACKSLASH}n""{RESET} do? {BRIGHT_CYAN}(Lệnh printf ""hello world{BACKSLASH}n"" dùng để làm gì?)",,
fa16f800-68a4-4259-a3cc-086093dd9eca,"Prints hello world with newline; ; ends the command. {BRIGHT_CYAN}(In ra hello world, dấu ; kết thúc lệnh.)","What does {BRIGHT_GREEN}echo ""hello world"";{RESET} do? {BRIGHT_CYAN}(Lệnh echo ""hello world""; dùng để làm gì?)",,
e21bb363-c6b7-487e-9e7d-721baa79fe8b,Prints hello world with tab. {BRIGHT_CYAN}(In hello world có dấu tab.),"What does {BRIGHT_GREEN}echo -e ""hello{BACKSLASH}tworld""{RESET} do? {BRIGHT_CYAN}(Lệnh echo -e ""hello{BACKSLASH}tworld"" dùng để làm gì?)",,
36566838-d052-4ac2-9cf3-f1820e595f85,Prints hello world without a newline. {BRIGHT_CYAN}(In ra hello world mà không xuống dòng.),"What does {BRIGHT_GREEN}printf ""hello world""{RESET} do? {BRIGHT_CYAN}(Lệnh printf ""hello world"" dùng để làm gì?)",,
837fe890-937c-4eda-b984-e408cfc1bf3d,Prints hello world without a newline. {BRIGHT_CYAN}(In ra hello world mà không xuống dòng.),What does {BRIGHT_GREEN}printf 'hello world'{RESET} do? {BRIGHT_CYAN}(Lệnh printf 'hello world' dùng để làm gì?),,
3d7f1eb4-32f5-440d-8261-c80b44594fde,Prints hello world without newline. {BRIGHT_CYAN}(In hello world mà không xuống dòng.),"What does {BRIGHT_GREEN}echo -n ""hello ""; echo -n ""world""{RESET} do? {BRIGHT_CYAN}(Lệnh echo -n ""hello ""; echo -n ""world"" dùng để làm gì?)",,
1e3c545e-2bab-4a45-97e4-a1fdbc5f4002,Prints hello world without newline. {BRIGHT_CYAN}(In hello world mà không xuống dòng.),"What does {BRIGHT_GREEN}printf ""hello ""; printf ""world""{RESET} do? {BRIGHT_CYAN}(Lệnh printf ""hello ""; printf ""world"" dùng để làm gì?)",,
a400f195-a272-47ac-8c78-f6d888d22f7e,Prints hello world without newline. {BRIGHT_CYAN}(In ra hello world mà không xuống dòng.),"What does {BRIGHT_GREEN}echo -n ""hello world""{RESET} do? {BRIGHT_CYAN}(Lệnh echo -n ""hello world"" dùng để làm gì?)",,
87d41a6f-bfda-4509-aae7-f347ae42f95f,Prints hello world. {BRIGHT_CYAN}(In ra hello world.),"What does {BRIGHT_GREEN}echo ""hello"" ""world""{RESET} do? {BRIGHT_CYAN}(Lệnh echo ""hello"" ""world"" dùng để làm gì?)",,
a09845b9-deb9-43a1-b5b0-a8dcdd857665,Prints hello world. {BRIGHT_CYAN}(In ra hello world.),"What does {BRIGHT_GREEN}printf ""%s %s{BACKSLASH}n"" hello world{RESET} do? {BRIGHT_CYAN}(Lệnh printf ""%s %s{BACKSLASH}n"" hello world dùng để làm gì?)",,
