id,answer,question,desc,ref
28e4fdfd-4fab-4bc4-9747-654a7da775ed,127.0.0.1,"Khi kiểm tra cài đặt trên trình duyệt, kỹ thuật viên phát hiện máy tính đang cố gắng sử dụng chính nó làm proxy server. Vậy kỹ thuật viên sẽ thấy địa chỉ IP nào trong subnet?","- 127.0.0.1 là địa chỉ loopback (hay còn gọi là “localhost”), đại diện cho chính máy tính đó.\n- Khi cấu hình proxy về địa chỉ này, nghĩa là trình duyệt sẽ gửi lưu lượng đến chính nó, chứ không ra ngoài mạng — gây lỗi kết nối Internet. Các địa chỉ còn lại (10.x.x.x, 192.168.x.x) là mạng nội bộ, không phải loopback.",
d0839661-a54a-473c-b255-7f9edae91a5f,ACL đầu tiên đang từ chối tất cả lưu lượng TCP và các ACL khác bị router bỏ qua,"Quản trị mạng ABC cần cho phép lưu lượng Internet tới host 10.0.0.2 và lưu lượng UDP tới host 10.0.0.3. Ngoài ra cần cho phép toàn bộ FTP tới phần còn lại của mạng và từ chối mọi lưu lượng khác. Sau khi áp dụng cấu hình ACL như dưới, không ai truy cập được FTP và các host được phép không truy cập Internet. Theo cấu hình sau, vấn đề gì đang xảy ra?\n\t{BRIGHT_GREEN}access-list 102 deny tcp any any\n\taccess-list 104 permit udp host 10.0.0.3 any\n\taccess-list 110 permit tcp host 10.0.0.2 eq www any\n\taccess-list 108 permit tcp any eq ftp any","- Dòng access-list 102 deny tcp any any từ chối mọi lưu lượng TCP. Nếu ACL này được áp dụng trên giao diện (inbound/outbound) thì mọi gói TCP sẽ bị drop ngay lập tức — bao gồm HTTP (www), FTP (port 21) — trước khi các ACL khác có cơ hội cho phép.\n- Trên Cisco chỉ có một ACL (một danh sách) được xử lý cho cùng 1 giao diện theo một hướng; các access-list khác không “xếp chồng” để tiếp tục xét nếu ACL áp dụng trước đã khớp deny bất kỳ gói TCP nào.\n- Do đó, ACL 102 đang chặn TCP, khiến FTP không hoạt động và host 10.0.0.2 không thể truy cập Internet qua HTTP, dù đã có các dòng permit ở ACL khác.",
931f8f1d-d267-4f99-bd1d-d697743d8189,Cain and Abel,Hacker tìm file cấu hình Cisco VPN bằng filetype:pcf — những file này có thể chứa mật khẩu kết nối và có thể giải mã bằng công cụ nào sau đây?,"- Tập tin .pcf của Cisco VPN client thường chứa thông tin cấu hình cùng các mật khẩu/chuỗi được mã hoá theo kiểu có thể khôi phục/giải mã bởi công cụ Cain & Abel, vốn nổi tiếng với khả năng khôi phục mật khẩu (bao gồm VPN, MS-CHAP, v.v.).",
62144c3e-0df4-48e0-9016-51f3cf4cd666,Common Criteria,Tiêu chuẩn quốc tế nào thiết lập mức độ tin cậy cơ bản đối với các chức năng bảo mật của sản phẩm CNTT bằng cách cung cấp bộ yêu cầu để đánh giá?,- Common Criteria (ISO/IEC 15408) là chuẩn quốc tế dùng để đánh giá và chứng nhận mức độ bảo mật của sản phẩm CNTT. Nó thiết lập một “baseline of confidence” thông qua các Evaluation Assurance Levels (EAL 1–7).,
fa1c0b7d-2274-4015-9570-bbcc389ca539,Cần triển khai một giải pháp bảo mật để lọc các gói dữ liệu giữa mạng nội bộ (LAN) và vùng DMZ.,"Một cuộc kiểm thử xâm nhập đã được thực hiện tại một công ty. Sau khi hoàn tất, một báo cáo được viết và gửi cho bộ phận IT của công ty. Một đoạn trong báo cáo được hiển thị bên dưới:","- Giải pháp bảo mật lọc gói tin giữa LAN và DMZ thường là Firewall — giúp kiểm soát luồng dữ liệu, ngăn chặn truy cập trái phép từ DMZ vào mạng nội bộ. Các lựa chọn khác chỉ bảo vệ ở tầng mạng nội bộ hoặc tầng ứng dụng web, không phù hợp với yêu cầu mô tả trong báo cáo.",
4275e46f-28ec-40ff-8a2a-c2ba8316c044,Dấu vân tay và thẻ thông minh (Smartcard ID),Ví dụ nào sau đây là hình thức xác thực hai yếu tố (Two-Factor Authentication)?,"- Xác thực hai yếu tố (2FA) yêu cầu hai loại yếu tố khác nhau:\n\t- Something you know – Thông tin bạn biết (mật khẩu, PIN, v.v.)\n\t- Something you have – Vật bạn sở hữu (token, thẻ, smartcard, v.v.)\n\t- Something you are – Đặc điểm sinh trắc (vân tay, khuôn mặt, mống mắt).\n- Dấu vân tay (yếu tố sinh trắc) + Smartcard (vật sở hữu) = hai yếu tố khác loại",
8c3970af-c632-48c2-9aba-cc8292af1e33,Giai đoạn Chuẩn bị (Preparation phase),"Việc xác định quy tắc, phối hợp nhân sự, tạo kế hoạch sao lưu và kiểm tra các kế hoạch nằm trong giai đoạn nào của quy trình xử lý sự cố (Incident Handling Process)?","- Preparation là giai đoạn đầu tiên trong quy trình xử lý sự cố — tập trung vào việc xây dựng năng lực, chính sách, quy trình, và kế hoạch phản ứng trước khi sự cố xảy ra. Các hoạt động như: định nghĩa quy tắc, phân công nhân sự, tạo và kiểm thử kế hoạch sao lưu, huấn luyện đội ứng phó... đều thuộc giai đoạn này.",
81205a84-7fe2-4a35-9bbf-791aeafeb573,Kismet,"Công cụ nào sau đây là một bộ phân tích gói tin không dây (wireless packet analyzer) dạng thụ động, hoạt động trên hệ thống Linux?","- Kismet là một wireless network detector và packet sniffer dạng thụ động, chuyên dùng để phát hiện mạng Wi-Fi, bắt gói 802.11, phát hiện rogue AP và client mà không cần gửi gói tin nào (→ thụ động). Hoạt động tốt trên Linux và nhiều distro bảo mật như Kali.",
8686abc5-b937-499f-82eb-3384c9346f06,Lỗ hổng ở tầng ứng dụng độc lập với tầng mạng. Các cuộc tấn công và biện pháp khắc phục gần như giống hệt nhau.,"Trong IPv6, sự khác biệt chính liên quan đến lỗ hổng tầng ứng dụng (Application Layer) so với IPv4 là gì?","- Tầng Application (HTTP, SMTP, FTP, DNS, v.v.) hoạt động độc lập với tầng Network (IPv4/IPv6).\n- Do đó, dù dùng IPv4 hay IPv6, các lỗ hổng như SQL injection, XSS, CSRF, buffer overflow... vẫn tồn tại và cách tấn công – khắc phục gần như không thay đổi.",
07090e3c-3003-4de6-a8cc-1d835a953d47,Một kênh bí mật (covert channel).,Một cách để đánh bại một giải pháp bảo mật đa cấp là rò rỉ dữ liệu qua,- Covert channel là kênh truyền thông không được thiết kế để trao đổi dữ liệu nhưng bị lợi dụng để truyền thông tin ra ngoài (ví dụ: kênh timing — thay đổi thời gian phản hồi để mã hoá bit; kênh storage — đặt dữ liệu vào trường không dùng trong file/metadata). Đây là kiểu rò rỉ làm vượt qua cơ chế phân cấp/định danh vì nó khai thác phương tiện ngầm.,
