id,answer,question,desc,ref
4f5d813f-4dc3-47ec-8db4-4c6aebcc2aa6,Advanced Encryption Standard,{BRIGHT_CYAN}AES{RESET} là viết tắt của từ gì trong an ninh mạng?,"Đây là một thuật toán mã hóa đối xứng được sử dụng rộng rãi để bảo vệ dữ liệu trong các hệ thống máy tính và mạng. Nó được phát triển {BRIGHT_RED}để thay thế DES (Data Encryption Standard){RESET} và được chính phủ Hoa Kỳ áp dụng làm tiêu chuẩn mã hóa từ năm 2001. AES sử dụng một khóa bí mật cố định để biến đổi dữ liệu ban đầu thành dữ liệu mã hóa và ngược lại, đảm bảo an toàn cho thông tin nhạy cảm.",
dbfd6000-f06a-4712-97cf-9956fba7692f,Anti-Malware Scan Interface,{BRIGHT_CYAN}AMSI{RESET} là viết tắt của từ gì trong an ninh mạng?,"Đây là một tiêu chuẩn giao diện đa năng cho phép các ứng dụng và dịch vụ của anh tích hợp với bất kỳ sản phẩm chống mã độc nào có trên máy. AMSI cung cấp khả năng bảo vệ nâng cao chống lại phần mềm độc hại cho người dùng cuối, cũng như dữ liệu, ứng dụng và khối lượng công việc của họ.",
c647a0e5-9fbd-4243-9bd8-7a231b64b97c,Anti-Virus,{BRIGHT_CYAN}AV{RESET} là viết tắt của từ gì trong an ninh mạng?,"Đây là phần mềm diệt virus là một dạng phần mềm có khả năng bảo vệ, phát hiện, cảnh báo và loại bỏ các virus máy tính đang xâm nhập và tấn công máy tính của người dụng, từ đó khắc phục một phần hoặc hoàn toàn các hậu quả do virus tấn công máy tính.",
d0fedcf0-064b-491d-b1d3-fceded390c19,Application Detection and Response,{BRIGHT_CYAN}ADR{RESET} là viết tắt của từ gì trong an ninh mạng?,"Đây là một phương pháp tiếp cận bảo mật ứng dụng, tập trung vào việc nhận diện và giảm thiểu các mối đe dọa ở tầng ứng dụng. Nó bao gồm việc giám sát theo thời gian thực ngữ cảnh của ứng dụng để phát hiện hoạt động độc hại và các cuộc tấn công tiềm ẩn.",
0bbd95c9-b72d-4057-a38c-fa35ccc7a83b,Application Security Posture Management,{BRIGHT_CYAN}ASPM{RESET} là viết tắt của từ gì trong an ninh mạng?,"Đây là một phương pháp tiếp cận toàn diện trong bảo mật ứng dụng (AppSec). Nó cung cấp một nguồn thông tin tập trung duy nhất để nhận diện, liên kết và ưu tiên các lỗ hổng bảo mật xuyên suốt vòng đời phát triển phần mềm, từ giai đoạn phát triển (development) cho đến khi triển khai (deployment).",
e886c62e-884e-41c0-804a-f2358055ff96,Application Security Testing,{BRIGHT_CYAN}AST{RESET} là viết tắt của từ gì trong an ninh mạng?,"Đây là quá trình xác định, đánh giá và khắc phục các lỗ hổng bảo mật trong phần mềm hoặc ứng dụng, thông qua các phương pháp kiểm thử thủ công và tự động trong suốt vòng đời phát triển phần mềm (SDLC).",
2fcdd647-cb33-4f4e-b6fb-a52322955bbb,Artificial Intelligence Defense Agent,{BRIGHT_CYAN}AIDA{RESET} là viết tắt của từ gì trong an ninh mạng?,"Đây là một bộ công cụ tác nhân phòng thủ dựa trên trí tuệ nhân tạo, giúp nâng cấp mạnh mẽ cách tiếp cận quản lý rủi ro con người. AIDA tận dụng nhiều công nghệ AI để tạo ra các chương trình đào tạo cá nhân hóa, thích ứng và cực kỳ hiệu quả cho toàn bộ người dùng, nhằm thay đổi hành vi một cách thực sự.\n Bằng việc tự động hóa các quy trình như tạo mẫu nội dung, đào tạo và báo cáo, AIDA giúp giảm đáng kể gánh nặng hành chính cho đội ngũ an ninh, từ đó họ có thể tập trung vào việc bảo vệ hệ thống mạng",
1a3ae54f-15d5-4a87-9ced-35f814bcf3fd,Autonomic Security Operations,{BRIGHT_CYAN}ASO{RESET} là viết tắt của từ gì trong an ninh mạng?,Đây là một phương pháp tiếp cận mới trong vận hành an ninh. Nó nhằm mục tiêu vượt qua những thách thức ngày càng gia tăng mà các trung tâm điều hành an ninh truyền thống (SOC) đang phải đối mặt.,
fa5f5cc3-66b7-4e4f-96e6-3536dae33d95,Certified Ethical Hacker,{BRIGHT_CYAN}CEH{RESET} là viết tắt của từ gì trong an ninh mạng?,"Đây là một chứng chỉ chuyên sâu trong lĩnh vực an ninh mạng, được cấp bởi tổ chức EC-Council. CEH xác nhận kiến thức và kỹ năng của chuyên gia trong việc phát hiện lỗ hổng bảo mật và thực hiện kiểm thử thâm nhập một cách hợp pháp nhằm tăng cường an ninh cho tổ chức.",
a6f183ba-5f54-419d-99ef-d67404d17c07,Certified Information Systems Auditor,{BRIGHT_CYAN}CISA{RESET} là viết tắt của từ gì trong an ninh mạng?,"Đây là chứng nhận được công nhận trên toàn cầu trong lĩnh vực kiểm tra, đảm bảo và kiểm soát an ninh thông tin.",
