id,answer,question,hint,desc
e543a058-d868-49ad-a5b2-4dbc4fc90f38,1,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/32{RESET}?,,
0d189713-53b5-477c-8e9d-17047ea5e9e7,1,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/32{RESET}?,,
00553d28-515e-4e33-a4ae-738c1428be7b,1.022,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/22{RESET}?,,
c071d209-5d61-482f-a56a-b904eac9d08e,1.024,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/22{RESET}?,,
7e4ff604-901a-4550-b8aa-7d7bf4242643,1.048.574,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/12{RESET}?,,
53bbbd79-4188-45a1-aef9-f06eca3cf9bf,1.048.576,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/12{RESET}?,,
f318405a-0cda-4afa-bcc1-022f75f277c2,1.073.741.822,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/2{RESET}?,,
8ced9dc1-5a7d-4b74-902c-5dc9f5156e02,1.073.741.824,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/2{RESET}?,,
e18780fe-db71-4db0-b945-b25cd024fec9,126,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/25{RESET}?,,
29fdf93c-cb94-41f4-8b79-0960048558ab,128,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/25{RESET}?,,
3005c288-2aa3-464d-94d9-47ca5910d9bd,131.070,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/15{RESET}?,,
0115b62d-05d8-4f5d-9119-6b6908ba7d1c,131.072,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/15{RESET}?,,
a311df61-fbf0-4bc1-8ed1-2a21a75cee55,134.217.726,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/5{RESET}?,,
bf043ad3-2b2b-480b-9bb5-a01e36e6bfd2,134.217.728,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/5{RESET}?,,
216eb59a-3d92-4ec7-9ebf-ca8bb9126f9a,14,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/28{RESET}?,,
caac84a0-8bb3-4f10-8c79-3a0641f715bd,16,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/28{RESET}?,,
ba511a6f-868a-47b0-930b-0895c857ac5b,16.382,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/18{RESET}?,,
1f8b2128-3341-43f7-b359-d49bfc6f445b,16.384,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/18{RESET}?,,
b5de1e4d-eb12-4059-83c1-36bf28532549,16.777.214,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/8{RESET}?,,
7871040f-69fc-4d08-a4d2-41ed077c19fa,16.777.216,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/8{RESET}?,,
36da727b-2343-46ac-8678-d609262a278c,2,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/30{RESET}?,,
ee86aac4-5940-4760-86f9-f2556de8320a,2,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/31{RESET}?,,
f23ba264-bd79-47c2-b236-7a43770e5698,2,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/31{RESET}?,,
cb2ef17d-ad1a-4d71-a2a0-f91213c3f507,2.046,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/21{RESET}?,,
f7908a62-6551-447c-9b65-194946b45432,2.048,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/21{RESET}?,,
4363b07c-3b3b-4fc6-998e-8f73851d2e55,2.097.150,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/11{RESET}?,,
76eefbdc-5333-4b30-a727-8f9befa7e248,2.097.152,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/11{RESET}?,,
16a2f45e-0a87-46d4-90e9-791fd8cabf9a,2.147.483.646,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/1{RESET}?,,
edb5dd5f-3d80-4059-8b1a-e02883f2e847,2.147.483.648,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/1{RESET}?,,
9d19ac02-9365-42ed-b886-1825a5d7c6ca,254,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/24{RESET}?,,
7995bb54-0851-41a1-848a-1ac2f1ded760,256,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/24{RESET}?,,
a6c68321-4ffe-449d-88c9-fbef1ba7669b,262.142,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/14{RESET}?,,
475026a9-f54b-431f-9398-2924fef14d59,262.144,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/14{RESET}?,,
bcbc66cb-06ac-4a34-b6f5-487c06878f49,268.435.454,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/4{RESET}?,,
5c71789e-ca54-414a-a4f8-5823449dc961,268.435.456,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/4{RESET}?,,
c1c3c00d-8050-4cae-9f8c-cdf7dd8b8c39,30,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/27{RESET}?,,
5017c046-cb31-43b2-af9c-09c77dfa7304,32,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/27{RESET}?,,
85361ec9-ef7b-4b47-9f41-10b9e00b41a4,32.766,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/17{RESET}?,,
11bba6cb-e916-4f0b-a7d3-d787553997c1,32.768,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/17{RESET}?,,
3ba62a2d-abc8-4578-9d6d-6af55f069adf,33.554.430,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/7{RESET}?,,
fcdecf74-856e-4c03-ba73-6174f2135167,33.554.432,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/7{RESET}?,,
933932b3-66ee-4c23-8d5f-cbd5ee67a957,4,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/30{RESET}?,,
cd4199a8-3abd-4d31-afb5-3f2a06c721bc,4.094,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/20{RESET}?,,
2be3de4a-4810-4647-9932-2b8b2417fd75,4.096,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/20{RESET}?,,
ca8fb77e-eb1f-49f3-b318-1bbf33d0e353,4.194.302,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/10{RESET}?,,
7fc1496a-7024-4478-99de-e664d9b8793d,4.194.304,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/10{RESET}?,,
e5d80e93-38a7-49a5-952a-c0e51f181e30,4.294.967.294,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/0{RESET}?,,
22f3fc6f-794c-4859-9e8a-d66888fdefa5,4.294.967.296,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/0{RESET}?,,
a607a410-6099-43e8-944c-b9da5619717d,510,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/23{RESET}?,,
f4810bb8-439e-4919-8622-db978b1e50f1,512,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/23{RESET}?,,
ce04fbf1-1aab-42fe-8367-33ecd43e5104,524.286,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/13{RESET}?,,
650d38f1-edc0-4089-9402-da648bc774dd,524.288,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/13{RESET}?,,
192bb36a-bf6d-4c28-ae05-b1d560addc71,536.870.910,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/3{RESET}?,,
e36b0acc-b4c1-492a-b36c-b1f9ba5a3b87,536.870.912,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/3{RESET}?,,
60e63f24-8144-4646-9c6b-6950658876a7,6,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/29{RESET}?,,
d57d96c0-ee82-450e-85de-9ce2b68266b6,62,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/26{RESET}?,,
8ffe70eb-8416-4b5e-bbcd-9b5fb8be2b23,64,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/26{RESET}?,,
b4659f06-24e7-4216-88e6-958ff8d3aa70,65.534,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/16{RESET}?,,
6c5c6739-36b6-4c37-8db0-dafd0caa7f82,65.536,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/16{RESET}?,,
7c2ece4f-9674-4490-80e5-ba28d5399216,67.108.862,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/6{RESET}?,,
5af40ac8-3169-4923-b37b-4e6a564cdc97,67.108.864,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/6{RESET}?,,
a3270a01-f3b5-4537-a570-6f25708bbd2b,8,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/29{RESET}?,,
e8ea9658-9a96-4150-b7f2-b7ae00b000a8,8.190,Có bao nhiêu địa chỉ IP khả dụng trong CDIR {BRIGHT_BLUE}/19{RESET}?,,
ae95fd92-36e2-4ab8-a480-1ef3f3a3622e,8.192,Có bao nhiêu địa chỉ IP trong CDIR {BRIGHT_BLUE}/19{RESET}?,,
