id,answer,question,hint,desc
eef5e360-0333-4d3f-96cf-022cb9953f73,phường An Hội Tây,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Thành phố Hồ Chí Minh\n- Cấp huyện (trước 01/07/2025): Quận Gò Vấp\n- Cấp xã (trước 01/07/2025): phường 12, 14",
51bb50c4-c32c-43ea-b1f8-c9729740d2f0,phường An Hội Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Thành phố Hồ Chí Minh\n- Cấp huyện (trước 01/07/2025): Quận Gò Vấp\n- Cấp xã (trước 01/07/2025): phường 15, 16",- Thông tin sau sáp nhập 01/07/2025
2f4a1b62-2fa4-4ec7-acf2-39e35fbb9148,phường An Nhơn,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Thành phố Hồ Chí Minh\n- Cấp huyện (trước 01/07/2025): Quận Gò Vấp\n- Cấp xã (trước 01/07/2025): phường 5, 6",- Thông tin sau sáp nhập 01/07/2025
a65ffb8e-3a23-492f-ad93-ee99ead339a7,phường An Phú,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tỉnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thuận An\n- Cấp xã (trước 01/07/2025): phường Bình Chuẩn (một phần) và phường An Phú,- Thông tin sau sáp nhập 01/07/2025
d952029d-88dd-46e9-a1e7-9ba0ac4a1724,phường An Phú Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tỉnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Quận 12\n- Cấp xã (trước 01/07/2025): phường Thạnh Lộc và phường An Phú Đông,- Thông tin sau sáp nhập 01/07/2025
1426e5dc-7c20-4873-abdf-e73c2e533535,phường An Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Thành phố Hồ Chí Minh\n- Cấp huyện (trước 01/07/2025): Quận 5\n- Cấp xã (trước 01/07/2025): phường 5, phường 7 và phường 9",- Thông tin sau sáp nhập 01/07/2025
b013eed7-b0ba-41fe-bafc-cf2b165fb7e3,phường Bà Rịa,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Bà Rịa - Vũng Tàu\n- Cấp huyện (trước 01/07/2025): Thành phố Bà Rịa\n- Cấp xã (trước 01/07/2025): phường Phước Hưng, phường Phước Nguyên, phường Long Toàn và phường Phước Trung",- Thông tin sau sáp nhập 01/07/2025
2bfe37a4-d5c6-4405-a4ec-8d9daa1ab571,phường Bình Cơ,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tỉnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Tân Uyên và huyện Bắc Tân Uyên\n- Cấp xã (trước 01/07/2025): xã Bình Mỹ và phường Hội Nghĩa,- Thông tin sau sáp nhập 01/07/2025
fc10f3fb-8a68-49da-9f71-b83f1afe77fd,phường Bình Dương,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thủ Dầu Một và Thành phố Tân Uyên\n- Cấp xã (trước 01/07/2025): phường Hòa Phú, phường Phú Mỹ, phường Phú Tân và phường Phú Chánh",- Thông tin sau sáp nhập 01/07/2025
e5d383a3-586d-4d0a-8dc1-ff2e1ecfbb08,phường Bình Hòa,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tỉnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thuận An\n- Cấp xã (trước 01/07/2025): phường Bình Hòa và phường Vĩnh Phú (một phần),- Thông tin sau sáp nhập 01/07/2025
4257e450-85d5-482b-aa0f-d74c697efb58,phường Bình Lợi Trung,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Thành phố Hồ Chí Minh\n- Cấp huyện (trước 01/07/2025): Quận Bình Thạnh\n- Cấp xã (trước 01/07/2025): phường 5, 11, 13",- Thông tin sau sáp nhập 01/07/2025
a737adf5-5568-4a43-adc8-a747918ccb6b,phường Bình Quới,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Thành phố Hồ Chí Minh\n- Cấp huyện (trước 01/07/2025): Quận Bình Thạnh\n- Cấp xã (trước 01/07/2025): phường 27, 28",- Thông tin sau sáp nhập 01/07/2025
b3bdd057-cbb7-4a9a-827f-bb355ffeb449,phường Bình Thạnh,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Thành phố Hồ Chí Minh\n- Cấp huyện (trước 01/07/2025): Quận Bình Thạnh\n- Cấp xã (trước 01/07/2025): phường 12, 14, 26",- Thông tin sau sáp nhập 01/07/2025
d848ea3a-2dae-49a4-805a-9b0260596a56,phường Bảy Hiền,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Thành phố Hồ Chí Minh\n- Cấp huyện (trước 01/07/2025): Quận Tân Bình\n- Cấp xã (trước 01/07/2025): phường 10, 11, 12",- Thông tin sau sáp nhập 01/07/2025
33498956-9d1a-4323-9538-32229d3652a7,phường Bến Cát,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): huyện Bàu Bàng và Thành phố Bến Cát\n- Cấp xã (trước 01/07/2025): xã Tân Hưng, xã Lai Hưng và phường Mỹ Phước (một phần)",- Thông tin sau sáp nhập 01/07/2025
083b4cac-a8ee-4ee3-86b3-d0587f1971c0,phường Bến Thành,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Thành phố Hồ Chí Minh\n- Cấp huyện (trước 01/07/2025): Quận 1\n- Cấp xã (trước 01/07/2025): phường Bến Thành, phường Nguyễn Thái Bình (một phần), phường Phạm Ngũ Lão và phường Cầu Ông Lãnh (một phần)",- Thông tin sau sáp nhập 01/07/2025
ab591ee8-7428-41bd-a596-5a2cea985a05,phường Chánh Hiệp,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thủ Dầu Một\n- Cấp xã (trước 01/07/2025): phường Định Hòa, phường Hiệp An (một phần), phường Tương Bình Hiệp và phường Chánh Mỹ (một phần)",- Thông tin sau sáp nhập 01/07/2025
83726bc8-e73a-49db-b975-14a35f1ce113,phường Chánh Phú Hòa,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tỉnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): huyện Bàu Bàng và Thành phố Bến Cát\n- Cấp xã (trước 01/07/2025): xã Hưng Hòa và phường Chánh Phú Hòa,- Thông tin sau sáp nhập 01/07/2025
5f893a11-7e21-47df-9b49-cfd61bbefd73,phường Cầu Kiệu,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Thành phố Hồ Chí Minh\n- Cấp huyện (trước 01/07/2025): Quận Phú Nhuận\n- Cấp xã (trước 01/07/2025): phường 1, 2, 7, 15 (một phần)",- Thông tin sau sáp nhập 01/07/2025
f0b0f7cf-e12d-4912-9cea-af67cff39e78,phường Cầu Ông Lãnh,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Thành phố Hồ Chí Minh\n- Cấp huyện (trước 01/07/2025): Quận 1\n- Cấp xã (trước 01/07/2025): phường Cầu Ông Lãnh (một phần), phường Cô Giang, phường Nguyễn Cư Trinh và phường Cầu Kho",- Thông tin sau sáp nhập 01/07/2025
44142c20-0a42-4a8d-921e-afddd308c7c7,phường Dĩ An,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Dĩ An\n- Cấp xã (trước 01/07/2025): phường Dĩ An, phường Tân Đông Hiệp (một phần) và phường An Bình",- Thông tin sau sáp nhập 01/07/2025
0dd41925-cc4e-4464-bd25-8c05559df30b,phường Gia Định,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tỉnh (trước 01/07/2025): Thành phố Hồ Chí Minh\n- Cấp huyện (trước 01/07/2025): Quận Bình Thạnh\n- Cấp xã (trước 01/07/2025): phường 1, 2, 7, 17",- Thông tin sau sáp nhập 01/07/2025
