id,answer,question,desc,ref
e5ea1f76-8e76-4801-87e3-62ff8c931da0,"Bảo vệ dữ liệu khỏi truy cập, lạm dụng, tiết lộ, phá hủy hoặc gián đoạn trái phép.",Mục tiêu chung của các quy trình InfoSec là gì?,- Các quy trình này đảm bảo nguyên tắc CIA (Confidentiality – Integrity – Availability).,
e4c56bd8-4af9-4698-a6f0-12549d63fed6,"Cung cấp khung quản lý và bảo vệ hiệu quả thông tin nhạy cảm, hướng dẫn xây dựng chính sách và kiểm soát bảo mật.",Nguyên tắc nền tảng của InfoSec nhằm mục đích gì?,"- Là “kim chỉ nam” giúp tổ chức thiết kế, vận hành và đánh giá các biện pháp an ninh.",
d53e32e1-f9e4-4501-ae90-b762a8f2479c,"Quy trình phản ứng với sự cố bảo mật nhằm kiểm soát, giảm thiểu và khắc phục hậu quả.",Incident Response là gì?,"- Gồm các bước cô lập, loại bỏ, phục hồi và học hỏi sau sự cố.",
3e3a9e93-7082-48b0-9cfe-15f64b811da0,Quá trình khôi phục hệ thống và dữ liệu sau sự cố lớn.,Disaster Recovery là gì?,- Nhằm giảm thiểu thời gian ngừng hoạt động và mất mát dữ liệu.,
a440659b-2fe8-4f8d-a572-cb4ddbf44d7e,"Quá trình xác định, đánh giá mối đe dọa và lỗ hổng để xác định mức độ rủi ro.",Risk Assessment là gì?,- Giúp ưu tiên nỗ lực bảo mật và phân bổ tài nguyên hợp lý.,
ac1ec625-af53-4ac5-a3f9-fcfc10aa7947,"Quản lý và bảo vệ thông tin cá nhân nhạy cảm, tuân thủ quy định bảo vệ dữ liệu.",Privacy (Quyền riêng tư) trong InfoSec tập trung vào điều gì?,- Thực thi qua tối thiểu hóa dữ liệu và quản lý sự đồng ý của người dùng.,
013c45c4-a2f3-44b3-9aed-ac7e8197a8d9,Theo dõi liên tục và phát hiện các sự kiện hoặc bất thường bảo mật.,Monitoring and Detection trong InfoSec có mục đích gì?,"- Dựa vào công cụ như SIEM, IDS, IPS để phát hiện sớm sự cố.",
968e04fc-ddf4-468a-bbf3-d4cd65be9ffb,"Triển khai kế hoạch bảo mật, thực thi các giải pháp kỹ thuật và chính sách.",Implementation of Security Controls là gì?,- Bao gồm kiểm soát phòng ngừa và phát hiện.,
9cc3759f-9c28-4621-9658-5d837694c593,"Xác minh danh tính của người dùng, thiết bị hoặc tiến trình.",Authentication (Xác thực) là gì?,"- Thường dùng mật khẩu, sinh trắc học, hoặc xác thực đa yếu tố (MFA).",
ff383b69-02f2-4693-9953-1449a59bd36d,"Xây dựng chiến lược, chính sách, và quy trình để giải quyết rủi ro đã xác định.",Security Planning là gì?,- Là giai đoạn định hướng trong quản lý bảo mật.,
dda483b2-1dd8-4e89-988e-689d9c8d6865,"Đánh giá, rút kinh nghiệm và cập nhật biện pháp bảo mật theo mối đe dọa mới.",Continuous Improvement trong InfoSec có nghĩa là gì?,"- Gồm đánh giá định kỳ, kiểm toán và cập nhật quy trình.",
03d30550-0407-43fb-9817-ec7f976143c3,"Đảm bảo dữ liệu chính xác và đầy đủ trong suốt vòng đời của nó, ngăn thay đổi trái phép.",Integrity (Tính toàn vẹn) là gì?,- Thực thi qua hashing và chữ ký số.,
ce2f8c18-802a-4d8c-aebd-3e2fd7d3fa64,Đảm bảo một bên không thể phủ nhận việc đã ký tài liệu hay gửi thông điệp.,Non-repudiation (Chống chối bỏ) là gì?,"- Rất quan trọng trong thương mại điện tử, dùng chữ ký số và log kiểm toán.",
2cd374ab-14c8-4de6-81a6-8109ed164679,Đảm bảo người dùng hợp pháp có thể truy cập thông tin khi cần.,Availability (Tính sẵn sàng) là gì?,- Duy trì qua cơ chế dự phòng và kế hoạch phục hồi thảm họa.,
79987ddc-4636-414e-8f4d-af5681c98e5b,"Đảm bảo thông tin chỉ có thể truy cập bởi người được phép, ngăn tiết lộ trái phép.",Confidentiality (Tính bảo mật) là gì?,- Thường được thực thi qua mã hóa và kiểm soát truy cập.,
