id,answer,question,desc,ref
085f3f6e-b9bc-40ce-b042-72e706a52287,Chief Information Security Officer (CISO).,Ai là người đứng đầu chương trình an ninh thông tin của tổ chức?,- Lãnh đạo cao nhất phụ trách chiến lược bảo mật.,
ab2ece15-5cd3-412d-9752-01d9cd591877,"Cung cấp dịch vụ hoặc ứng dụng cụ thể, ví dụ web server hiển thị nội dung website.",Vai trò của Servers trong InfoSec?,- Máy chủ là trung tâm xử lý và cung cấp tài nguyên.,
10b3f60c-28b9-4ede-90e5-e88111168108,Các giao thức bảo mật và kiểm soát truy cập (access control).,“Các vệ binh” trong lâu đài đại diện cho yếu tố nào của InfoSec?,Giám sát và xác thực người ra vào “lâu đài”.,
dd189bff-98cc-4749-b8dd-8d41d28d7d7e,"Các lớp bảo mật như firewall, mã hóa, và cơ chế phòng thủ.","Trong InfoSec, “Tường thành” trong lâu đài tượng trưng cho điều gì?",- Tầng phòng thủ đầu tiên chống xâm nhập.,
6c88688e-4862-4827-b799-7f7953945e03,Dữ liệu và thông tin quý giá của người dùng hoặc tổ chức.,"Trong InfoSec thuật ngữ “Lâu đài và kho báu”, “kho báu” đại diện cho điều gì?",- Minh họa giá trị của dữ liệu trong thế giới số.,
7a0c4970-54a9-455f-8372-0fb75dbd3083,"Giám sát hệ thống, phân tích dữ liệu an ninh và cải thiện theo kết quả kiểm thử.",Security Analyst làm gì?,- Người theo dõi và phân tích các dấu hiệu bất thường.,
3cad8788-ef91-4946-b8c6-94f4f34b9d64,"Họ phối hợp để xây dựng, kiểm thử, giám sát và duy trì an ninh tổng thể cho tổ chức.",Mối quan hệ giữa các vai trò trong InfoSec là gì?,- Mỗi vai trò là một mắt xích trong hệ thống bảo mật hoàn chỉnh.,
ffb217d3-e6b1-43c7-88f3-e20540ebe7cc,"Khi nhiều máy chủ hoặc máy tính kết nối và giao tiếp được với nhau, ta gọi đó là network (mạng).",Network là gì?,- Cơ sở hạ tầng cho giao tiếp và truyền dữ liệu.,
9a5e4812-2417-4d30-b489-57bbf488d327,"Khả năng xảy ra sự kiện gây hại cho tài sản của tổ chức, được đo bằng xác suất và mức độ ảnh hưởng.",Rủi ro (Risk) trong InfoSec là gì?,- Tổng hợp giữa mối đe dọa và điểm yếu.,
63c1596e-6e8a-4495-98e4-1a726c1ca7f8,Là chuyên gia tìm và khắc phục điểm yếu bảo mật trước khi hacker có thể khai thác.,Penetration Tester là ai?,- “Ethical hacker” – người kiểm thử xâm nhập hợp pháp.,
