id,answer,question,desc,ref
aff2ee9b-0e57-4616-b1d8-7e44221a036c,Address Resolution Protocol (ARP),Tên đầy đủ của giao thức mạng ARP là gì?,,
38a7e492-9dc0-4b79-be36-5b3f3ad83b6f,Border Gateway Protocol (BGP),Tên đầy đủ của giao thức mạng BGP là gì?,,
c604e6cb-2b0e-4c1c-825d-075ed6eb521c,Datagram Congestion Control Protocol (DDCP),Tên đầy đủ của giao thức mạng DCCP là gì?,,
4ad0c6b0-ad5a-4755-868e-cb3a79831345,Domain Name System (DNS),Tên đầy đủ của DNS (Hệ thống phân giải tên miền) là gì?,,
3b0e4958-2bfc-47ff-843a-ef48c171a5e5,Dynamic Host Configuration Protocol (DHCP),Tên đầy đủ của giao thức mạng DHCP là gì?,,
fdfd17ab-e588-4f49-b09f-94297f2791a9,Dynamic Host Configuration Protocol Version 6 (DHCPv6),Tên đầy đủ của giao thức mạng DHCPv6 là gì?,,
d30fa03d-f6a9-46bb-a5cb-3eeb574c02f4,Extensible Messaging and Presence Protocol (XMPP),Tên đầy đủ của giao thức mạng XMPP là gì?,,
2cab6862-795c-42b5-b9bf-118a5b7671dc,File Transfer Protocol (FTP),Tên đầy đủ của giao thức mạng FTP là gì?,,
4ccf7639-f46f-4341-9f7f-d79d33a65521,Hypertext Transfer Protocol (HTTP),Tên đầy đủ của giao thức mạng HTTP là gì?,,
a46dcf4e-d929-477f-a30a-e16973d35287,Hypertext Transfer Protocol Secure (HTTPS),Tên đầy đủ của giao thức mạng HTTPS là gì?,,
032436c0-757d-4b49-b1f9-f831c0bff7e2,Internet Control Message Protocol (ICMP),Tên đầy đủ của giao thức mạng ICMP là gì?,,
15f51eb9-462b-42e3-9e13-783da9c76aa0,Internet Control Message Protocol Version 6 (ICMPv6),Tên đầy đủ của giao thức mạng ICMPv6 là gì?,,
f1acbdb8-8934-44d0-a66c-b122bc12f5c5,Internet Group Management Protocol (IGMP),Tên đầy đủ của giao thức mạng IGMP là gì?,,
d3a98aa5-627e-4250-9a8a-6f669cb01910,Internet Message Access Protocol (IMAP),Tên đầy đủ của giao thức mạng IMAP là gì?,,
b889c132-1201-4e7b-8517-a55b4d033c25,Internet Printing Protocol (IPP),Tên đầy đủ của giao thức mạng IPP là gì?,,
850adf81-2291-4998-9290-b423248be790,Internet Protocol Version 4 (IPv4),Tên đầy đủ của địa chỉ IPv4 là gì?,,
ff6c50ca-8e6e-49a8-8444-a3e4039d5ac1,Internet Protocol Version 6 (IPv6),Tên đầy đủ của địa chỉ IPv6 là gì?,,
26c7bb49-e3b6-45b7-af84-fd0f6ece121b,Lightweight Directory Access Protocol (LDAP),Tên đầy đủ của giao thức mạng LDAP là gì?,,
c81d2691-eb9f-46d3-aeee-ff65369bf4a0,Media Access Control (MAC),Tên đầy đủ của địa chỉ MAC là gì?,,
791b0def-ba07-421f-85a5-0e0b5a073467,Media Gateway Control Protocol (MGCP),Tên đầy đủ của giao thức mạng MGCP là gì?,,
4798b3ce-12ac-4615-b048-f0c48c4c9816,Neighbor Discovery Procol (NDP),Tên đầy đủ của giao thức mạng NDP là gì?,,
9c8a5afc-53ab-4a43-9b54-f5d30753c479,Network News Transfer Protocol (NNTP),Tên đầy đủ của giao thức mạng NNTP là gì?,,
31d55941-3a9a-40ed-9afa-03edbe624832,Network Time Protocol (NTP),Tên đầy đủ của giao thức mạng NTP là gì?,,
e55a0cfe-5e68-46ca-9f2f-fd7bd6946c1d,Post Office Protocol (POP),Tên đầy đủ của giao thức mạng POP là gì?,,
3e2eed60-982a-4350-b6b3-bec06a07dbfd,Precision Time Protocol (PTP),Tên đầy đủ của giao thức mạng PTP là gì?,,
ae7dbfc1-eb4c-4c4d-a8c3-01c371499d25,Real-Time Streaming Protocol (RTSP),Tên đầy đủ của giao thức mạng RTSP là gì?,,
cbbe346c-39ed-443f-b5e1-0b7fdde62329,Real-time Transport Protocol (RTP),Tên đầy đủ của giao thức mạng RTP là gì?,,
3d66891e-22f7-4339-b636-68fb5eaf7e5e,Resource Reservation Protocol (RSVP),Tên đầy đủ của giao thức mạng RSVP là gì?,,
d05adaa6-ba6d-4677-9e6d-70b969ae94d4,Routing Information Protocol (RIP),Tên đầy đủ của giao thức mạng RIP là gì?,,
549217cf-b907-4b06-bf52-1b8432b081bc,Secure Shell Protocol (SSH),Tên đầy đủ của giao thức mạng SSH là gì?,,
2b3d9458-248e-45bf-82a0-88fb2139984f,Session Initiation Protocol (SIP),Tên đầy đủ của giao thức mạng SIP là gì?,,
bae58807-7a91-45d1-8a58-5ede7e314572,Simple Mail Transfer Protocol (SMTP),Tên đầy đủ của giao thức mạng SMTP là gì?,,
a48c5ce6-d570-43e6-87c1-4c719e78c8c4,Simple Network Management Protocol (SNMP),Tên đầy đủ của giao thức mạng SNMP là gì?,,
bb159be2-99cd-41ae-9bef-abba7d5b82b3,Stream Control Transmission Protocol (SCTP),Tên đầy đủ của giao thức mạng SCTP là gì?,,
7eb56594-c626-4aa3-bebe-915e2f65983f,Telnet,Tên đầy đủ của giao thức mạng Telnet là gì?,,
061db17a-4ea3-40e9-a848-4018b89d4800,Transmission Control Protocol (TCP),Tên đầy đủ của giao thức mạng TCP là gì?,,
80fe587a-1068-4065-ac44-cb2975f090e0,User Datagram Protocol (UDP),Tên đầy đủ của giao thức mạng UDP là gì?,,
