id,answer,question,desc,ref
dee8901e-d0a5-4368-a52c-10888fd1615f,Firewall/IDS Evasion and Spoofing {BRIGHT_CYAN}(Né tường lửa/hệ thống phát hiện xâm nhập và giả mạo),{BRIGHT_GREEN}--badsum{RESET} thuộc nhóm options chính nào trong Network Mapper (Nmap)?,,
99bdd47a-9bfb-40b5-9078-5d1cbe09ce09,Firewall/IDS Evasion and Spoofing {BRIGHT_CYAN}(Né tường lửa/hệ thống phát hiện xâm nhập và giả mạo),{BRIGHT_GREEN}--data {BRIGHT_CYAN}<hex string>{RESET} thuộc nhóm options chính nào trong Network Mapper (Nmap)?,,
8bb61925-6626-449c-8028-cc230c735a8b,Firewall/IDS Evasion and Spoofing {BRIGHT_CYAN}(Né tường lửa/hệ thống phát hiện xâm nhập và giả mạo),{BRIGHT_GREEN}--data-len {BRIGHT_CYAN}<num>{RESET} thuộc nhóm options chính nào trong Network Mapper (Nmap)?,,
42cc5d52-dfb9-42c0-9cec-1b9c2456419a,Firewall/IDS Evasion and Spoofing {BRIGHT_CYAN}(Né tường lửa/hệ thống phát hiện xâm nhập và giả mạo),{BRIGHT_GREEN}--data-string {BRIGHT_CYAN}<string>{RESET} thuộc nhóm options chính nào trong Network Mapper (Nmap)?,,
9b4d8be0-5f06-4578-82bf-b530d86995ac,Firewall/IDS Evasion and Spoofing {BRIGHT_CYAN}(Né tường lửa/hệ thống phát hiện xâm nhập và giả mạo),{BRIGHT_GREEN}--ip-options {BRIGHT_CYAN}<options>{RESET} thuộc nhóm options chính nào trong Network Mapper (Nmap)?,,
ef020ac3-0f55-441c-a5f3-ceeace5ae26a,Firewall/IDS Evasion and Spoofing {BRIGHT_CYAN}(Né tường lửa/hệ thống phát hiện xâm nhập và giả mạo),{BRIGHT_GREEN}--mtu {BRIGHT_CYAN}<value>{RESET} thuộc nhóm options chính nào trong Network Mapper (Nmap)?,,
94dc1c3a-9921-4712-90e0-641a139e009e,Firewall/IDS Evasion and Spoofing {BRIGHT_CYAN}(Né tường lửa/hệ thống phát hiện xâm nhập và giả mạo),"{BRIGHT_GREEN}--proxies {BRIGHT_CYAN}<url1,[url2],...>{RESET} thuộc nhóm options chính nào trong Network Mapper (Nmap)?",,
a42a2e1e-cea0-4329-8f4a-a6ef04c5eef3,Firewall/IDS Evasion and Spoofing {BRIGHT_CYAN}(Né tường lửa/hệ thống phát hiện xâm nhập và giả mạo),{BRIGHT_GREEN}--source-port {BRIGHT_CYAN}<portnum>{RESET} thuộc nhóm options chính nào trong Network Mapper (Nmap)?,,
b86f045d-4fd0-4388-889a-335019e6249f,Firewall/IDS Evasion and Spoofing {BRIGHT_CYAN}(Né tường lửa/hệ thống phát hiện xâm nhập và giả mạo),{BRIGHT_GREEN}--spoof-mac {BRIGHT_CYAN}<mac address/prefix/vendor name>{RESET} thuộc nhóm options chính nào trong Network Mapper (Nmap)?,,
509ef66c-0307-4062-a8b1-54f82d18b962,Firewall/IDS Evasion and Spoofing {BRIGHT_CYAN}(Né tường lửa/hệ thống phát hiện xâm nhập và giả mạo),{BRIGHT_GREEN}--ttl {BRIGHT_CYAN}<value>{RESET} thuộc nhóm options chính nào trong Network Mapper (Nmap)?,,
