id,answer,question,desc,ref
e6d35c0f-54fa-4fb8-8632-190fb45b0ee5,Adjust delay between probes {BRIGHT_CYAN}(Điều chỉnh độ trễ giữa các probe),Cái nào là mô tả {BRIGHT_GREEN}--max-scan-delay {BRIGHT_CYAN}<time>{RESET} trong Network Mapped (Nmap)?,,
4672f449-dd29-48d4-ad4c-9e2fa3c229ca,Adjust delay between probes {BRIGHT_CYAN}(Điều chỉnh độ trễ giữa các probe),Cái nào là mô tả {BRIGHT_GREEN}--scan-delay {BRIGHT_CYAN}<time>{RESET} trong Network Mapped (Nmap)?,,
1c75a1f7-d9be-4d5e-9b65-9d4368b18b85,Always resolve DNS resolution {BRIGHT_CYAN}(Luôn phân giải DNS),Cái nào là mô tả {BRIGHT_GREEN}-R{RESET} trong Network Mapped (Nmap)?,,
97ec3500-897e-4396-8bd3-0cc45347c1f6,Caps number of port scan probe retransmissions {BRIGHT_CYAN}(Giới hạn số lần truyền lại probe quét cổng),Cái nào là mô tả {BRIGHT_GREEN}--max-retries {BRIGHT_CYAN}<tries>{RESET} trong Network Mapped (Nmap)?,,
ebdbf29c-27dd-4f67-ad31-d1fc18416d45,Choose random targets {BRIGHT_CYAN}(Chọn mục tiêu ngẫu nhiên),Cái nào là mô tả {BRIGHT_GREEN}-iR {BRIGHT_CYAN}<num hosts>{RESET} trong Network Mapped (Nmap)?,,
854fc702-bbbd-4a80-a8d5-bfb594107c48,Customize TCP scan flags {BRIGHT_CYAN}(Tùy chỉnh các cờ TCP cho quét),Cái nào là mô tả {BRIGHT_GREEN}--scanflags {BRIGHT_CYAN}<flags>{RESET} trong Network Mapped (Nmap)?,,
bbd6fd6c-5ab1-4822-b7cb-7d1642b207bf,"Directories, script-files or script-categories {BRIGHT_CYAN}(Thư mục, file script hoặc danh mục script; phân tách bằng dấu phẩy)",Cái nào là mô tả {BRIGHT_GREEN}--script={BRIGHT_CYAN}<Lua scripts>{RESET} trong Network Mapped (Nmap)?,,
f9afe451-db9d-4a55-97c3-72a3a2c61d84,Enable OS detection {BRIGHT_CYAN}(Bật phát hiện hệ điều hành),Cái nào là mô tả {BRIGHT_GREEN}-O{RESET} trong Network Mapped (Nmap)?,,
aabfca80-a37d-4e40-ae0b-1da603a3f885,Equivalent to --script=default {BRIGHT_CYAN}(Tương đương --script=default),Cái nào là mô tả {BRIGHT_GREEN}-sC{RESET} trong Network Mapped (Nmap)?,,
9e2178dd-5c99-4abd-82f0-954537f9699c,Exclude hosts/networks {BRIGHT_CYAN}(Loại trừ hosts/mạng),"Cái nào là mô tả {BRIGHT_GREEN}--exclude {BRIGHT_CYAN}<host1[,host2][,host3],...>{RESET} trong Network Mapped (Nmap)?",,
e5b30701-ee60-4fb9-94f3-3ab55d48fe4a,Exclude list from file {BRIGHT_CYAN}(Danh sách loại trừ từ file),Cái nào là mô tả {BRIGHT_GREEN}--excludefile {BRIGHT_CYAN}<exclude_file>{RESET} trong Network Mapped (Nmap)?,,
3b8634eb-9efe-4387-81e3-dddbe2d5b898,Exclude the specified ports from scanning {BRIGHT_CYAN}(Loại trừ các cổng được chỉ định khỏi việc quét),Cái nào là mô tả {BRIGHT_GREEN}--exclude-ports {BRIGHT_CYAN}<port ranges>{RESET} trong Network Mapped (Nmap)?,,
e2ff4dda-5ad2-4fac-8d98-dbdb1be2a60e,Fast mode — Scan fewer ports than the default {BRIGHT_CYAN}(Chế độ nhanh — quét ít cổng hơn mặc định),Cái nào là mô tả {BRIGHT_GREEN}-F{RESET} trong Network Mapped (Nmap)?,,
ee624b16-0a9b-433b-a3eb-eac2917643a0,FTP bounce scan {BRIGHT_CYAN}(Quét bằng relay FTP),Cái nào là mô tả {BRIGHT_GREEN}-b {BRIGHT_CYAN}<FTP relay host>{RESET} trong Network Mapped (Nmap)?,,
0ff52320-76d6-4b23-9e8a-d38b66045305,Give up on target after this long {BRIGHT_CYAN}(Bỏ mục tiêu sau thời gian này),Cái nào là mô tả {BRIGHT_GREEN}--host-timeout {BRIGHT_CYAN}<time>{RESET} trong Network Mapped (Nmap)?,,
4592c835-88dc-47de-8b87-98b0f57748c1,Guess OS more aggressively {BRIGHT_CYAN}(Dự đoán OS mạnh mẽ hơn),Cái nào là mô tả {BRIGHT_GREEN}--osscan-guess{RESET} trong Network Mapped (Nmap)?,,
905ac014-d7c8-4de1-9f9f-b5e813da2af8,ICMP echo discovery probes {BRIGHT_CYAN}(Gửi probe phát hiện ICMP echo),Cái nào là mô tả {BRIGHT_GREEN}-PE{RESET} trong Network Mapped (Nmap)?,,
21df3886-faa8-41d6-b846-190b0ddc7916,Idle scan {BRIGHT_CYAN}(Quét thụ động qua zombie host),Cái nào là mô tả {BRIGHT_GREEN}-sI {BRIGHT_CYAN}<zombie host[:probeport]>{RESET} trong Network Mapped (Nmap)?,,
3d4fdb80-317b-49d7-b23b-462286b41823,Input from list of hosts/networks {BRIGHT_CYAN}(Nhập từ danh sách hosts/mạng),Cái nào là mô tả {BRIGHT_GREEN}-iL {BRIGHT_CYAN}<inputfilename>{RESET} trong Network Mapped (Nmap)?,,
9e5d6c62-1d5f-4057-97ed-faac82f7a764,IP Protocol Ping {BRIGHT_CYAN}(Ping theo giao thức IP),Cái nào là mô tả {BRIGHT_GREEN}-PO{BRIGHT_CYAN} [protocol list]{RESET} trong Network Mapped (Nmap)?,,
0f9181d7-3841-45c2-9889-d4e2969fea9b,Limit OS detection to promising targets {BRIGHT_CYAN}(Giới hạn phát hiện OS cho các mục tiêu hứa hẹn),Cái nào là mô tả {BRIGHT_GREEN}--osscan-limit{RESET} trong Network Mapped (Nmap)?,,
c099f143-df21-4fbc-9b0f-f02149c5754e,Limit to most likely probes (intensity 2) {BRIGHT_CYAN}(Giới hạn vào các probe khả dĩ nhất (cường độ 2)),Cái nào là mô tả {BRIGHT_GREEN}--version-light{RESET} trong Network Mapped (Nmap)?,,
d6dc6340-4e78-4f02-9a20-56ce7e1c9bf4,List Scan - simply list targets to scan {BRIGHT_CYAN}(Liệt kê mục tiêu — chỉ liệt kê các mục tiêu để quét),Cái nào là mô tả {BRIGHT_GREEN}-sL{RESET} trong Network Mapped (Nmap)?,,
