id,answer,question,desc,ref
e50d3aba-8e1c-432f-93ef-f0297bcdb165,-sA,"Khi thực hiện quét Nmap đối với một máy chủ, Paola xác định có tồn tại một tường lửa. Trong nỗ lực xác định xem tường lửa đó là có trạng thái (stateful) hay phi trạng thái (stateless), tùy chọn nào sau đây là tốt nhất để sử dụng?",- Quét ACK (-sA) được thiết kế để vượt qua tường lửa và xác định các quy tắc của nó. Phản hồi ACK giúp chuyên gia kiểm thử suy luận liệu tường lửa có theo dõi trạng thái kết nối (stateful) hay không.,
35ad1294-a96c-48b6-8c66-7ea1803829d5,[related:],Toán tử tìm kiếm nâng cao nào sau đây của Google giúp kẻ tấn công thu thập thông tin về các trang web tương tự với một URL mục tiêu được chỉ định?,- [related:]: Toán tử tìm kiếm nâng cao của Google để tìm các trang web có nội dung hoặc mục đích tương tự với URL đã cho.,
88ef30d9-9449-439f-9b13-266be6230dbc,Advanced persistent threat,"John, một hacker chuyên nghiệp, thực hiện một cuộc tấn công mạng vào một tổ chức nổi tiếng và giành được quyền truy cập trái phép vào mạng mục tiêu. Anh ta duy trì sự hiện diện trong mạng trong một thời gian dài mà không bị phát hiện và thu thập thông tin nhạy cảm mà không phá hoại tổ chức. Kỹ thuật tấn công nào sau đây được John sử dụng?",- APT (Advanced persistent threat - Mối đe dọa dai dẳng nâng cao): Một cuộc tấn công mạng trong đó kẻ tấn công xâm nhập vào mạng và duy trì sự hiện diện không bị phát hiện trong thời gian dài để ăn cắp dữ liệu.,
fd5024e0-b5c1-49ad-bf1e-55458cdefdb3,Bluto,"Gerard, một cựu nhân viên bất mãn của Sunglass IT Solutions, nhắm mục tiêu vào tổ chức này để thực hiện các cuộc tấn công tinh vi và làm suy giảm danh tiếng của họ trên thị trường. Để khởi động quá trình tấn công, anh ta đã thực hiện DNS footprinting để thu thập thông tin về các máy chủ DNS và xác định các máy chủ được kết nối trong mạng mục tiêu. Anh ta đã sử dụng một công cụ tự động có thể truy xuất thông tin về dữ liệu vùng DNS bao gồm tên miền DNS, tên máy tính, địa chỉ IP, bản ghi DNS và bản ghi Whois mạng. Sau đó, anh ta khai thác thông tin này để tiến hành các cuộc tấn công tinh vi khác. Công cụ nào được Gerard sử dụng trong kịch bản trên?","- Bluto: Một công cụ nổi tiếng được sử dụng trong việc trích xuất và in dữ liệu DNS (DNS footprinting), bao gồm cả việc chuyển giao vùng (Zone Transfer).",
5ff938bf-2357-42e2-bfec-517d722acb46,Buffer overflow,John đang điều tra nhật ký tường lửa ứng dụng web và quan sát thấy ai đó đang cố gắng chèn nội dung sau:\n\tchar buff[10];\n\tbuff[10] = 'a';\nĐây là loại tấn công nào?,"- Buffer overflow: Một lỗ hổng bảo mật xảy ra khi một chương trình ghi nhiều dữ liệu vào một khối bộ nhớ cố định (buffer) hơn mức nó được cấp phát, làm tràn dữ liệu sang các vùng bộ nhớ lân cận.",
19d71b8b-fec8-4ccc-8aff-790e69936043,Evil-twin attack,Một kẻ tấn công sử dụng Wi-Fi Pineapple để chạy một điểm truy cập (access point) với SSID trông giống hợp pháp của một doanh nghiệp gần đó nhằm mục đích lấy mật khẩu không dây. Đây là loại tấn công nào?,Evil-twin attack (Tấn công Evil-twin): Là một điểm truy cập Wi-Fi giả mạo được tạo ra để mô phỏng một điểm truy cập hợp pháp.,
9960529d-e409-4823-beab-c199d8a4aad3,Host-based assessment,"Janet, một nhân viên mới gia nhập, được phân công sử dụng một hệ thống đã được dùng bởi một nhân viên trước đó. Trước khi cấp phát hệ thống cho Janet, Martin, quản trị viên, đã đánh giá nó. Martin nhận thấy có khả năng bị xâm phạm thông qua các thư mục người dùng, registry và các tham số hệ thống khác. Anh ta cũng xác định các lỗ hổng như bảng cấu hình gốc, quyền registry hoặc tệp không chính xác, và lỗi cấu hình phần mềm. Loại đánh giá lỗ hổng nào đã được Martin thực hiện?","- Host-based assessment (Đánh giá dựa trên máy chủ): Việc kiểm tra các thành phần bên trong một máy tính cá nhân như thư mục, registry và quyền truy cập là đặc trưng của đánh giá dựa trên máy chủ/Host-based.",
f3daccd7-ba0b-43f2-8621-bc618e10d27d,Inference-based assessment,"Một tổ chức đang thực hiện đánh giá lỗ hổng để giảm thiểu các mối đe dọa. James, một chuyên gia kiểm thử, đã quét tổ chức bằng cách xây dựng một danh sách các giao thức được tìm thấy trên các máy của tổ chức để phát hiện cổng nào được gắn với các dịch vụ (như email, web, hoặc cơ sở dữ liệu). Sau khi xác định các dịch vụ, anh ta chọn các lỗ hổng trên mỗi máy và bắt đầu chỉ thực hiện các bài kiểm tra có liên quan. Loại giải pháp đánh giá lỗ hổng nào đã được James áp dụng trong kịch bản trên?","- Inference-based assessment (Đánh giá dựa trên suy luận): Hệ thống quét sử dụng thông tin thu thập được về dịch vụ đang chạy để suy luận ra những lỗ hổng có thể có và chỉ thực hiện các bài kiểm tra mục tiêu, giúp tiết kiệm thời gian và giảm thiểu rủi ro.",
01d81859-a909-48b2-a393-437b41af2ef8,Initial intrusion,"Harry, một hacker chuyên nghiệp, nhắm mục tiêu vào cơ sở hạ tầng CNTT của một tổ chức. Sau khi chuẩn bị cho cuộc tấn công, anh ta cố gắng xâm nhập vào mạng mục tiêu bằng các kỹ thuật như gửi email spear-phishing và khai thác lỗ hổng trên các máy chủ có sẵn công khai. Sử dụng các kỹ thuật này, anh ta đã triển khai thành công phần mềm độc hại trên hệ thống mục tiêu để thiết lập một kết nối đi (outbound connection). APT (Mối đe dọa dai dẳng nâng cao) giai đoạn nào mà Harry đang thực hiện?",- Initial intrusion (Xâm nhập ban đầu): Giai đoạn Xâm nhập ban đầu là lúc kẻ tấn công thực hiện bước đầu tiên để giành quyền truy cập vào mạng.,
2d2d2be0-ad30-44e0-81c2-94a533702435,netcat,"Tony là một chuyên gia kiểm thử xâm nhập (penetration tester) được giao nhiệm vụ thực hiện một bài kiểm tra. Sau khi có được quyền truy cập ban đầu vào một hệ thống mục tiêu, anh ta tìm thấy một danh sách các mật khẩu đã được băm (hashed passwords). Công cụ nào sau đây sẽ không hữu ích cho việc bẻ khóa các mật khẩu đã băm?","- netcat: Một công cụ dòng lệnh được mệnh danh là ""dao quân đội Thụy Sĩ"" cho mạng, được sử dụng để đọc/ghi dữ liệu qua kết nối mạng, không phải để bẻ khóa mật khẩu băm.",
7570bbbf-c856-4a14-a5e3-37d27532cd03,nmap -sT -O -T0,Bạn đang cố gắng chạy quét cổng Nmap trên một máy chủ web. Lệnh nào sau đây sẽ dẫn đến việc quét các cổng phổ biến với ít tiếng ồn nhất để né tránh IDS (Hệ thống phát hiện xâm nhập)?,"- nmap -sT -O -T0:\n\t+ -sT: Quét TCP Connect (ít bí mật hơn -sS nhưng đôi khi hiệu quả hơn).\n\t+ -O: Bật tính năng phát hiện hệ điều hành (OS detection).\n\t+ -T0: Chế độ Paranoid (Rất chậm), giúp tránh bị IDS/IPS phát hiện bằng cách gửi các gói tin chậm rãi và nối tiếp nhau.",
54d0dad0-f942-4a0f-a4e8-43e13d1d1fb2,php.ini,"Những tệp phổ biến nào trên máy chủ web có thể bị cấu hình sai và cung cấp thông tin hữu ích cho hacker, chẳng hạn như các thông báo lỗi dài dòng (verbose error messages)?",- php.ini: Tệp cấu hình mặc định được sử dụng để điều khiển nhiều khía cạnh của PHP. Việc cấu hình sai (ví dụ: bật chế độ hiển thị lỗi) có thể rò rỉ thông tin nhạy cảm cho kẻ tấn công.,
d6e64a4c-f9cc-41ee-a7c9-7c02cc960974,RIPE,"Becky được một khách hàng từ Dubai thuê để thực hiện kiểm thử xâm nhập đối với một trong các văn phòng từ xa của họ. Làm việc từ Columbus, Ohio, Becky chạy các đợt quét trinh sát thông thường. Khi phân tích kết quả tìm kiếm Whois, Becky nhận thấy IP đã được cấp phát cho một địa điểm ở Le Havre, Pháp. Becky nên tìm đến Cơ quan đăng ký Internet khu vực (RIR) nào để có thông tin chi tiết?",- Pháp thuộc khu vực dịch vụ của RIPE NCC.,
4efa2b76-2f63-497d-a5b0-0193fad91566,STP attack,"Robin, một hacker chuyên nghiệp, cắm một switch giả mạo (rogue switch) vào một cổng không sử dụng trong mạng LAN với mức độ ưu tiên thấp hơn bất kỳ switch nào khác trong mạng để anh ta có thể biến nó thành root bridge (cầu gốc), điều này sau đó sẽ cho phép anh ta nghe lén tất cả lưu lượng truy cập trong mạng. Cuộc tấn công nào được Robin thực hiện trong kịch bản trên?",- STP attack (Tấn công STP): Giao thức STP (Spanning Tree Protocol) được dùng để ngăn vòng lặp mạng. Tấn công STP lợi dụng cơ chế bầu chọn root bridge để định tuyến toàn bộ lưu lượng qua thiết bị của kẻ tấn công.),
9e100303-b09c-444a-a468-b9e9d34b6291,Triple Data Encryption Standard,"Trong dạng thuật toán mã hóa này, mỗi khối dữ liệu cá nhân chứa 64 bit dữ liệu và sử dụng ba khóa, trong đó mỗi khóa bao gồm 56 bit. Đây là thuật toán mã hóa nào?","3DES (Triple Data Encryption Standard): Một thuật toán mã hóa khối (block cipher) sử dụng ba lần thuật toán DES. Nó xử lý các khối 64-bit và sử dụng ba khóa độc lập, mỗi khóa 56-bit (tổng cộng 168 bit khóa).",
360f76b6-3217-4040-979f-3a7cc8f71cde,Weaponization,Bạn là một chuyên gia kiểm thử xâm nhập đang làm việc để kiểm tra nhận thức của nhân viên khách hàng XYZ. Bạn đã thu thập được email của hai nhân viên từ một số nguồn công khai và đang tạo một cửa hậu phía máy khách (client-side backdoor) để gửi cho các nhân viên qua email. Bạn đang ở giai đoạn nào của chuỗi tiêu diệt mạng (cyber kill chain)?,"- Weaponization (Vũ khí hóa): Giai đoạn trong chuỗi tiêu diệt mạng, nơi kẻ tấn công kết hợp một khai thác (exploit) với một cửa hậu/mã độc (payload) thành một ""vũ khí"" có thể gửi đi (ví dụ: một tệp PDF bị nhiễm mã độc, hoặc một backdoor được gửi qua email).",
5352e453-0eb4-49bc-84b3-3850c35f76c0,Web-Stat,"Taylor, một chuyên gia bảo mật, sử dụng một công cụ để giám sát trang web của công ty, phân tích lưu lượng truy cập của trang web và theo dõi vị trí địa lý của người dùng truy cập trang web của công ty. Công cụ nào sau đây được Taylor sử dụng trong kịch bản trên?",- Web-Stat là một dịch vụ phân tích web và theo dõi khách truy cập.,
