id,answer,question,desc,ref
e8c3aaaa-0636-4af9-8288-00e192da9f05,5,Hacking (Tấn công mạng) gồm bao nhiêu giai đoạn chính trong mô hình CEH?,"5 giai đoạn gồm: Reconnaissance, Scanning, Gaining Access, Maintaining Access, và Covering Tracks.",
f47f8a19-32ed-4230-96f8-f88827c0fa86,Biết một phần thông tin về hệ thống,Grey Box Testing (Kiểm thử hộp xám) có đặc điểm gì?,- Grey Box Testing kết hợp giữa hai phương pháp White Box và Black Box – thường được dùng khi hacker có thông tin hạn chế.,
bed6d161-eb4d-4d79-bacf-193df1935cc1,Chỉ thực hiện trong phạm vi được phép,Ethical Hacker (Tin tặc có đạo đức) phải tuân theo quy tắc nào khi tiến hành thử nghiệm?,- Mọi hoạt động Ethical Hacking chỉ hợp pháp khi nằm trong phạm vi được ủy quyền rõ ràng trong hợp đồng hoặc văn bản.,
39e24fc8-1737-4125-af3b-20c6b79409ba,"Chỉ xác định lỗ hổng, không khai thác",Vulnerability Assessment (Đánh giá lỗ hổng) khác Penetration Test (Kiểm thử xâm nhập) ở điểm nào?,"- Vulnerability Assessment tập trung vào phát hiện và phân loại lỗ hổng, không thực hiện khai thác thực tế.",
9951d725-0073-49f7-a55f-be7e7611dc2f,"Confidentiality (Bảo mật), Integrity (Toàn vẹn), Availability (Sẵn sàng)",CIA Triad (Bộ ba nguyên tắc CIA) trong bảo mật gồm những yếu tố nào?,"- CIA Triad là khung cốt lõi của bảo mật thông tin — bảo đảm dữ liệu bí mật, toàn vẹn và sẵn sàng khi cần thiết.",
d906ac18-52fe-4909-8f7f-55b73d06d8a9,Có phạm vi giới hạn,Penetration Testing (Kiểm thử xâm nhập) khác Ethical Hacking ở điểm nào?,"- Penetration Test tập trung vào việc thử khai thác các lỗ hổng cụ thể, trong khi Ethical Hacking bao trùm cả quá trình phân tích và phòng thủ.",
75185956-8b51-42f9-be24-38586b78c2d1,Data Breach (Rò rỉ dữ liệu),Hành vi “dump” dữ liệu người dùng trái phép được gọi là gì?,- Data Breach xảy ra khi thông tin nhạy cảm bị truy cập hoặc tiết lộ trái phép – thường do hacker hoặc lỗi nội bộ.,
4b81fb84-de00-4fa9-9882-e39eadf5cec2,Duy trì truy cập trái phép mà không bị phát hiện,Rootkit (Bộ công cụ ẩn quyền) thường được dùng với mục đích gì?,"- Rootkit ẩn các tiến trình và tệp, cho phép hacker kiểm soát hệ thống ngầm trong thời gian dài.",
bd18fb46-be2f-4b04-9945-39596246e20e,EC-Council (International Council of E-Commerce Consultants),CEH (Certified Ethical Hacker - Chứng nhận Tin tặc có đạo đức) được phát triển bởi tổ chức nào?,- CEH là chứng chỉ của EC-Council (International Council of E-Commerce Consultants) – tổ chức hàng đầu đào tạo về an ninh mạng.,
d35661cf-486f-444c-b4d5-2767c82a4454,"Giám sát, phát hiện và ứng phó với sự cố an ninh",SOC (Security Operations Center - Trung tâm điều hành an ninh) thực hiện chức năng gì?,"- SOC là nơi tập trung các chuyên gia giám sát bảo mật 24/7, phân tích cảnh báo và xử lý sự cố.",
15708ad7-9100-4f2f-a7bb-4a6346520c16,Giả lập kẻ tấn công để kiểm tra khả năng phòng thủ,Mục tiêu của Red Team (Đội đỏ) là gì?,"- Red Team đóng vai kẻ tấn công trong bài diễn tập bảo mật, mô phỏng tình huống thực tế để đánh giá phản ứng của Blue Team.",
af4d43e9-b95d-4161-b7f6-11ee9d44b685,Giảm rủi ro và tăng khả năng phòng thủ,Mục tiêu chính của Ethical Hacking trong doanh nghiệp là gì?,"- Ethical Hacking giúp doanh nghiệp chủ động phát hiện điểm yếu, giảm thiểu thiệt hại và tăng niềm tin của khách hàng.",
7d05c1f4-347f-4073-b835-58f6853ae03f,Hacker Mindset (Tư duy tin tặc),Một Ethical Hacker cần có loại tư duy nào?,- Hacker Mindset giúp nhìn hệ thống theo hướng “ngược lại” – tìm ra cách mà kẻ tấn công sẽ khai thác điểm yếu.,
96f4979c-71d3-42bb-92b1-5d09a79c7b6f,Hacktivist (Tin tặc hoạt động chính trị),Một hacker tấn công vì lý tưởng chính trị được gọi là gì?,"- Hacktivist (Hacker + Activist) thường tấn công website hoặc hệ thống để truyền thông điệp chính trị, xã hội.",
d618ed1e-1011-4c16-b4a1-9447e8857126,"Hiểu cách tư duy, công cụ, kỹ thuật của hacker",CEH được thiết kế để giúp học giả đạt được điều gì?,- CEH trang bị tư duy “hack như hacker để phòng như chuyên gia bảo mật” – hiểu tấn công để phòng thủ hiệu quả.,
39b75d0c-3c37-4d1a-994c-50fa44e695e8,Hoạt động thử nghiệm bảo mật được ủy quyền,Ethical Hacking (Tấn công có đạo đức) là gì?,- Ethical Hacking là quá trình kiểm thử bảo mật có sự cho phép của tổ chức nhằm phát hiện và vá lỗ hổng trước khi tin tặc (Hacker - Kẻ tấn công) lợi dụng.,
7190ce86-61d1-46af-83d0-d57dadfc9bba,IDS (Intrusion Detection System - Hệ thống phát hiện xâm nhập),Một tổ chức muốn phát hiện sớm tấn công nên sử dụng công cụ nào?,- IDS theo dõi lưu lượng mạng và cảnh báo khi có hành vi bất thường gợi ý tấn công.,
9151826c-aa38-47ac-9926-5de438ebf832,Information Security Management System (Hệ thống quản lý an toàn thông tin),ISO 27001 là tiêu chuẩn quốc tế về gì?,"- ISO 27001 quy định yêu cầu để xây dựng, triển khai và duy trì hệ thống quản lý an toàn thông tin (ISMS).",
45333e3f-301e-4db9-99a6-d0b189339162,Khi không có sự cho phép bằng văn bản,Khi nào hoạt động Ethical Hacking trở thành bất hợp pháp?,"- Dù có ý tốt, mọi thử nghiệm mà không được phép rõ ràng bằng văn bản đều vi phạm pháp luật.",
442291ed-74c7-426c-8c29-64b4cb13f0e6,Khuyến khích chuyên gia tìm và báo cáo lỗi bảo mật,Bug Bounty (Chương trình săn lỗi) có mục tiêu gì?,- Bug Bounty là hình thức tổ chức trả tiền thưởng cho hacker có đạo đức khi họ phát hiện và báo cáo lỗ hổng hợp pháp.,
f234f561-b738-4cb5-af8d-a58af9086fd7,Không bao giờ phá hoại dữ liệu,Một trong các nguyên tắc đạo đức của Ethical Hacker (Tin tặc có đạo đức) là gì?,"- Ethical Hacker chỉ kiểm thử, không phá hoại dữ liệu hay gây gián đoạn dịch vụ – đó là khác biệt cốt lõi với Black Hat.",
9ef6de0f-5a93-4457-adfb-bdd567005c91,Khả năng code và scripting (Lập trình và viết kịch bản),Một trong những kỹ năng quan trọng nhất của Ethical Hacker là gì?,"- Ethical Hacker cần hiểu cách hoạt động của phần mềm và hệ thống, nên kỹ năng lập trình là nền tảng cho việc phát hiện và khai thác lỗ hổng.",
bbf11a6c-8a08-44e0-beb8-5a34468bac07,Kiểm thử có quyền truy cập đầy đủ mã nguồn và cấu trúc,White Box Testing (Kiểm thử hộp trắng) là gì?,- White Box Testing cho phép kiểm thử toàn diện dựa trên thông tin nội bộ hệ thống – thường dùng trong đánh giá nội bộ.,
f5641cea-eb32-46bd-8e63-2300f07299b8,Lưu trữ các exploit (mã khai thác) được công bố công khai,Exploit Database (Cơ sở dữ liệu khai thác) được dùng để làm gì?,"- Exploit Database là nguồn tài nguyên do Offensive Security quản lý, chứa các mã khai thác và PoC (Proof of Concept - Bằng chứng khái niệm).",
