id,answer,question,hint,desc
4a535ec2-7c2b-43ea-b0c0-87db5e1b7ee1,01/01,"Tết dương lịch diễn ra vào ngày, tháng nào?",,
61e4ab78-b25c-40ba-89a4-4df25510f36d,01/12,"Ngày thế giới phòng, chống AIDS (1988) diễn ra vào ngày, tháng nào?",,
4d9d2ff2-0621-4077-9aba-11d34f8e4371,03/01,"Ngày Lưu Trữ Việt Nam diễn ra vào ngày, tháng nào?",,
11a211c3-00ed-4cb5-9390-8ab907640ec2,03/01,"Ngày sinh đại thi hào Nguyễn Du là ngày, tháng nào?",,
3f9a401d-62d7-40ed-bc76-eae702dd5934,03/12,"Ngày quốc tế người khuyết tật (1992) diễn ra vào ngày, tháng nào?",,
b128164f-b8c0-41e3-99b5-1c39688b114e,04/01,"Lễ hội Đống Đa - Tây Sơn (Gia Lai - Bình Định cũ) bắt đầu diễn ra vào ngày, tháng nào?",,- {BRIGHT_RED}Lưu ý{RESET}: Đây là lịch âm
b041d50b-a889-462f-96f4-f5ecb512a728,05/01,"Lễ hội gò Đống Đa (Hà Nội) bắt đầu diễn ra vào ngày, tháng nào?",,- {BRIGHT_RED}Lưu ý{RESET}: Đây là lịch âm
360e5b24-088e-4db3-b556-4e23f721dc91,05/01,"Lễ hội Đống Đa - Tây Sơn (Gia Lai - Bình Định cũ) kết thúc diễn ra vào ngày, tháng nào?",,- {BRIGHT_RED}Lưu ý{RESET}: Đây là lịch âm
a94bcdad-bf58-4437-b2b1-da1f0aeef7b4,05/01,"Ngày truyền thống ngành nội chính Đảng (1966) diễn ra vào ngày, tháng nào?",,
5383c0cc-81ba-464c-bf9b-5fe4bd7f5548,06/01,"Ngày Tồng tuyển cử bầu Quốc Hội khóa đầu tiên của nước Việt Nam Dân Chủ Cộng Hòa (1946) diễn ra vào ngày, tháng nào?",,
37117a5f-fda7-4026-bd2e-25cb11a8cd9a,06/12,"Ngày thành lập Hội Cựu Chiến Binh Việt Nam (1989) diễn ra vào ngày, tháng nào?",,
6646aefb-26ba-4d5c-a9ae-f2ec6a6366aa,08/01,"Lễ hội Chùa Đậu (Hà Nội) bắt đầu diễn ra vào ngày, tháng nào?",,- {BRIGHT_RED}Lưu ý{RESET}: Đây là lịch âm
9257e8b5-a80b-4906-8abc-31f610f7997a,09/01,"Ngày học sinh, sinh viên Việt Nam (1950) diễn ra vào ngày, tháng nào?",,
7a1947dd-2b8c-45fc-acb6-7fad001c5696,09/12,"Tháng Giêng năm Ất Hợi (1815) vua Gia Long quyết định: 'sai bọn Phạm Quang Ánh thuộc đội Hoàng Sa ra Hoàng Sa xem xét đo đạc thủy trình' ... diễn ra vào ngày, tháng nào?",,"- {BRIGHT_RED}Lưu ý{RESET}: Đây là lịch dương (9/12/1815) \n- Trích từ Đại Nam thực lục chính biên, đệ nhất kỷ, q.50, tờ 6a"
113a6543-93b0-4a42-8701-cd437e293d5a,10/01,"Lễ hội Chùa Đậu (Hà Nội) kết thúc diễn ra vào ngày, tháng nào?",,- {BRIGHT_RED}Lưu ý{RESET}: Đây là lịch âm
e6ef3a4d-d068-4d2f-ba08-1f8c12deee62,10/10,"Tết cơm mới diễn ra vào ngày, tháng nào?",,- {BRIGHT_RED}Lưu ý{RESET}: Đây là lịch âm\n- Tết cơm mới có tên gọi khác là tết trùng thập
5ea7bb59-7a13-4ae6-8c52-0e962de629f9,10/10,"Tết trùng thập diễn ra vào ngày, tháng nào?",,- {BRIGHT_RED}Lưu ý{RESET}: Đây là lịch âm\n- Tết trùng thập có tên gọi khác là tết cơm mới
462c3dab-e925-4b9d-a46a-09b874d9d5cd,10/12,"Ngày Nhân quyền Thế Giới (1950) diễn ra vào ngày, tháng nào?",,
84024d9b-4ab6-4327-a56d-bcef7da15b6e,10/12,"Ngày truyền thống ngành Mỹ thuật Việt Nam (1951) diễn ra vào ngày, tháng nào?",,
114bc5ae-d97c-4293-afcb-bf9a845ab886,11/01,"Ngày Việt Nam trở thành thành viên chính thức của Tổ chức Thương mại Thế Giới - WTO (2007) diễn ra vào ngày, tháng nào?",,
35cc00a1-0d4d-4f98-962a-a36d223ebeda,14/02,"Ngày lễ tình nhân (Valentine) diễn ra vào ngày, tháng nào?",,
3706eaf2-d38a-4105-b801-ea993cd0ca71,14/12,"Ngày truyền thống ngành Đo Đạc và Bản Đồ Việt Nam (1959) diễn ra vào ngày, tháng nào?",,
2a38cb1e-69d3-4b72-8879-b371f1465bab,15/01,"Ngày thành lập ngành Hàng không Dân dụng Việt Nam (1956) diễn ra vào ngày, tháng nào?",,
87627e5b-daa9-4e86-924d-1636a1082861,15/10,"Ngày Hội đua ghe ngo (Sóc Trăng) diễn ra vào ngày, tháng nào?",,- {BRIGHT_RED}Lưu ý{RESET}: Đây là lịch âm
38c1d343-7aa9-48b5-b555-20b9855b3db3,18/12,"Ngày truyền thống Thị trường bảo hiểm Việt Nam (1993) diễn ra vào ngày, tháng nào?",,
fe580f14-cb6d-4c3f-9f6c-2de0af13f384,19/12,"Ngày Toàn Quốc Kháng Chiến (1946) diễn ra vào ngày, tháng nào?",,
fac7da75-7c49-455a-8151-771a5196eaec,20/01,"Ngày Đo lường Việt Nam diễn ra vào ngày, tháng nào?",,
3574a72a-7b54-48c2-a6b5-3c7337961042,21/12,"Ngày truyền thống ngành Điện lực Việt Nam (1954) diễn ra vào ngày, tháng nào?",,
f5d16775-0e45-48f8-9c98-2c66cddae4c6,22/12,"Ngày Hội Quốc phòng Toàn dân (1989) diễn ra vào ngày, tháng nào?",,
47722eef-ae57-4d90-a97e-58e5da43b872,22/12,"Ngày thành lập Quân đội Nhân dân Việt Nam (1944) diễn ra vào ngày, tháng nào?",,
50465914-a1c9-4bb3-8acd-9b6b9a90d78b,23/11,"Ngày Di sản văn hóa Việt Nam (2005) diễn ra vào ngày, tháng nào?",,
0f772ede-b533-40c3-bc2f-57ad871df4ab,23/11,"Ngày Nam Kỳ Khởi Nghĩa (1940) diễn ra vào ngày, tháng nào?",,
707c057f-bd68-4e79-b388-fba5a8baa1c7,23/11,"Ngày thành lập Hội chữ thập đỏ Việt Nam (1946) diễn ra vào ngày, tháng nào?",,
4f0a4a06-0043-40a9-a9ff-9d058a214026,24/01,"Ngày Quốc tế Giáo dục diễn ra vào ngày, tháng nào?",,
9a946caf-a35b-4057-abdf-5205ad440a6d,25/12,"Lễ Neon diễn ra vào ngày, tháng nào?",,
42ee00f2-2de3-4ea7-98e6-c5b6e5da3527,26/12,"Ngày Dân số Việt Nam diễn ra vào ngày, tháng nào?",,
4114528c-bbe4-43c9-883e-e176e42eb8dc,27/01,"Ngày Quốc tế tưởng nhớ các nạn nhân của nạn diệt chủng Đức Quốc Xã diễn ra vào ngày, tháng nào?",,
c2f5cfc6-bf06-451b-b0eb-54cffa77ae54,27/11,"Ngày truyền thống ngành Dầu khí Việt Nam (1961) diễn ra vào ngày, tháng nào?",,
29fb887c-8083-4d6b-8df6-e4354e9ffdec,27/12,"Ngày quốc tế phòng, chống dịch bệnh diễn ra vào ngày, tháng nào?",,
2cf50b35-99ba-4640-a2bc-fba274f0e8ca,28/11,"Ngày lâm nghiệp Việt Nam (1959) diễn ra vào ngày, tháng nào?",,
23985406-9434-48a3-8181-9e8a5262c0b5,31/12,"Ngày truyền thống ngành Kế hoạch và Đầu tư (1945) diễn ra vào ngày, tháng nào?",,
