id,answer,question,desc,ref
782f18aa-3d80-4995-b67f-8f1376e24fae,"Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root, Group và User không có quyền.",Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}000 access.log{RESET} có tác dụng gì?,,
e7d81747-930e-4bc7-bbda-1bfc7e701d12,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có quyền thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}001 access.log{RESET} có tác dụng gì?,,
2b1a17b8-8de9-4e60-abaa-26e769f962de,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có quyền ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}002 access.log{RESET} có tác dụng gì?,,
3e6eae60-2af1-418e-8d03-f210442a7553,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có quyền ghi và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}003 access.log{RESET} có tác dụng gì?,,
9e891b23-26b8-437e-9ebd-731b73696f3a,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có quyền đọc.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}004 access.log{RESET} có tác dụng gì?,,
b31e3774-3f31-43d7-b8ad-c7710f29e3bf,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có quyền đọc và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}005 access.log{RESET} có tác dụng gì?,,
7c1edc24-9702-4b16-bf20-2b8f4e9ab834,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có quyền đọc và ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}006 access.log{RESET} có tác dụng gì?,,
77b5abd4-b8ca-4bc3-9c73-673cc202522a,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group không có quyền. User có tất cả quyền.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}007 access.log{RESET} có tác dụng gì?,,
3eb53fa2-8ed9-4029-82e3-d13f00e1f081,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group có quyền thực thi. User không có quyền.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}010 access.log{RESET} có tác dụng gì?,,
536e0b1b-3c05-46f9-bf2c-067197643c49,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group và User đều có quyền thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}011 access.log{RESET} có tác dụng gì?,,
dbc25a24-b441-4aa6-963a-fb4b24dc06d2,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group có quyền thực thi. User có quyền ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}012 access.log{RESET} có tác dụng gì?,,
77aa0d3a-39ae-44cd-8e42-8836d4f72531,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group có quyền thực thi. User có quyền ghi và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}013 access.log{RESET} có tác dụng gì?,,
c8039fa2-4e91-4ad4-91c6-22642213bc48,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group có quyền thực thi. User có quyền đọc.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}014 access.log{RESET} có tác dụng gì?,,
4f49a6c1-0089-4169-8e4e-007fcac69a67,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group có quyền thực thi. User có quyền đọc và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}015 access.log{RESET} có tác dụng gì?,,
511a79ea-b798-44d1-b0c8-226805a5e519,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group có quyền thực thi. User có quyền đọc và ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}016 access.log{RESET} có tác dụng gì?,,
89d4ce66-36e3-4772-8ad2-a7df8d60aae4,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root không có quyền. Group có quyền thực thi. User có tất cả quyền.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}017 access.log{RESET} có tác dụng gì?,,
94dda43f-f982-43c3-bc9e-eba02a6591a4,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và User đều có tất cả quyền. Group không có quyền.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}707 access.log{RESET} có tác dụng gì?,,
3cf83c7d-b359-4d29-ad0d-378701cedaf5,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và User đều có tất cả quyền. Group có quyền thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}717 access.log{RESET} có tác dụng gì?,,
05e5c7af-4749-4634-ba91-aa20350d9870,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và User đều có tất cả quyền. Group có quyền ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}727 access.log{RESET} có tác dụng gì?,,
29abdef4-344a-44bf-8381-c75541ba9070,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và User đều có tất cả quyền. Group có quyền ghi và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}737 access.log{RESET} có tác dụng gì?,,
7aeb34cd-e9de-458c-bc6c-08e8d158ed3a,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và User đều có tất cả quyền. Group có quyền đọc.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}747 access.log{RESET} có tác dụng gì?,,
d89b95d9-8476-4af1-b375-6c2fedba70e0,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root có tất cả quyền. Group và User có quyền đọc và ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}755 access.log{RESET} có tác dụng gì?,,
b1adbdf7-8f0a-4be6-b8b3-f77d2cb1dc45,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và User đều có tất cả quyền. Group có quyền đọc và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}757 access.log{RESET} có tác dụng gì?,,
29ef5acd-65b8-4c0a-8ab3-93457eae6996,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root có tất cả quyền. Group có quyền đọc và ghi. User không có quyền.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}760 access.log{RESET} có tác dụng gì?,,
bab43b8e-56bc-48c6-a5a9-c833c6a31720,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root có tất cả quyền. Group có quyền đọc và ghi. User có quyền thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}761 access.log{RESET} có tác dụng gì?,,
877404dc-fd5f-42da-bdfd-b880b1863fb5,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root có tất cả quyền. Group có quyền đọc và ghi. User có quyền ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}762 access.log{RESET} có tác dụng gì?,,
10078344-9e4a-4112-a1f6-2637c4da786d,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root có tất cả quyền. Group có quyền đọc và ghi. User có quyền ghi và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}763 access.log{RESET} có tác dụng gì?,,
f184b9f9-6d22-4d96-9b8e-9fda716d6dcd,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root có tất cả quyền. Group có quyền đọc và ghi. User có quyền đọc.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}764 access.log{RESET} có tác dụng gì?,,
24e6f3d3-0f9a-4370-85f4-b848689c3204,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root có tất cả quyền. Group có quyền đọc và ghi. User có quyền đọc và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}765 access.log{RESET} có tác dụng gì?,,
c9e98f1c-8a84-4bfc-a0a0-276df16ac868,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root có tất cả quyền. Group và User có quyền đọc và ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}766 access.log{RESET} có tác dụng gì?,,
2e2e471b-e4bb-4a57-8722-31b968beccec,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và User đều có tất cả quyền. Group có quyền đọc và ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}767 access.log{RESET} có tác dụng gì?,,
79d66a69-daa6-4ffb-ad46-180abd155b0b,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group đều có tất cả quyền. User không có quyền.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}770 access.log{RESET} có tác dụng gì?,,
1bc56755-c01c-4d46-a938-01777678f1d1,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group đều có tất cả quyền. User có quyền thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}771 access.log{RESET} có tác dụng gì?,,
e8f8bbc7-a339-44e5-933e-d55d34b46a9f,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group đều có tất cả quyền. User có quyền ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}772 access.log{RESET} có tác dụng gì?,,
ee81e0d4-1403-4113-9297-af1cec118d3a,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group đều có tất cả quyền. User có quyền ghi và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}773 access.log{RESET} có tác dụng gì?,,
1bee6c16-9dc3-48fd-ad62-53b8d21e10f7,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group đều có tất cả quyền. User có quyền đọc.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}774 access.log{RESET} có tác dụng gì?,,
01427bf6-06d2-4e17-8cea-b9a97cf7623c,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group đều có tất cả quyền. User có quyền đọc và thực thi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}775 access.log{RESET} có tác dụng gì?,,
6e09bd53-1bb1-4b4e-811a-f9b02acab37f,Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root và Group đều có tất cả quyền. User có quyền đọc và ghi.,Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}776 access.log{RESET} có tác dụng gì?,,
91682808-54d3-45f6-8302-95267bddf960,"Thay đổi quyền truy cập tập tin {BRIGHT_BLUE}access.log{RESET}. Root, Group và User đều có tất cả quyền.",Lệnh {BRIGHT_GREEN}chmod {BRIGHT_BLUE}777 access.log{RESET} có tác dụng gì?,,
