id,answer,question,desc,ref
64c86a6a-a092-4e30-8507-7b60276298b1,11,"Chiến thuật {BRIGHT_BLUE}Reconnaissance (Giai đoạn trinh sát){RESET} có bao nhiêu kỹ thuật trong Mitre Att&ck - Enterprise?",,
819c5dc2-998e-4cac-ac65-ab05020bf8b0,34,"Chiến thuật {BRIGHT_BLUE}Reconnaissance (Giai đoạn trinh sát){RESET} có bao nhiêu nhánh kỹ thuật trong Mitre Att&ck - Enterprise?",,
c6b2b776-a8f3-481a-b961-826054a4cda5,Reconnaissance (Giai đoạn trinh sát),"Kỹ thuật {BRIGHT_BLUE}Active Scanning (Chủ động quét thông tin){RESET} thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
f2718464-99c9-43b8-93c7-ca9c1bbbcf3a,Reconnaissance (Giai đoạn trinh sát),"Kỹ thuật {BRIGHT_BLUE}Gather Victim Host Information (Thu thập thông tin về máy chủ của nạn nhân){RESET} thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
46421090-ff2b-4f09-b909-848def43db93,Reconnaissance (Giai đoạn trinh sát),"Kỹ thuật {BRIGHT_BLUE}Gather Victim Identity Information (Thu thập thông tin về danh tính của nạn nhân){RESET} thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
a9a149ff-294c-4dfd-967a-794eb7cc6acc,Reconnaissance (Giai đoạn trinh sát),"Kỹ thuật {BRIGHT_BLUE}Gather Victim Network Information (Thu thập thông tin về mạng của nạn nhân){RESET} thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
23ea01db-9b26-4802-8bc4-7647ab583362,Reconnaissance (Giai đoạn trinh sát),"Kỹ thuật {BRIGHT_BLUE}Gather Victim Org Information (Thu thập thông tin về tổ chức của nạn nhân){RESET} thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
612ee8d9-2b9f-43cc-b579-79c448f2e1a1,Reconnaissance (Giai đoạn trinh sát),"Kỹ thuật {BRIGHT_BLUE}Phishing for Information (Giả mạo để lấy thông tin){RESET} thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
f17a7608-a5d6-4731-8c64-a5be30a0c454,Reconnaissance (Giai đoạn trinh sát),"Kỹ thuật {BRIGHT_BLUE}Search Closed Sources (Tìm kiếm thông tin từ nguồn riêng tư){RESET} thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
f3b0583f-9207-4a2c-a81b-db4b1179ea1f,Reconnaissance (Giai đoạn trinh sát),"Kỹ thuật {BRIGHT_BLUE}Search Open Technical Databases (Tìm kiếm thông tin từ nguồn cơ sở dữ liệu và kỹ thuật công khai){RESET} thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
e2a52ae7-fc31-4a27-b017-18272d766560,Reconnaissance (Giai đoạn trinh sát),"Kỹ thuật {BRIGHT_BLUE}Search Open Websites/Domains (Tìm kiếm thông tin từ nguồn trang web và tên miền công khai){RESET} thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
9c67875c-9acc-4776-885f-f5918659d612,Reconnaissance (Giai đoạn trinh sát),"Kỹ thuật {BRIGHT_BLUE}Search Threat Vendor Data (Tìm kiếm thông tin từ nguồn cung cấp mối đe dọa){RESET} thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
bec33b61-0b49-4283-aaf9-31eedf8e5477,Reconnaissance (Giai đoạn trinh sát),"Kỹ thuật {BRIGHT_BLUE}Search Victim-Owned Websites (Tìm kiếm thông tin từ nguồn trang web sỡ hữu của nạn nhân){RESET} thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
702e8fbd-e49b-4b20-afc7-dc3d61d9b359,Reconnaissance (Giai đoạn trinh sát) {BRIGHT_RED}>{RESET} Active Scanning (Chủ động quét thông tin),"Nhánh kỹ thuật {BRIGHT_BLUE}Scanning IP Block (Chủ động quét khối trong dãy địa chỉ IP){RESET} thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
a3ad0584-b2ae-49f6-9eac-cb1f99ee7b16,Reconnaissance (Giai đoạn trinh sát) {BRIGHT_RED}>{RESET} Active Scanning (Chủ động quét thông tin),"Nhánh kỹ thuật {BRIGHT_BLUE}Vulnerability Scanning (Chủ động quét lỗ hổng){RESET} thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
ccf7edf6-00ba-4e66-9d25-f8ca14c181ba,Reconnaissance (Giai đoạn trinh sát) {BRIGHT_RED}>{RESET} Active Scanning (Chủ động quét thông tin),"Nhánh kỹ thuật {BRIGHT_BLUE}Wordlist Scanning (Chủ động quét từ một danh sách từ){RESET} thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
3bb93547-358e-4c16-80dd-4ad63991b343,Reconnaissance (Giai đoạn trinh sát) {BRIGHT_RED}>{RESET} Gather Victim Host Information (Thu thập thông tin về máy chủ của nạn nhân),"Nhánh kỹ thuật {BRIGHT_BLUE}Client Configurations Gathering (Thu thập thông tin từ các thiết lập của máy khách){RESET} thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
24dafdf5-3921-4f3d-98e0-67dbdb967fda,Reconnaissance (Giai đoạn trinh sát) {BRIGHT_RED}>{RESET} Gather Victim Host Information (Thu thập thông tin về máy chủ của nạn nhân),"Nhánh kỹ thuật {BRIGHT_BLUE}Firmware Gathering (Thu thập thông tin từ phần sụn){RESET} thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
e7bd72e7-c3d3-4333-8a82-1ada1018e687,Reconnaissance (Giai đoạn trinh sát) {BRIGHT_RED}>{RESET} Gather Victim Host Information (Thu thập thông tin về máy chủ của nạn nhân),"Nhánh kỹ thuật {BRIGHT_BLUE}Hardware Gathering (Thu thập thông tin từ phần cứng){RESET} thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
3015a7f6-5880-4b64-a276-3dca3fa36bbf,Reconnaissance (Giai đoạn trinh sát) {BRIGHT_RED}>{RESET} Gather Victim Host Information (Thu thập thông tin về máy chủ của nạn nhân),"Nhánh kỹ thuật {BRIGHT_BLUE}Software Gathering (Thu thập thông tin từ phần mềm){RESET} thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
ae84f30c-03ea-4d7f-83b2-db911aa0bd5b,Reconnaissance (Giai đoạn trinh sát) {BRIGHT_RED}>{RESET} Gather Victim Identity Information (Thu thập thông tin về danh tính của nạn nhân),"Nhánh kỹ thuật {BRIGHT_BLUE}Credentials Gathering (Thu thập các thông tin xác thực){RESET} thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
e3c762df-0141-4e46-9f10-078ae3396c66,Reconnaissance (Giai đoạn trinh sát) {BRIGHT_RED}>{RESET} Gather Victim Identity Information (Thu thập thông tin về danh tính của nạn nhân),"Nhánh kỹ thuật {BRIGHT_BLUE}Email Addresses Gathering (Thu thập các thông tin địa chỉ Email){RESET} thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
