id,answer,question,desc,ref
cd505f59-f904-4088-af26-336084923602,11,"Chiến thuật ""Initial Access (Giai đoạn khởi tạo truy cập)"" có bao nhiêu kỹ thuật trong Mitre Att&ck - Enterprise?",,
5b8670eb-eb77-4bda-ae00-f3b69bc685a4,11,"Chiến thuật ""Initial Access (Giai đoạn khởi tạo truy cập)"" có bao nhiêu nhánh kỹ thuật trong Mitre Att&ck - Enterprise?",,
73d5d017-d2e8-4097-95e8-8edf86ef9059,Initial Access,"Kỹ thuật ""Content Injection"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
19b932ea-8cf4-42d1-b03d-42f4bfdb8148,Initial Access,"Kỹ thuật ""Drive-by Compromise"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
8fa9bdb0-94bd-43ab-99d4-97422bd03a0e,Initial Access,"Kỹ thuật ""Exploit Public-Facing Application"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
574753fd-1b5c-499f-9305-d53d2df71456,Initial Access,"Kỹ thuật ""External Remote Services"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
0e186465-691c-45a1-9d4f-dc7460374c02,Initial Access,"Kỹ thuật ""Hardware Additions"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
13ceb2b0-9918-45c7-a5b2-d6945a13bd23,Initial Access,"Kỹ thuật ""Phishing"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
25afd13d-abff-4140-b3a9-a05f360ad2f5,Initial Access,"Kỹ thuật ""Replication Through Removable Media"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
b738e63f-6e90-49df-8fcb-2cbba29cebca,Initial Access,"Kỹ thuật ""Supply Chain Compromise"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
5cf62014-9cb9-493d-a6fd-7c614aa24055,Initial Access,"Kỹ thuật ""Trusted Relationship"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
ef0b33a3-728e-47b4-985d-6ec7b8d6747f,Initial Access,"Kỹ thuật ""Valid Accounts"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
2e2088be-2176-4847-8c33-f06a233e1f2e,Initial Access,"Kỹ thuật ""Wi-Fi Networks"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
d7ea38c0-f999-4e20-ac66-1d9d102dd10b,Initial Access > Phishing,"Kỹ thuật ""Spearphishing Link"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
38bc8525-c853-48b2-929d-33222b40e48a,Initial Access > Phishing,"Kỹ thuật ""Spearphishing Voice"" thuộc chiến thuật nào trong Mitre Att&ck - Enterprise?",,
a153b848-5229-4c33-b52f-ea35bd2b7d65,Initial Access > Phishing,"Nhánh kỹ thuật ""Spearphishing Attachment"" thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
efe6aff5-a8ee-4af4-9650-99d7189b0bab,Initial Access > Phishing,"Nhánh kỹ thuật ""Spearphishing via Service"" thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
1c01dcb0-25fb-4d62-97ea-73f992f4a3bb,Initial Access > Supply Chain Compromise,"Nhánh kỹ thuật ""Compromise Hardware Supply Chain"" thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
3a97e083-6178-452c-a72b-f87a11cc9abb,Initial Access > Supply Chain Compromise,"Nhánh kỹ thuật ""Compromise Software Dependencies and Development Tools"" thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
ccb6f10d-1fd6-4d14-b8dd-3b822f2a5bea,Initial Access > Supply Chain Compromise,"Nhánh kỹ thuật ""Compromise Software Supply Chain"" thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
a4d1b24c-e1ce-4e3f-8db2-dc629b226ca1,Initial Access > Valid Accounts,"Nhánh kỹ thuật ""Cloud Accounts"" thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
a16e4250-4dc0-462b-90d1-2933d7f117f8,Initial Access > Valid Accounts,"Nhánh kỹ thuật ""Default Accounts"" thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
11e5b440-fe4d-424f-ae8c-1c654649dec8,Initial Access > Valid Accounts,"Nhánh kỹ thuật ""Domain Accounts"" thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
22a88e43-803c-485d-998f-7bf06f81e898,Initial Access > Valid Accounts,"Nhánh kỹ thuật ""Local Accounts"" thuộc kỹ thuật nào trong Mitre Att&ck - Enterprise?",,
