id,answer,question,desc,ref
f6bec3e4-941a-4f94-8126-d93deac1fb5c,A03: Injection,SQLi thuộc nhóm lỗ hổng nào trong OWASP Top 10?,"* SQL: Structured Query Language - ngôn ngữ truy vấn có cấu trúc \n* SQLi: SQL Injection - Chèn SQL \n* OWASP: Open Web Application Security Project - Một tổ chức phi lợi nhuận toàn cầu tập trung vào việc nâng cao nhận thức và cung cấp các tài liệu, công cụ để cải thiện bảo mật ứng dụng web \n* OWASP Top 10 - Tài liệu tiêu chuẩn giúp các nhà phát triển nhận diện và giảm thiểu các rủi ro bảo mật phổ biến nhất trong ứng dụng web \n* injection - chèn \n\n- Injection thường xuyên nằm top vì mức độ phổ biến và tác động nghiêm trọng.",
b6cbe51b-6cc4-4b0c-bd85-4ec0065b76e8,Chủ động đòi hỏi attacker gửi payload trực tiếp để kiểm tra và nhận feedback,Điểm khác nhau giữa SQLi chủ động và SQLi thụ động?,"* SQL: Structured Query Language - ngôn ngữ truy vấn có cấu trúc \n* SQLi: SQL Injection - Chèn SQL \n* attacker - kẻ tấn công \n* payload - thành phần thực thi \n* feedback - phản hồi \n\n- SQLi thụ động xảy ra khi dev viết query không an toàn, và attacker phát hiện qua phân tích tĩnh hoặc quan sát hành vi, không cần gửi payload liên tục.",
6593f31b-04ca-4507-b185-ec268270ffab,Có,SQLi có phụ thuộc vào loại database hay không?,"* SQL: Structured Query Language - ngôn ngữ truy vấn có cấu trúc \n* SQLi: SQL Injection - Chèn SQL \n* database - cơ sở dữ liệu \n\n- Vì cú pháp, hàm, error message, cơ chế union, subquery và limit/offset thay đổi theo MySQL, MSSQL, Oracle, PostgreSQL. \n- Tuy nhiên, bản chất injection không phụ thuộc vào loại database.",
eac85b3c-907e-4639-ba38-a59eb99b12d1,Cả ba đều có khả năng bị khai thác nếu được đưa vào query,"Giá trị nào nhập vào thường dễ bị SQLi nhất: URL, form input, header","* SQL: Structured Query Language - ngôn ngữ truy vấn có cấu trúc \n* SQLi: SQL Injection - Chèn SQL \n* URL: Uniform Resource Locator - Địa chỉ tài nguyên thống nhất \n* Form input - Dữ liệu nhập từ biểu mẫu \n* Header - Tiêu đề HTTP \n* HTTP: HyperText Transfer Protocol - Giao thức truyền tải siêu văn bản \n* query - truy vấn \n\n- Đặc biệt nguy hiểm là form login, query parameters, cookie, custom headers, hoặc bất kỳ input gián tiếp nào (server-side parameters).",
bc7bc483-d18a-484b-9240-f6434879232d,Kẻ tấn công chèn vào điều kiện WHERE để nó luôn true hoặc vô hiệu hóa kiểm tra password,SQLi có thể giúp kẻ tấn công bypass xác thực như thế nào ở mức khái niệm?,"* bypass - qua mặt, vô hiệu hóa \n* SQL: Structured Query Language - ngôn ngữ truy vấn có cấu trúc \n* SQLi: SQL Injection - Chèn SQL \n* WHERE - mệnh đề quan trọng trong SQL, được sử dụng để lọc các bản ghi (hàng) từ một bảng sao cho thõa mãn một điều kiện cụ thể \n* password - mật khẩu \n\n- Đây là bypass logic chứ không phải phá hash.",
232a636b-4720-484d-bd62-3ca3f12aedc0,Là lỗ hổng cho phép kẻ tấn công chèn hoặc chỉnh sửa câu lệnh SQL mà ứng dụng thực thi,SQL Injection là gì?,* SQL: Structured Query Language - ngôn ngữ truy vấn có cấu trúc \n* SQLi: SQL Injection - Chèn SQL,
c58567da-b0fb-4d65-84a5-598860473a3e,Là rò rỉ dữ liệu quy mô lớn và mất toàn vẹn dữ liệu,Tác động lớn nhất của SQLi trong doanh nghiệp là gì?,"* SQL: Structured Query Language - ngôn ngữ truy vấn có cấu trúc \n* SQLi: SQL Injection - Chèn SQL \n* data breach - rò rỉ dữ liệu \n\n- Với hệ thống quan trọng, nó có thể dẫn tới mất kiểm soát tài khoản, rò rỉ thông tin khách hàng hoặc tê liệt hoạt động kinh doanh.",
72dc7416-4151-45d2-95eb-3a00c73afb0a,"Là ứng dụng phải tạo SQL query bằng dữ liệu đầu vào người dùng mà không có kiểm soát, như string concatenation hoặc dynamic SQL mà thiếu parameter binding",Điều kiện tiên quyết để xảy ra SQLi trên ứng dụng là gì?,* SQL: Structured Query Language - ngôn ngữ truy vấn có cấu trúc \n* SQLi: SQL Injection - Chèn SQL \n* SQL query - Truy vấn SQL \n* String concatenation - Nối chuỗi \n* Dynamic SQL - SQL động \n* Parameter binding - Liên kết tham số,
0864133b-7795-4fff-84fd-31c80b3e2b9d,"SQLi tác động lên SQL engine, trong khi các injection khác tác động lên các interpreter tương ứng",Sự khác nhau giữa SQLi và các lỗ hổng injection khác là gì?,* SQL: Structured Query Language - ngôn ngữ truy vấn có cấu trúc \n* SQLi: SQL Injection - Chèn SQL\n* SQL engine: SQL Database Engine - trái tim của bất kỳ Hệ quản trị cơ sở dữ liệu quan hệ (RDBMS) \n* injection - chèn \n* interpreter - trình thông dịch,
e288c403-ec49-47b8-9037-876d007293f7,"Vì error message tiết lộ thông tin như cú pháp SQL, tên bảng, cột, loại DBMS",Tại sao lỗi hiển thị lỗi database (error message) lại tạo điều kiện cho SQLi?,"* SQL: Structured Query Language - ngôn ngữ truy vấn có cấu trúc \n* SQLi: SQL Injection - Chèn SQL \n* database - cơ sở dữ liệu \n* error message - thông báo lỗi \n* DBMS: Database Management Systems - Hệ quản trị cơ sở dữ liệu \n\n- Điều này giúp attacker chuyển từ blind sang informed exploitation, nâng tỷ lệ thành công.",
