id,answer,question,desc,ref
17e668d4-8d2a-4582-8e49-1a6b0537037f,{BRIGHT_BLUE}/boot{RESET},"Trong Linux, thư mục nào chứa các tập tin bộ nạp khởi động tĩnh hệ điều hành?",,
4a542f58-cbaf-416e-909b-62a0a4a02305,{BRIGHT_BLUE}/boot{RESET},"Trong Linux, thư mục nào chứa các tập tin cần thiết để khởi động hệ điều hành?",,
e5b28f26-6862-4c70-8f43-2c30b6e83dba,{BRIGHT_BLUE}/boot{RESET},"Trong Linux, thư mục nào chứa các tập tin thực thi kernel hệ điều hành?",,
236cac06-f03e-4a16-827d-1cfb74eec2c5,{BRIGHT_BLUE}/dev{RESET},"Trong Linux, thư mục nào chứa các tập tin thiết bị được gắn trong hệ thống?",,
078331a0-acb2-48bc-8d96-b9d139693b28,{BRIGHT_BLUE}/etc{RESET},"Trong Linux, thư mục nào chứa các tập tin cấu hình?",,
8d6f83f3-dd57-4172-97b7-d54ea510a5dd,{BRIGHT_BLUE}/home{RESET},"Trong Linux, thư mục nào chứa các tập tin thư mục con mỗi người dùng để lưu trữ dữ liệu?",,
2f668b7b-bc96-42cf-8ad3-65712cebf0bc,{BRIGHT_BLUE}/media{RESET},"Trong Linux, thư mục nào chứa các tập tin các thiết bị ngoại vi được gắn tự động bởi hệ điều hành?",,
deaadf7e-9ca5-4377-b3ce-eb41ed627802,{BRIGHT_BLUE}/mnt{RESET},"Trong Linux, thư mục nào chứa các tập tin các thiết bị ngoại vi được gắn thủ công bởi quản trị viên?",,
09a64351-1a8f-411f-84f1-cd83099a9e2a,{BRIGHT_BLUE}/opt{RESET},"Trong Linux, thư mục nào chứa các tập tin tùy chọn như các công cụ của bên thứ ba?",,
46a79baf-81e1-4592-8815-29de1615eed6,{BRIGHT_BLUE}/root{RESET},"Trong Linux, thư mục nào chứa các tập tin của quản trị cao nhất ({BRIGHT_RED}root{RESET})?",,
a2e9899e-72bc-4446-a599-3229aa0c4ba4,{BRIGHT_BLUE}/srv{RESET},"Trong Linux, thư mục nào chứa các tập tin dịch vụ?",,
37d350b5-586b-45aa-9add-ebaf4b30c178,{BRIGHT_BLUE}/tmp{RESET},"Trong Linux, thư mục nào chứa các tập tin lưu trữ tạm thời?",,
9e966a1c-11b9-43e2-8363-3b91802bf7b2,{BRIGHT_BLUE}/usr{RESET},"Trong Linux, thư mục nào chứa các tập tin thực thi, thư viện, tệp hướng dẫn, ...?",,
45b2f4b3-65f5-4baa-9965-e5b10bc1762e,{BRIGHT_BLUE}/var{RESET},"Trong Linux, thư mục nào chứa các tập tin biến đổi dữ liệu?",,
135eb8ea-7cec-49a1-a4bb-125aedf098aa,{BRIGHT_CYAN}/bin{RESET},"Trong Linux, thư mục nào chứa các tập tin lệnh thực thi người dùng?",,
f946673c-9b5a-412d-8bdc-c9a541474dce,{BRIGHT_CYAN}/lib{RESET},"Trong Linux, thư mục nào chứa các tập tin thư viện người dùng?",,
062d6ee8-2f7c-477e-8075-26188ea3b91c,{BRIGHT_CYAN}/sbin{RESET},"Trong Linux, thư mục nào chứa các tập tin lệnh thực thi quản trị viên?",,
