id,answer,question,hint,desc
d17ca4ad-8faf-49a5-b63b-58aa35f8a50d,0.0.0.0,Dãy địa chỉ nào sau đây của subnet mask CIDR {BRIGHT_BLUE}/0{RESET}?,,
94beb9ac-57fd-420a-8adf-e3f369a7dc86,0.0.0.0,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/32{RESET}?,,
8d47bd95-ba9e-4876-bd2a-44aef145229a,0.0.0.1,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/31{RESET}?,,
8bdbfa53-c96b-47f1-ac89-0f204eb0e083,0.0.0.127,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/25{RESET}?,,
4085c3c1-b824-4a5c-9d8b-d85991975481,0.0.0.15,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/28{RESET}?,,
0b7fecad-f069-4fe7-958a-14ee97b42a21,0.0.0.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/24{RESET}?,,
e737b7d8-3806-4b25-9e96-42a2c34ee8f6,0.0.0.3,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/30{RESET}?,,
817b3dd5-3207-4ccc-bdf0-43c6b015bb0d,0.0.0.31,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/27{RESET}?,,
f866e29a-1368-4b3c-97bb-c6666e9e4bca,0.0.0.63,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/26{RESET}?,,
a53bb919-a9c0-40d3-bf20-722f409cbe5e,0.0.0.7,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/29{RESET}?,,
3a8dbb67-9b46-4675-abe9-a162da03b372,0.0.1.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/23{RESET}?,,
da66fb9b-58a2-45c6-bf63-2ae0c8ffdc86,0.0.127.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/17{RESET}?,,
e35c0da4-ad23-4b07-becd-82ace4c604ea,0.0.15.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/20{RESET}?,,
7816eeef-e99d-40fb-a7fd-a1d97fdbce08,0.0.255.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/16{RESET}?,,
845d5bc7-0123-47a6-b155-51db496b1b52,0.0.3.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/22{RESET}?,,
1178a4b5-ba5c-4a1c-9811-8060c70d58b5,0.0.31.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/19{RESET}?,,
3f9d41ff-fc2d-47c6-ba32-5e2abfd39615,0.0.63.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/18{RESET}?,,
4b2580fb-b00e-4106-9a61-f104c54cb529,0.0.7.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/21{RESET}?,,
2b09d117-42ef-4502-8f04-52c8178016fc,0.1.255.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/15{RESET}?,,
cab2ffc1-be45-44ae-ab0b-0b55bd35e1b5,0.127.255.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/9{RESET}?,,
565b3137-f2a0-48bb-be3e-90ead8403873,0.15.255.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/12{RESET}?,,
d409c916-9746-4d2a-b97f-dbeb77c5f2be,0.255.255.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/8{RESET}?,,
ecb1a1e1-83ec-4cab-8889-472b194f83f1,0.3.255.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/14{RESET}?,,
b56ca307-fac3-498c-ba5d-c94e2cff06b4,0.31.255.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/11{RESET}?,,
bd47e885-f25f-4459-9f38-a51ca3114b5d,0.63.255.255,Dãy địa chỉ nào sau đây của wildcard mask CIDR {BRIGHT_BLUE}/10{RESET}?,,
