id,answer,question,hint,desc
a65ffb8e-3a23-492f-ad93-ee99ead339a7,phường An Phú,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thuận An\n- Cấp xã (trước 01/07/2025): phường Bình Chuẩn (một phần) và phường An Phú,- Thông tin sau sáp nhập 01/07/2025
1426e5dc-7c20-4873-abdf-e73c2e533535,phường An Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Thành phố Hồ Chí Minh\n- Cấp huyện (trước 01/07/2025): Quận 5\n- Cấp xã (trước 01/07/2025): phường 5, phường 7 và phường 9",- Thông tin sau sáp nhập 01/07/2025
b013eed7-b0ba-41fe-bafc-cf2b165fb7e3,phường Bà Rịa,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bà Rịa - Vũng Tàu\n- Cấp huyện (trước 01/07/2025): Thành phố Bà Rịa\n- Cấp xã (trước 01/07/2025): phường Phước Hưng, phường Phước Nguyên, phường Long Toàn và phường Phước Trung",- Thông tin sau sáp nhập 01/07/2025
2bfe37a4-d5c6-4405-a4ec-8d9daa1ab571,phường Bình Cơ,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Tân Uyên và huyện Bắc Tân Uyên\n- Cấp xã (trước 01/07/2025): xã Bình Mỹ và phường Hội Nghĩa,- Thông tin sau sáp nhập 01/07/2025
fc10f3fb-8a68-49da-9f71-b83f1afe77fd,phường Bình Dương,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thủ Dầu Một và Thành phố Tân Uyên\n- Cấp xã (trước 01/07/2025): phường Hòa Phú, phường Phú Mỹ, phường Phú Tân và phường Phú Chánh",- Thông tin sau sáp nhập 01/07/2025
e5d383a3-586d-4d0a-8dc1-ff2e1ecfbb08,phường Bình Hòa,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thuận An\n- Cấp xã (trước 01/07/2025): phường Bình Hòa và phường Vĩnh Phú (một phần),- Thông tin sau sáp nhập 01/07/2025
33498956-9d1a-4323-9538-32229d3652a7,phường Bến Cát,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): huyện Bàu Bàng và Thành phố Bến Cát\n- Cấp xã (trước 01/07/2025): xã Tân Hưng, xã Lai Hưng và phường Mỹ Phước (một phần)",- Thông tin sau sáp nhập 01/07/2025
ab591ee8-7428-41bd-a596-5a2cea985a05,phường Chánh Hiệp,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thủ Dầu Một\n- Cấp xã (trước 01/07/2025): phường Định Hòa, phường Hiệp An (một phần), phường Tương Bình Hiệp và phường Chánh Mỹ (một phần)",- Thông tin sau sáp nhập 01/07/2025
83726bc8-e73a-49db-b975-14a35f1ce113,phường Chánh Phú Hòa,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): huyện Bàu Bàng và Thành phố Bến Cát\n- Cấp xã (trước 01/07/2025): xã Hưng Hòa và phường Chánh Phú Hòa,- Thông tin sau sáp nhập 01/07/2025
44142c20-0a42-4a8d-921e-afddd308c7c7,phường Dĩ An,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Dĩ An\n- Cấp xã (trước 01/07/2025): phường Dĩ An, phường Tân Đông Hiệp (một phần) và phường An Bình",- Thông tin sau sáp nhập 01/07/2025
d62c9387-6cea-4a75-93f1-6095bd2b90ac,phường Hòa Lợi,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Bến Cát\n- Cấp xã (trước 01/07/2025): phường Hòa Lợi và phường Tân Định,- Thông tin sau sáp nhập 01/07/2025
1d4cf1b6-41e7-411a-a31a-0abcd9a0421f,phường Long Hương,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bà Rịa - Vũng Tàu\n- Cấp huyện (trước 01/07/2025): Thành phố Bà Rịa\n- Cấp xã (trước 01/07/2025): phường Long Hương, phường Kim Dinh và xã Tân Hưng",- Thông tin sau sáp nhập 01/07/2025
6b14000c-5f72-406d-899f-8a8efe60cb5f,phường Long Nguyên,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): huyện Bàu Bàng và Thành phố Bến Cát\n- Cấp xã (trước 01/07/2025): xã Long Nguyên, phường An Điền và phường Mỹ Phước (một phần)",- Thông tin sau sáp nhập 01/07/2025
79076435-6a3e-4ae5-a67d-987e95a26296,phường Lái Thiêu,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thuận An\n- Cấp xã (trước 01/07/2025): phường Lái Thiêu, phường Bình Nhâm và phường Vĩnh Phú (một phần)",- Thông tin sau sáp nhập 01/07/2025
a07adaab-b30a-4cc7-bc34-a981886d516c,phường Phú An,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thủ Dầu Một và Thành phố Bến Cát\n- Cấp xã (trước 01/07/2025): phường Tân An, phường Hiệp An (một phần) và xã Phú An",- Thông tin sau sáp nhập 01/07/2025
60cc2b14-3b7d-4bf1-a727-8406d837b4af,phường Phú Lợi,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thủ Dầu Một\n- Cấp xã (trước 01/07/2025): phường Hiệp Thành (một phần), phường Phú Lợi và phường Phú Hòa",- Thông tin sau sáp nhập 01/07/2025
c4d1e2dd-5ba9-4b8b-89fd-dd2325726faa,phường Phú Mỹ,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tĩnh (trước 01/07/2025): Bà Rịa - Vũng Tàu\n- Cấp huyện (trước 01/07/2025): Thành phố Phú Mỹ\n- Cấp xã (trước 01/07/2025): phường Phú Mỹ và phường Mỹ Xuân,- Thông tin sau sáp nhập 01/07/2025
bbfafd1f-086c-4d95-a854-0545e635b44e,phường Phước Thắng,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bà Rịa - Vũng Tàu\n- Cấp huyện (trước 01/07/2025): Thành phố Vũng Tàu\n- Cấp xã (trước 01/07/2025): phường 11, 12",- Thông tin sau sáp nhập 01/07/2025
a707e1a9-40e7-422b-b957-bdc8f2eb9d0d,phường Rạch Dừa,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bà Rịa - Vũng Tàu\n- Cấp huyện (trước 01/07/2025): Thành phố Vũng Tàu\n- Cấp xã (trước 01/07/2025): phường 10, phường Thắng Nhất và phường Rạch Dừa",- Thông tin sau sáp nhập 01/07/2025
5194394f-91b8-4513-9448-296a5628ffe2,phường Tam Long,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bà Rịa - Vũng Tàu\n- Cấp huyện (trước 01/07/2025): Thành phố Bà Rịa\n- Cấp xã (trước 01/07/2025): phường Long Tâm, xã Long Phước và xã Hòa Long",- Thông tin sau sáp nhập 01/07/2025
7dc466a4-f66f-4848-a2a1-ca056bd742e2,phường Tam Thắng,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bà Rịa - Vũng Tàu\n- Cấp huyện (trước 01/07/2025): Thành phố Vũng Tàu\n- Cấp xã (trước 01/07/2025): phường 7, 8, 9 và phường Nguyễn An Ninh",- Thông tin sau sáp nhập 01/07/2025
fcf94fa3-a12c-4aa7-9283-1794b70bb6c4,phường Thuận An,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thuận An\n- Cấp xã (trước 01/07/2025): phường An Thạnh, phường Hưng Định và xã An Sơn",- Thông tin sau sáp nhập 01/07/2025
75557445-39d1-45d0-8d00-bcc413d4fc52,phường Thuận Giao,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thuận An\n- Cấp xã (trước 01/07/2025): phường Bình Chuẩn (một phần) và phường Thuận Giao,- Thông tin sau sáp nhập 01/07/2025
70f35449-f256-4399-8357-4fd6bf5918d2,phường Thới Hòa,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Bến Cát\n- Cấp xã (trước 01/07/2025): phường Thới Hòa,- Thông tin sau sáp nhập 01/07/2025
019b43df-8997-4f4b-ab9f-ed0e48b2e506,phường Thủ Dầu Một,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,"- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Thủ Dầu Một\n- Cấp xã (trước 01/07/2025): phường Hiệp Thành (một phần), Phú Cường, Phú Thọ, Chánh Nghĩa và Chánh Mỹ (một phần)",- Thông tin sau sáp nhập 01/07/2025
22f0268d-33eb-46a5-bed0-1ecb3c3b429f,phường Tân Hiệp,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tĩnh (trước 01/07/2025): Bình Dương\n- Cấp huyện (trước 01/07/2025): Thành phố Tân Uyên\n- Cấp xã (trước 01/07/2025): phường Tân Hiệp và phường Khánh Bình,- Thông tin sau sáp nhập 01/07/2025
1044a7bd-1b5a-4f1a-b1c3-e40cf28f55ba,phường Tân Hải,Đâu là đơn vị hành chính cấp xã của Thành phố Hồ Chí Minh?,- Cấp tĩnh (trước 01/07/2025): Bà Rịa - Vũng Tàu\n- Cấp huyện (trước 01/07/2025): Thành phố Phú Mỹ\n- Cấp xã (trước 01/07/2025): phường Tân Hòa và phường Tân Hải,- Thông tin sau sáp nhập 01/07/2025
