id,answer,question,desc,ref
cbb03853-d662-4a59-88ac-ab286b4f9ac0,Adverse Events (Sự kiện bất lợi),"Các sự kiện có hậu quả tiêu cực, chẳng hạn như hệ thống bị sập, tấn công flood gói tin mạng, sử dụng trái phép quyền hệ thống, thay đổi giao diện trang web (defacement), hoặc thực thi mã độc phá hủy dữ liệu.",,
1b9dc200-7956-431d-8390-98c9020138b9,Breach (Rò rỉ dữ liệu),"Việc mất quyền kiểm soát, bị xâm phạm, tiết lộ trái phép, chiếm đoạt trái phép hoặc bất kỳ sự kiện tương tự nào, trong đó:\n\t+ Một người không được ủy quyền truy cập hoặc có khả năng truy cập thông tin nhận dạng cá nhân (PII);\n\t+ Một người được ủy quyền truy cập PII nhưng sử dụng vì mục đích không được phép.",,NIST SP 800-53 Rev. 5
01a868af-bf46-43a0-ad15-f1a1c4c9cd9b,Business Continuity (Duy trì hoạt động kinh doanh - BC),"Các hành động, quy trình và công cụ nhằm đảm bảo tổ chức có thể tiếp tục thực hiện các hoạt động quan trọng trong tình huống gián đoạn.",,
e27c52a1-910d-4699-a9ae-2a884ec2c058,Business Continuity Plan (Kế hoạch duy trì hoạt động kinh doanh - BCP),"Tài liệu mô tả tập hợp các hướng dẫn hoặc quy trình được xác định trước, giải thích cách tổ chức duy trì các quy trình nghiệp vụ hoặc nhiệm vụ trong và sau khi xảy ra gián đoạn nghiêm trọng.",,
4fc53d2a-b02a-4a15-8ee2-4782b34fe52d,Business Impact Analysis (Phân tích tác động kinh doanh - BIA),"Phân tích các yêu cầu, chức năng và mối liên hệ phụ thuộc của hệ thống thông tin, được sử dụng để xác định yêu cầu và mức độ ưu tiên khôi phục hệ thống khi có gián đoạn lớn.",,
31bfb405-13b3-4b8f-8f2d-9f88472b82f3,Disaster Recovery (Khôi phục sau thảm họa - DR),"Trong lĩnh vực hệ thống thông tin, đây là các hoạt động cần thiết để khôi phục dịch vụ CNTT và truyền thông của tổ chức trong và sau khi xảy ra sự cố, gián đoạn hoặc rối loạn ở bất kỳ quy mô nào.",,
1b0f1a42-d0d5-45a4-8b2f-b929c960691c,Disaster Recovery Plan (Kế hoạch khôi phục sau thảm họa - DRP),"Tập hợp các quy trình, chính sách và thủ tục liên quan đến việc chuẩn bị cho việc khôi phục hoặc duy trì các chức năng nghiệp vụ quan trọng, hạ tầng công nghệ, hệ thống và ứng dụng sau khi tổ chức gặp thảm họa.",- “Thảm họa” ở đây được hiểu là khi các chức năng nghiệp vụ quan trọng không thể thực hiện ở mức chấp nhận được trong một khoảng thời gian xác định sau gián đoạn.,
11438893-23eb-4ee0-89a2-2fabf6fca178,Event (Sự kiện),Bất kỳ hiện tượng có thể quan sát được nào xảy ra trong mạng hoặc hệ thống.,,NIST SP 800-61 Rev. 2
779aa249-5282-499c-b4bf-068728be2697,Exploit (Khai thác),"Một cuộc tấn công cụ thể, được gọi như vậy vì nó khai thác các lỗ hổng của hệ thống.",,
f2c16f51-65c9-4cd5-aaa4-6f01fa29f875,Incident (Sự cố),"Một sự kiện thực tế hoặc tiềm ẩn gây nguy hại đến tính bảo mật (confidentiality), toàn vẹn (integrity) hoặc khả dụng (availability) của hệ thống thông tin hoặc dữ liệu mà hệ thống xử lý, lưu trữ hoặc truyền tải.",,
67e14bb8-af17-468b-8238-64a74a63d0d2,Incident Handling (Xử lý sự cố),Quy trình phát hiện và phân tích sự cố nhằm hạn chế tác động của sự cố đó.,,
af104cd1-47ed-49ba-a51f-1d9faf0f6bb2,Incident Response (Ứng phó sự cố - IR),Quy trình phát hiện và phân tích sự cố nhằm hạn chế tác động của sự cố đó.,,
cb804fc7-8bde-45d3-85a4-3cb6a487d9fd,Incident Response Plan (Kế hoạch ứng phó sự cố - IRP),"Tài liệu mô tả tập hợp các hướng dẫn hoặc quy trình được xác định trước để phát hiện, ứng phó và giảm thiểu hậu quả của một cuộc tấn công mạng độc hại nhắm vào hệ thống thông tin của tổ chức.",,NIST SP 800-34 Rev. 1
2f0847b6-1083-44c9-853c-9aee45b63c2a,Intrusion (Xâm nhập),"Một sự kiện hoặc tập hợp các sự kiện an ninh cấu thành sự cố, trong đó kẻ xâm nhập đạt được hoặc cố gắng đạt được quyền truy cập vào hệ thống hoặc tài nguyên của hệ thống mà không được phép.",,IETF RFC 4949 Ver. 2
ebe8a20a-80e4-44e6-a386-be284e4758e0,Security Operations Center (Trung tâm điều hành an ninh - SOC),"Một bộ phận tập trung của tổ chức, được đảm nhiệm bởi đội ngũ an ninh thông tin, có nhiệm vụ giám sát, phát hiện và phân tích các sự kiện trên mạng hoặc hệ thống để ngăn chặn và xử lý sự cố trước khi gây gián đoạn cho hoạt động kinh doanh.",,
b75a9ee1-e8dd-4100-a6d5-8d1f820a0220,Vulnerability (Lỗ hổng bảo mật),"Điểm yếu trong hệ thống thông tin, quy trình bảo mật, kiểm soát nội bộ hoặc cách triển khai, có thể bị khai thác hoặc kích hoạt bởi nguồn đe dọa.",,NIST SP 800-128
56f3908a-4027-4a42-bec2-50da55c0c998,Zero Day,"Một lỗ hổng hệ thống chưa từng được biết đến trước đó, có khả năng bị khai thác mà không bị phát hiện hoặc ngăn chặn, do không phù hợp với các mẫu, chữ ký hay phương thức tấn công đã được nhận diện.",,
