id,answer,question,desc,ref
78977613-8883-453c-b647-168802eab196,Audit (Kiểm toán),"Hoạt động xem xét và đánh giá độc lập các hồ sơ và hoạt động để xác định mức độ đầy đủ của các biện pháp kiểm soát hệ thống, đảm bảo việc tuân thủ các chính sách và quy trình vận hành đã được thiết lập.",,NIST SP 1800-15B
03a9e128-564d-4945-86c0-641d9699469e,Crime Prevention through Environmental Design (Phòng chống tội phạm thông qua thiết kế môi trường - CPTED),"Một phương pháp kiến trúc trong thiết kế tòa nhà và không gian, nhấn mạnh việc sử dụng các đặc điểm thụ động nhằm giảm khả năng xảy ra hoạt động tội phạm.",,
a6a778f4-780b-4f6b-9d5a-99fcd802ed92,Defense in Depth (Phòng thủ theo chiều sâu),"Chiến lược an ninh thông tin tích hợp con người, công nghệ và năng lực vận hành nhằm thiết lập các lớp rào chắn biến thiên qua nhiều tầng và nhiệm vụ của tổ chức.",,NIST SP 800-53 Rev. 4
187d6fb3-ae02-45f4-8a9f-0a1968359204,Discretionary Access Control (Kiểm soát truy cập tùy ý - DAC),Một phần quyền kiểm soát truy cập được giao cho chủ sở hữu của đối tượng (object) hoặc người được ủy quyền. Chủ sở hữu có thể quyết định ai được quyền truy cập vào đối tượng và quyền hạn cụ thể của họ.,,NIST SP 800-192
01d3b74d-3aae-4472-8e2c-b2e7c238a0b2,Encryption (Mã hóa),Bảo vệ thông tin riêng tư bằng cách chuyển đổi nó sang dạng chỉ có thể đọc được bởi những người có quyền truy cập hợp pháp.,,
1853909f-1beb-443f-8c26-e42b8429a2d7,Firewalls (Tường lửa),Thiết bị thực thi các chính sách bảo mật hành chính bằng cách lọc lưu lượng vào dựa trên một tập hợp quy tắc xác định.,,
8ae08213-a35e-4654-85c2-df91459eff38,Insider Threat (Mối đe dọa nội bộ),"Một thực thể có quyền truy cập hợp pháp nhưng có khả năng gây hại cho hệ thống thông tin thông qua việc phá hoại, tiết lộ, chỉnh sửa dữ liệu và/hoặc từ chối dịch vụ.",,NIST SP 800-32
6d7498da-acb8-4786-9dcf-40f30aec4182,iOS,"Hệ điều hành do Apple Inc. sản xuất, được sử dụng cho các thiết bị di động.",,
e062d9b9-de09-498a-928b-a3348cb3c206,Layered Defense (Phòng thủ phân tầng),Việc sử dụng nhiều lớp kiểm soát được bố trí nối tiếp nhau để bảo vệ tài sản.,- Còn được gọi là “phòng thủ theo chiều sâu (defense in depth)”.,
6191bf82-0bdc-4b66-b5ae-8f4edbe8a21b,Linux,"Hệ điều hành mã nguồn mở, cho phép người dùng truy cập và chỉnh sửa mã nguồn một cách hợp pháp.",,
