id,answer,question,desc,ref
eebd3ee2-304b-4fb2-80bb-d6f777396079,Bằng cách cung cấp kiểm tra gói sâu và lọc nâng cao.,NGFW tăng cường bảo mật so với tường lửa truyền thống như thế nào?,"- NGFW phân tích lưu lượng chi tiết hơn, kiểm soát theo ứng dụng và người dùng, phát hiện và ngăn chặn các mối đe dọa hiện đại.",
26304bb6-0b02-4a4b-92f7-7af46569b08b,"Camera IP, Access Point, Điện thoại VoIP",Liệt kê những loại thiết bị nào được hưởng lợi từ Power over Ethernet (PoE)?,"- PoE cho phép thiết bị mạng nhận cả nguồn điện và dữ liệu qua cùng một cáp, giúp giảm độ phức tạp khi lắp đặt và dễ quản lý nguồn điện tập trung.",
12b3970f-95e8-41ef-be0f-30c48760b844,"Chuyển tiếp frame dựa trên địa chỉ MAC, Tạo bảng địa chỉ MAC, Giảm lưu lượng mạng bằng VLAN",Liệt kê các chức năng chính của switch tầng 2.,"- Switch tầng 2 tập trung vào việc chuyển tiếp frame trong cùng mạng nội bộ, hỗ trợ phân đoạn mạng và quản lý lưu lượng cơ bản.",
f8f3a3c5-31d2-47cb-aa8a-a05defeadf61,Cung cấp cả điện và dữ liệu qua cùng một cáp Ethernet.,Power over Ethernet (PoE) có tác dụng gì trong mạng?,"- PoE đơn giản hóa việc lắp đặt thiết bị như camera IP, Access Point, hoặc điện thoại VoIP bằng cách loại bỏ nhu cầu dùng dây nguồn riêng.",
7ff8c3da-bfbb-4bb8-b81d-07fba68ada84,Cung cấp dịch vụ và tài nguyên cho các endpoint.,Server tương tác với các thành phần mạng khác như thế nào?,"- Server thường tương tác với router, switch và các thiết bị mạng khác để truyền dữ liệu và quản lý luồng thông tin, đảm bảo giao tiếp trơn tru.",
a3485b40-79d3-41fc-923f-d9432d05f336,Cung cấp tài nguyên cho các client trong mạng.,Vai trò của server trong mạng là gì?,"- Server lưu trữ dữ liệu, chạy ứng dụng, quản lý dịch vụ như email, chia sẻ tệp, hoặc web hosting – cung cấp tài nguyên cần thiết cho các thiết bị khác trong mạng.",
8ed871ea-54d4-4149-bd71-42c4760c9c87,Deep packet inspection (kiểm tra gói sâu).,Điền vào chỗ trống: NGFW sử dụng _ để kiểm tra và lọc lưu lượng kỹ hơn.,"- NGFW phân tích toàn bộ gói tin, bao gồm cả phần tải dữ liệu, để phát hiện và ngăn chặn các mối đe dọa phức tạp như mã độc hoặc tấn công xâm nhập.",
41a43d66-2ff3-419e-a8c8-d1b35aea6c7b,Ethernet,Điền vào chỗ trống: Access Point kết nối với mạng có dây thông qua cáp _,"- Access Point thường dùng cáp Ethernet để kết nối với mạng, từ đó cung cấp kết nối không dây cho các thiết bị.",
3389add9-3071-48fa-a4f9-c7a5fd392ada,"File server (máy chủ tệp), Web server (máy chủ web), Database server (máy chủ cơ sở dữ liệu), Mail server (máy chủ thư điện tử)",Liệt kê các loại server phổ biến trong mạng.,"- File server: Lưu trữ và quản lý tệp cho người dùng mạng.\n- Web server: Lưu trữ website và phục vụ trang web.\n- Database server: Quản lý và lưu trữ cơ sở dữ liệu.\n- Mail server: Xử lý gửi, nhận và lưu trữ email.",
d1619dbd-a28b-456f-ab5d-27355869eae9,"Kiểm soát ứng dụng (Application control), Hệ thống ngăn chặn xâm nhập (IPS), Tích hợp tình báo mối đe dọa (Threat intelligence)",Liệt kê ba tính năng nâng cao của NGFW.,- Kiểm soát ứng dụng: Chặn ứng dụng độc hại.\n- IPS: Dừng các mối đe dọa trong lưu lượng mạng.\n- Threat intelligence: Sử dụng dữ liệu thời gian thực để nhận diện mối đe dọa mới.,
