id,answer,question,desc,ref
8cfdcfb0-fd5a-40d1-b2b8-2e6d7ebf360b,- Là mạng trong đó các thiết bị dùng chung một đường truyền.,Định nghĩa: Ethernet shared media (Phương tiện chia sẻ Ethernet),"- Các hệ thống Ethernet cũ như 10BASE2 hoặc 10BASE5 dùng cáp đồng trục (coaxial), và tất cả thiết bị chia sẻ cùng băng thông.",
a2ca33b9-cbad-4eb8-aefd-08eef9dd43a2,40 km,Chiều dài tối đa của cáp quang đơn mode là bao nhiêu?,"- Cáp SMF được thiết kế để truyền dữ liệu đường dài, có khả năng đạt đến 40 km.",
170e991b-a95b-4918-9076-ed26ba284bb7,Attenuation (Suy hao tín hiệu),Thuật ngữ chỉ tổn hao tín hiệu khi ánh sáng truyền qua sợi quang là gì?,"- Attenuation được đo bằng decibel (dB), tăng theo chiều dài sợi quang và bước sóng ánh sáng được sử dụng.",
9b916363-1e1a-4e9f-b789-e8ef72717a96,"Cat 5, Cat 5e, Cat 6, Cat 6a, Cat 7, Cat 8",Liệt kê các loại cáp đồng thường dùng trong mạng:,"- Cat 5: Thích hơn cho vùng mạng nhỏ, hỗ trợ băng thông 100Mhz, tốc độ 10/100 Mbps.\n- Cat 5e: Phiên bản nâng cấp của Cat 5, hỗ trợ tốc độ lên tới 1000 Mbps.\n- Cat 6: Hỗ trợ tốc độ và tần số cao hơn Cat 5e, lên tới 250 MHz và 10 Gbps, khoảng cách tối đa 37m.\n- Cat 6a: Phiên bản cải tiến của Cat 6, có khả năng truyền ở tần số cao hơn (500 MHz) và khoảng cách xa hơn (100m).\n- Cat 7: Có lớp chống nhiễu (shielding) cho tốc độ và tần số dữ liệu cao hơn (600 MHz), phù hợp với các môi trường yêu cầu khắt khe.\n- Cat 8: Phiên bản mới nhất, băng thông tối đa 2000 Mhz và tốc độ 20 - 40 Gpbs nhưng bị giới hạn 2 đầu nối khoảng 30m",
bd7bc3ea-dc8c-45e9-8b67-894c3d3fb3f1,Cat 6 và Cat 6a.,Loại cáp đồng nào được dùng cho truyền dữ liệu tốc độ cao trong khoảng cách ngắn?,"- Những loại cáp này hỗ trợ tốc độ gigabit và 10 gigabit, rất lý tưởng cho truyền thông tốc độ cao trong phạm vi ngắn.",
9f454d81-8f94-417d-b7f5-cb691435a79d,Cáp đồng,Điền vào chỗ trống: Loại cáp được dùng phổ biến nhất cho mạng Ethernet là _ .,- Cáp đồng như Cat 5e và Cat 6 được sử dụng rộng rãi trong mạng LAN nhờ giá thành rẻ và hiệu năng đủ cho hầu hết ứng dụng.,
fecf2a9f-c232-4045-8303-9fc863012e69,Có lõi nhỏ và truyền ánh sáng đi xa.,Đặc điểm chính của sợi quang đơn mode (SMF):,"- SMF được thiết kế cho truyền thông tốc độ cao, khoảng cách dài, thường dùng trong viễn thông.",
2abda991-3d06-40e5-b800-6e2cc74f6068,Là loại cáp truyền dữ liệu bằng các xung ánh sáng.,Định nghĩa: Fiber optic cabling (cáp quang),"- Cáp quang có băng thông lớn, lý tưởng cho truyền thông đường dài nhờ tổn hao tín hiệu thấp hơn so với cáp đồng.",
3ea06dff-a29f-43e3-9061-e564931845f3,Là việc sử dụng các dây dẫn điện làm bằng đồng để truyền dữ liệu.,Định nghĩa: Copper cabling (Cáp đồng),- Cáp đồng được sử dụng rộng rãi trong mạng máy tính vì khả năng truyền dữ liệu tốc độ cao ở khoảng cách ngắn đến trung bình.,
12cfa601-17c5-4511-a7e4-b9614bb2c76d,"Lớp lá chắn (Foil shield),Các cặp dây xoắn (Twisted pairs), Lớp bện kim loại (Braided shield)",Liệt kê các thành phần của Shielded Twisted Pair (cáp xoắn đôi có chống nhiễu – STP):,"- Lớp lá chắn (Foil shield): Chống nhiễu điện từ (EMI)\n- Các cặp dây xoắn (Twisted pairs): Giảm nhiễu xuyên âm, cải thiện chất lượng tín hiệu\n- Lớp bện kim loại (Braided shield): Tăng khả năng chống nhiễu và giảm tiếng ồn.",
