id,answer,question,desc,ref
910e2597-7355-454b-baa0-1ba53b66ca86,Adequate Security (Bảo mật đầy đủ),"Mức độ bảo mật tương xứng với rủi ro và mức độ thiệt hại có thể phát sinh do mất mát, sử dụng sai mục đích, truy cập trái phép hoặc sửa đổi thông tin.",,OMB Circular A-130
7c1c4db6-fff0-4ba1-96c4-3e8c9e509108,Administrative Controls (Kiểm soát hành chính),Các biện pháp kiểm soát được triển khai thông qua chính sách và quy trình.,"- Ví dụ: quy trình kiểm soát truy cập hoặc yêu cầu nhiều nhân sự cùng thực hiện một tác vụ.\n- Trong môi trường hiện đại, kiểm soát hành chính thường được thực thi cùng với kiểm soát vật lý và/hoặc kỹ thuật, chẳng hạn chính sách cấp quyền truy cập yêu cầu người quản lý phê duyệt trước khi nhân viên mới được đăng nhập hệ thống.",
491ce4ef-7bae-47b4-a9c7-d9061cf9521f,Artificial Intelligence (Trí tuệ nhân tạo - AI),Khả năng của máy tính và robot trong việc mô phỏng trí thông minh và hành vi của con người.,,
4006df06-9bc4-43cd-879e-a466ee566301,Asset (Tài sản),"Bất kỳ thứ gì có giá trị thuộc sở hữu của tổ chức. Bao gồm tài sản hữu hình (như hệ thống thông tin, thiết bị vật lý) và tài sản vô hình (như tài sản trí tuệ).",,
efc289aa-9aca-41b3-8264-ba0e3aaf8fd9,Authentication (Xác thực),"Hành động nhận dạng hoặc xác minh tính hợp lệ của một trạm, nguồn gốc hoặc cá nhân nhằm truy cập các loại thông tin nhất định.","- Thường là biện pháp bảo vệ chống lại truyền thông giả mạo bằng cách xác định tính hợp lệ của thông điệp, bản tin hoặc nguồn gửi.",
e118a35d-84b1-4080-8dea-2fa36db1af31,Authorization (Cấp quyền/Phân quyền),Quyền hạn hoặc sự cho phép được cấp cho một thực thể trong hệ thống để truy cập tài nguyên của hệ thống.,,
54d1d11f-a997-4a1c-be2c-3d4bd2570e4c,Availability (Tính sẵn sàng),"Đảm bảo khả năng truy cập và sử dụng thông tin một cách kịp thời, đáng tin cậy bởi người dùng được ủy quyền.",,
06ee3042-bac4-4be9-b317-180bd9ca3f71,Baseline (Cấu hình cơ sở),"Mức cấu hình bảo mật tối thiểu được ghi nhận, do tiêu chuẩn hoặc tổ chức quy định.",,
152b6e93-6445-4a07-9dbb-374eb86170c8,Biometric (Sinh trắc học),"Đặc điểm sinh học của cá nhân như dấu vân tay, hình dạng bàn tay, giọng nói hoặc mẫu mống mắt.",,
8ca9a5a8-4614-46d7-a655-8fa81c9f0039,Bot độc hại,"Mã độc hoạt động như một “robot” điều khiển từ xa cho kẻ tấn công, thường có thêm khả năng như Trojan hoặc sâu (worm).",,
3cb961c1-4409-41cd-8a83-01aaf8299f76,Classified or Sensitive Information (Thông tin mật hoặc nhạy cảm),Thông tin được xác định là cần bảo vệ khỏi việc tiết lộ trái phép và được đánh dấu để chỉ rõ cấp độ phân loại khi ở dạng tài liệu.,,
1ec88278-679e-417b-b41b-2947b30efb98,Confidentiality (Tính bảo mật),Thuộc tính của dữ liệu hoặc thông tin khi nó không được cung cấp hoặc tiết lộ cho những người hoặc quy trình không được ủy quyền.,,NIST 800-66
fb7c0c6e-3656-4541-a4ad-343e0efbea81,Criticality (Tính trọng yếu),Mức độ mà tổ chức phụ thuộc vào thông tin hoặc hệ thống thông tin cho việc hoàn thành sứ mệnh hoặc chức năng kinh doanh.,,NIST SP 800-60 Vol. 1 Rev. 1
352e69d3-e4a8-41a4-9f5d-b122226f3aa8,Data Integrity (Toàn vẹn dữ liệu),"Thuộc tính đảm bảo dữ liệu không bị thay đổi trái phép, bao gồm khi lưu trữ, xử lý hoặc truyền tải.",,NIST SP 800-27 Rev. A
cb7769b2-9923-48dc-9762-5ca1c275d39f,Encryption (Mã hóa),Quá trình và hành động chuyển đổi dữ liệu từ dạng văn bản gốc (plaintext) sang dạng mã (ciphertext).,Còn gọi là “enciphering”; hai thuật ngữ này thường được dùng thay thế cho nhau.,
