id,answer,question,desc,ref
5ca3147e-dcda-4405-b2dd-ed006940f324,Là linh kiện phần cứng. Được thiết kế dùng để cho phép thiết bị kết nối với mạng thông qua cáp hoặc không dây.,NIC {BRIGHT_CYAN}(Network Interface Card - Thẻ giao diện mạng){RESET} là gì?,- NIC thường có một đầu cắm RJ45 để kết nối cáp Ethernet hoặc có khả năng kết nối không dây qua Wi-Fi.\n- Mỗi NIC đều có một địa chỉ MAC duy nhất được lưu trữ trong ROM trên thẻ.,
93e73f67-dd51-4081-9715-98899553fe18,"Là thiết bị kết nối mạng. Được thiết kế dùng để chuyển đổi tín hiệu Ethernet hoặc các giao thức khác sang tín hiệu quang và ngược lại, chuyển đổi cáp từ cáp đồng sang cáp quang và ngược lại.",Media Converter {BRIGHT_CYAN}(Bộ chuyển đổi phương tiện/tín hiệu truyền dẫn){RESET} là gì?,"- Hoạt động ở tầng 3 trong mô hình OSI.\n- Giúp kéo mạng xa mà vẫn đảm bảo tín hiệu và cải thiện khả năng chống nhiễu từ.\n- Media converter rất quan trọng trong các hệ thống mạng viễn thông hiện nay, cho phép kết nối giữa các thiết bị sử dụng tín hiệu điện và quang.",
b2bb40df-f700-4f34-96f6-32d6931a6df8,Là thiết bị kết nối mạng. Được thiết kế dùng để chuyển đổi tín hiệu số từ thiết bị đầu cuối thành tín hiệu tương tự để truyền qua đường dây điện thoại hoặc cáp và ngược lại.,Modem {BRIGHT_CYAN}(Modulator and Demodulator - Bộ điều giải){RESET} là gì?,"- Hoạt động ở tầng 1 trong mô hình OSI.\n- Là thiết bị kết nối giữa mạng trong nhà và ISP.\n- Modem giúp kết nối các thiết bị trong mạng với Internet, cho phép người dùng truy cập thông tin và dịch vụ trực tuyến.",
5eb41571-6c14-4924-bfee-fed9ec115780,Là thiết bị kết nối mạng. Được thiết kế dùng để khuếch đại tín hiệu mạng để truyền xa hơn mà không bị suy hao.,Repeater {BRIGHT_CYAN}(Bộ lặp/tiếp sóng tín hiệu){RESET} là gì?,"- Hoạt động ở tầng 1 trong mô hình OSI.\n- Dùng cho mạng LAN dài, cáp quang xa hoặc không dây.",
5ac5dca2-de85-4f69-bfff-0e079d66c84c,"Là thiết bị kết nối mạng. Được thiết kế dùng để kết nối các thiết bị trong mạng LAN, gửi dữ liệu tới tất cả cổng.",Hub {BRIGHT_CYAN}(Bộ chia mạng){RESET} là gì?,- Hoạt động ở tầng 1 trong mô hình OSI.\n- Tương tự switch nhưng dễ bị quá tải và xung đột dữ liệu.,
f175c740-b4ec-4302-a47e-c3581aa54cf4,Là thiết bị kết nối mạng. Được thiết kế dùng để kết nối hai hoặc nhiều mạng chuyển mạch gói hoặc mạng con thông qua cổng LAN hoặc WAN dựa trên địa chỉ IP.,Router {BRIGHT_CYAN}(Bộ định tuyến){RESET} là gì?,- Hoạt động ở tầng 3 trong mô hình OSI.\n- Nó phục vụ hai chức năng chính: Quản lý lưu lượng giữa các mạng này bằng cách chuyển tiếp gói dữ liệu đến địa chỉ IP dự định của chúng và cho phép nhiều thiết bị sử dụng cùng một kết nối Internet.,
4a89a1ad-29e3-4d26-9a76-2e0e9e9e6c84,Là thiết bị kết nối mạng. Được thiết kế dùng để kết nối hai mạng dùng giao thức khác nhau và dịch dữ liệu giữa chúng.,Gateway {BRIGHT_CYAN}(Cổng mạng){RESET} là gì?,- Hoạt động ở tầng 3 trong mô hình OSI,
82fb8075-9183-4463-9396-b868f30f21d5,Là thiết bị kết nối mạng. Được thiết kế dùng để kết nối hai mạng LAN và lọc gói tin dựa trên địa chỉ MAC.,Brigde {BRIGHT_CYAN}(Cầu nối mạng){RESET} là gì?,- Hoạt động ở tầng 2 trong mô hình OSI,
2ced249b-7c5f-4ada-99ee-c9480bbf0320,Là thiết bị kết nối mạng. Được thiết kế dùng để kết nối mạng có dây với các thiết bị không dây trong khu vực mạng nhất định.,AP {BRIGHT_CYAN}(Access Point - Điểm truy cập){RESET} là gì?,"- Hoạt động ở tầng 2 trong mô hình OSI.\n- AP kết nối với mạng có dây thông qua cáp Ethernet và phát tín hiệu Wi-Fi, cho phép các thiết bị di động như laptop, smartphone, tablet kết nối vào mạng mà không cần dây cáp vật lý",
2b686167-4eae-4296-b417-8953bf10c58b,Là thiết bị kết nối mạng. Được thiết kế dùng để kết nối nhiều thiết bị trong cùng một mạng LAN thông qua cổng RJ45 hoặc Mini-USB dựa trên địa chỉ MAC.,Switch {BRIGHT_CYAN}(Bộ chuyển mạch){RESET} là gì?,"- Hoạt động ở tầng 2 trong mô hình OSI.\n- Không giống như hub (thiết bị cũ hơn chỉ đơn thuần phát sóng dữ liệu đến tất cả các cổng), switch hoạt động thông minh hơn bằng cách ghi nhớ địa chỉ MAC (Media Access Control) của các thiết bị kết nối vào mỗi cổng.)",
