id,answer,question,desc,ref
b761085d-2827-44d3-9b99-88a1628e7d5d,10.000,Mật khẩu 4 ký tự số có bao nhiêu cách thử?,"- Số thập phân có 10 số từ 0, 1, 2, 3, ..., 9. \n- Công thức: <Số ký tự có thể dùng> ^ <Độ dài mật khẩu> = 10^4 = 10 * 10 * 10 * 10 = 10000",
d064d9cf-6887-4f21-91d5-3ca522cf3b55,6.095.689.385.410.816,Mật khẩu 8 ký tự ASCII có bao nhiêu cách thử?,"- Bảng mã ASCII có 10 chữ số, 26 ký tự hoa, 26 ký tự thường và 32 ký tự đặc biệt. \n- Công thức: <Số ký tự có thể dùng> ^ <Độ dài mật khẩu> = 94^8 = 94 * 94 * 94 * 94 * 94 * 94 * 94 * 94 = 6.095.689.385.410.816 (hơn 6 triệu tỷ)",
7935fc35-9565-479d-8da8-254e89de8e35,7.311.616,Mật khẩu 4 ký tự chữ cái ASCII có bao nhiêu cách thử?,- Chữ cái bảng mã ASCII có 26 ký tự hoa và 26 ký tự thường. \n- Công thức: <Số ký tự có thể dùng> ^ <Độ dài mật khẩu> = 52^4 = 52 * 52 * 52 * 52 = 7.311.616,
b904e0c4-c919-44c0-b0ef-e12525da3812,78.074.896,Mật khẩu 4 ký tự ASCII có bao nhiêu cách thử?,"- Bảng mã ASCII có 10 chữ số, 26 ký tự hoa, 26 ký tự thường và 32 ký tự đặc biệt. \n- Công thức: <Số ký tự có thể dùng> ^ <Độ dài mật khẩu> = 94^4 = 94 * 94 * 94 * 94 = 78.074.896",
d05de20e-e652-4afb-9377-048ab0ecaf86,Là hình thức mà kẻ tấn công cố gắng đoán mật khẩu người dùng thông qua danh sách ký tự đã được tổng hợp.,Dictionary Attack (Tấn công từ điển) là gì?,"- Bao gồm: từ, cụm từ và mật khẩu phổ biến hoặc rò rỉ.\n- Được xem như là một loại brute-force.\n- Kẻ tấn công sẽ thử lần lượt các mật khẩu trong danh sách này để tìm ra mật khẩu đúng.\n- Thường hiệu quả với mật khẩu yếu và dễ đoán.",
036244ae-088d-4e4a-bd3f-c75e48ba80b5,Là hình thức mà kẻ tấn công dùng mọi khả năng có thể đoán mật khẩu người dùng thông qua ký tự.,Brute-force Attack (Tấn công brute-force) là gì?,"- Bao gồm: ký tự, từ, cụm từ và mật khẩu phổ biến hoặc rò rỉ. \n- Kẻ tấn công sử dụng cách thử và sai (trial-and-error) để đoán tên người dùng và mật khẩu. \n- Thường thông qua các công cụ tự động hóa. \n- Tuy đơn giản nhưng có thể gây ra hậu quả nghiêm trọng nếu thành công.",
a7abdb21-2339-4ce0-8a61-2e115b70efb1,Là một hoặc chuỗi ký tự dùng để bí mật xác thực người dùng,Password (Mật khẩu) là gì?,"- Bao gồm: chữ hoa / thường, số và ký tự đặc biệt\n- Thường người dùng tự nhập, cung cấp hoặc tự động do máy chủ hoặc phần mềm bên thứ ba có uy tín cao trong bảo mật.",
6eab1afb-283b-4a86-bc63-14de7d634350,Là một hoặc chuỗi ký tự dùng để xác định người dùng,Username (Tên người dùng) là gì?,"- Bao gồm: chữ hoa / thường, số và ký tự đặc biệt.\n- Thường người dùng tự nhập hoặc cung cấp.",
7589a1a9-3cee-4f39-8432-953bae2761a5,Là một hoặc chuỗi ký tự dùng để định danh người dùng,ID (Identification) là gì?,"- Bao gồm: chữ hoa / thường, số và ký tự đặc biệt\n- Thường là tự động do máy chủ có ủy quyền.",
15acff0a-3c95-4e99-8ae3-b72e74758918,"Là phương pháp bảo mật, yêu cầu người dùng cung cấp hai hoặc nhiều yếu tố để xác minh danh tính",Multi Factor Authentication (MFA - Xác thực đa yếu tố) là gì?,"- Quy trình này bao gồm việc sử dụng thông tin đăng nhập như tên đăng nhập và mật khẩu, sau đó là một mã xác thực được gửi đến thiết bị của người dùng. \n- Các yếu tố xác minh như knowlegde factor (hiểu biết), possession factor (sở hữu), inherence factor (hay biometric - sinh trắc học)",
