id,answer,question,desc,ref
d029344f-699f-4caf-89d3-e87e190e9f79,"An Lạc, Bình Tân, Tân Tạo, Bình Trị Đông, Bình Hưng Hòa",Liệt kê các phường sau sáp nhập của quận Bình Tân cũ (Thành phố Hồ Chí Minh):,"- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của các phường Bình Trị Đông B, An Lạc A và An Lạc thành phường mới có tên gọi là phường An Lạc. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của phường Bình Hưng Hòa B và một phần diện tích tự nhiên, quy mô dân số của phường Bình Trị Đông A, phường Tân Tạo thành phường mới có tên gọi là phường Bình Tân. \n- Sắp xếp một phần diện tích tự nhiên, quy mô dân số của phường Tân Tạo A, phường Tân Tạo và xã Tân Kiên thành phường mới có tên gọi là phường Tân Tạo. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của phường Bình Trị Đông, một phần diện tích tự nhiên, quy mô dân số của phường Bình Hưng Hòa A và phần còn lại của phường Bình Trị Đông A sau khi sắp xếp thành phường mới có tên gọi là phường Bình Trị Đông. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của phường Bình Hưng Hòa, một phần diện tích tự nhiên của phường Sơn Kỳ và phần còn lại của phường Bình Hưng Hòa A sau khi sắp xếp thành phường mới có tên gọi là phường Bình Hưng Hòa.",https://tphcm.chinhphu.vn/danh-sach-chinh-thuc-168-phuong-xa-cua-tphcm-sau-sap-xep-101250617000144317.htm
0754cdae-164f-4d3d-b6cd-8743c50d71a7,"Bàn Cờ, Xuân Hòa, Nhiêu Lộc",Liệt kê các phường sau sáp nhập của quận 3 cũ (Thành phố Hồ Chí Minh):,"- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 1, Phường 2, Phường 3, Phường 5 và một phần diện tích tự nhiên, quy mô dân số của Phường 4 (Quận 3) thành phường mới có tên gọi là phường Bàn Cờ. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của phường Võ Thị Sáu và phần còn lại của Phường 4 (Quận 3) sau khi sắp xếp thành phường mới có tên gọi là phường Xuân Hòa. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 9, Phường 11, Phường 12 và Phường 14 (Quận 3) thành phường mới có tên gọi là phường Nhiêu Lộc.",https://tphcm.chinhphu.vn/danh-sach-chinh-thuc-168-phuong-xa-cua-tphcm-sau-sap-xep-101250617000144317.htm
1bca17d0-7ece-4934-93ea-be1e6407259d,"Bình Tây, Bình Tiên, Bình Phú, Phú Lâm",Liệt kê các phường sau sáp nhập của quận 6 cũ (Thành phố Hồ Chí Minh):,"- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 2 và Phường 9 (Quận 6) thành phường mới có tên gọi là phường Bình Tây. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 1, Phường 7 và Phường 8 (Quận 6) thành phường mới có tên gọi là phường Bình Tiên. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 10 và Phường 11 (Quận 6), một phần diện tích tự nhiên, quy mô dân của Phường 16 (Quận 8) thành phường mới có tên gọi là phường Bình Phú. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 12, Phường 13 và Phường 14 (Quận 6) thành phường mới có tên gọi là phường Phú Lâm.",https://tphcm.chinhphu.vn/danh-sach-chinh-thuc-168-phuong-xa-cua-tphcm-sau-sap-xep-101250617000144317.htm
737ff48e-4081-4a06-b211-6227ad9f677d,"Chánh Hưng, Phú Định, Bình Đông",Liệt kê các phường sau sáp nhập của quận 8 cũ (Thành phố Hồ Chí Minh):,"- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của phường Phường 4 (Quận 8), Rạch Ông, phường Hưng Phú và một phần diện tích tự nhiên, quy mô dân số của Phường 5 (Quận 8) thành phường mới có tên gọi là phường Chánh Hưng. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 14 và Phường 15 (Quận 8), phường Xóm Củi và một phần diện tích tự nhiên, quy mô dân số của Phường 16 (Quận 8) thành phường mới có tên gọi là phường Phú Định. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 6 (Quận 8), một phần diện tích tự nhiên, quy mô dân số của Phường 7 (Quận 8), xã An Phú Tây và phần còn lại của Phường 5 (Quận 8) sau khi sắp xếp thành phường mới có tên gọi là phường Bình Đông.",https://tphcm.chinhphu.vn/danh-sach-chinh-thuc-168-phuong-xa-cua-tphcm-sau-sap-xep-101250617000144317.htm
a6dee76a-7ca0-4c86-af1d-e8a0ed52b4fd,"Chợ Quán, An Đông, Chợ Lớn",Liệt kê các phường sau sáp nhập của quận 5 cũ (Thành phố Hồ Chí Minh):,"- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 1, Phường 2 và Phường 4 (Quận 5) thành phường mới có tên gọi là phường Chợ Quán. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 5, Phường 7 và Phường 9 (Quận 5) thành phường mới có tên gọi là phường An Đông. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 11, Phường 12, Phường 13 và Phường 14 (Quận 5) thành phường mới có tên gọi là phường Chợ Lớn.",https://tphcm.chinhphu.vn/danh-sach-chinh-thuc-168-phuong-xa-cua-tphcm-sau-sap-xep-101250617000144317.htm
3ad108bc-c97f-4106-8122-67a13af9dc75,"Diên Hồng, Vườn Lài, Hòa Hưng",Liệt kê các phường sau sáp nhập của quận 10 cũ (Thành phố Hồ Chí Minh):,"- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 6 và Phường 8 (Quận 10), một phần diện tích tự nhiên, quy mô dân số của Phường 14 (Quận 10) thành phường mới có tên gọi là phường Diên Hồng. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 1, Phường 2, Phường 4, Phường 9 và Phường 10 (Quận 10) thành phường mới có tên gọi là phường Vườn Lài. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 12, Phường 13 và Phường 15 (Quận 10), phần còn lại của Phường 14 (Quận 10) sau khi sắp xếp thành phường mới có tên gọi là phường Hòa Hưng.",https://tphcm.chinhphu.vn/danh-sach-chinh-thuc-168-phuong-xa-cua-tphcm-sau-sap-xep-101250617000144317.htm
e5fc71aa-5a44-4eb3-9f13-9d621d316be4,"Gia Định, Bình Thạnh, Bình Lợi Trung, Thạnh Mỹ Tây, Bình Quới",Liệt kê các phường sau sáp nhập của quận Bình Thạnh cũ (Thành phố Hồ Chí Minh):,"- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 1, Phường 2, Phường 7 và Phường 17 (quận Bình Thạnh) thành phường mới có tên gọi là phường Gia Định. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 12 và Phường 14 (quận Bình Thạnh), Phường 26 thành phường mới có tên gọi là phường Bình Thạnh. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 5, Phường 11 và Phường 13 (quận Bình Thạnh) thành phường mới có tên gọi là phường Bình Lợi Trung. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 19, Phường 22 và Phường 25 thành phường mới có tên gọi là phường Thạnh Mỹ Tây. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 27 và Phường 28 thành phường mới có tên gọi là phường Bình Quới.",
31a62871-35de-4b29-9941-740e80715ba1,"Minh Phụng, Bình Thới, Hòa Bình, Phú Thọ",Liệt kê các phường sau sáp nhập của quận 11 cũ (Thành phố Hồ Chí Minh):,"- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 1, Phường 7 và Phường 16 (Quận 11) thành phường mới có tên gọi là phường Minh Phụng. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 3 và Phường 10 (Quận 11), một phần diện tích tự nhiên, quy mô dân số của Phường 8 (Quận 11) thành phường mới có tên gọi là phường Bình Thới. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 5 và Phường 14 (Quận 11) thành phường mới có tên gọi là phường Hòa Bình. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của Phường 11 và Phường 15 (Quận 11), phần còn lại của Phường 8 (Quận 11) sau khi sắp xếp thành phường mới có tên gọi là phường Phú Thọ.",https://tphcm.chinhphu.vn/danh-sach-chinh-thuc-168-phuong-xa-cua-tphcm-sau-sap-xep-101250617000144317.htm
1711ae07-3b13-494c-b534-502feb9f60da,"Sài Gòn, Tân Định, Bến Thành, Cầu Ông Lãnh",Liệt kê các phường sau sáp nhập của quận 1 cũ (Thành phố Hồ Chí Minh):,"- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của phường Bến Nghé và một phần diện tích tự nhiên, quy mô dân số của phường Đa Kao, phường Nguyễn Thái Bình thành phường mới có tên gọi là phường Sài Gòn. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của phường Tân Định (Quận 1) và phần còn lại của phường Đa Kao sau khi sắp xếp thành phường mới có tên gọi là phường Tân Định. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của phường Bến Thành, phường Phạm Ngũ Lão và một phần diện tích tự nhiên, quy mô dân số của phường Cầu Ông Lãnh, phần còn lại của phường Nguyễn Thái Bình sau khi sắp xếp thành phường mới có tên gọi là phường Bến Thành. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của các phường Nguyễn Cư Trinh, Cầu Kho, Cô Giang và phần còn lại của phường Cầu Ông Lãnh sau khi sắp xếp thành phường mới có tên gọi là phường Cầu Ông Lãnh.",https://tphcm.chinhphu.vn/danh-sach-chinh-thuc-168-phuong-xa-cua-tphcm-sau-sap-xep-101250617000144317.htm
305addc4-4bed-4eed-bb7d-c6fa510756b1,"Tân Thuận, Phú Thuận, Tân Mỹ, Tân Hưng",Liệt kê các phường sau sáp nhập của quận 7 cũ (Thành phố Hồ Chí Minh):,"- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của các phường Bình Thuận, Tân Thuận Đông và Tân Thuận Tây thành phường mới có tên gọi là phường Tân Thuận. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của phường Phú Thuận và một phần diện tích tự nhiên, quy mô dân số của phường Phú Mỹ (Quận 7) thành phường mới có tên gọi là phường Phú Thuận. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của phường Tân Phú (Quận 7) và phần còn lại của phường Phú Mỹ (Quận 7) sau khi sắp xếp thành phường mới có tên gọi là phường Tân Mỹ. \n- Sắp xếp toàn bộ diện tích tự nhiên, quy mô dân số của các phường Tân Phong, Tân Quy, Tân Kiểng và Tân Hưng thành phường mới có tên gọi là phường Tân Hưng.",https://tphcm.chinhphu.vn/danh-sach-chinh-thuc-168-phuong-xa-cua-tphcm-sau-sap-xep-101250617000144317.htm
